GO.ID	Term	Annotated	Significant	Expected	FoldEnrichment	topGOresult	p_raw	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	ontology	algorithm	statistic	Members_n	Members
GO:0006105	succinate metabolic process	14	1	0.01	100	0.01361	0.01361	1	1	1	1	1	1	1	0.01361	BP	weight01	fisher	1	N0.HOG0000158
GO:0006825	copper ion transport	14	1	0.01	100	0.01361	0.01361	1	1	1	1	1	1	1	0.01361	BP	weight01	fisher	1	N0.HOG0000028
GO:0016063	rhodopsin biosynthetic process	15	1	0.01	100	0.01457	0.01457	1	1	1	1	1	1	1	0.01457	BP	weight01	fisher	1	N0.HOG0000058
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	16	1	0.02	50	0.01595	0.01595	1	1	1	1	1	1	1	0.01595	CC	weight01	fisher	1	N0.HOG0000101
GO:0030224	monocyte differentiation	17	1	0.02	50	0.01650	0.0165	1	1	1	1	1	1	1	0.0165	BP	weight01	fisher	1	N0.HOG0000639
GO:0042447	hormone catabolic process	17	1	0.02	50	0.01650	0.0165	1	1	1	1	1	1	1	0.0165	BP	weight01	fisher	1	N0.HOG0000058
GO:0043455	regulation of secondary metabolic process	17	1	0.02	50	0.01650	0.0165	1	1	1	1	1	1	1	0.0165	BP	weight01	fisher	1	N0.HOG0000058
GO:0070006	metalloaminopeptidase activity	15	1	0.02	50	0.01655	0.01655	1	1	1	1	1	1	1	0.01655	MF	weight01	fisher	1	N0.HOG0000299
GO:0051537	2 iron, 2 sulfur cluster binding	16	1	0.02	50	0.01764	0.01764	1	1	1	1	1	1	1	0.01764	MF	weight01	fisher	1	N0.HOG0000158
GO:0050661	NADP binding	29	2	0.03	66.6666666666667	0.01799	0.01799	1	1	1	1	1	1	1	0.01799	MF	weight01	fisher	2	N0.HOG0000058;N0.HOG0000639
GO:1901568	fatty acid derivative metabolic process	72	2	0.07	28.5714285714286	0.01842	0.01842	1	1	1	1	1	1	1	0.01842	BP	weight01	fisher	2	N0.HOG0000101;N0.HOG0000639
GO:0043171	peptide catabolic process	19	1	0.02	50	0.01843	0.01843	1	1	1	1	1	1	1	0.01843	BP	weight01	fisher	1	N0.HOG0000299
GO:0072488	ammonium transmembrane transport	19	1	0.02	50	0.01843	0.01843	1	1	1	1	1	1	1	0.01843	BP	weight01	fisher	1	N0.HOG0000058
GO:0035002	liquid clearance, open tracheal system	19	1	0.02	50	0.01843	0.01843	1	1	1	1	1	1	1	0.01843	BP	weight01	fisher	1	N0.HOG0000058
GO:0071392	cellular response to estradiol stimulus	20	1	0.02	50	0.01939	0.01939	1	1	1	1	1	1	1	0.01939	BP	weight01	fisher	1	N0.HOG0000058
GO:0008519	ammonium channel activity	19	1	0.02	50	0.02092	0.02092	1	1	1	1	1	1	1	0.02092	MF	weight01	fisher	1	N0.HOG0000058
GO:0046949	fatty-acyl-CoA biosynthetic process	22	1	0.02	50	0.02131	0.02131	1	1	1	1	1	1	1	0.02131	BP	weight01	fisher	1	N0.HOG0000639
GO:0071353	cellular response to interleukin-4	22	1	0.02	50	0.02131	0.02131	1	1	1	1	1	1	1	0.02131	BP	weight01	fisher	1	N0.HOG0000639
GO:0006491	N-glycan processing	22	1	0.02	50	0.02131	0.02131	1	1	1	1	1	1	1	0.02131	BP	weight01	fisher	1	N0.HOG0000158
GO:0055070	copper ion homeostasis	23	1	0.02	50	0.02227	0.02227	1	1	1	1	1	1	1	0.02227	BP	weight01	fisher	1	N0.HOG0000028
GO:0040038	polar body extrusion after meiotic divisions	23	1	0.02	50	0.02227	0.02227	1	1	1	1	1	1	1	0.02227	BP	weight01	fisher	1	N0.HOG0000101
GO:0006084	acetyl-CoA metabolic process	25	1	0.02	50	0.02419	0.02419	1	1	1	1	1	1	1	0.02419	BP	weight01	fisher	1	N0.HOG0000639
GO:0033227	dsRNA transport	27	1	0.03	33.3333333333333	0.02610	0.0261	1	1	1	1	1	1	1	0.0261	BP	weight01	fisher	1	N0.HOG0000299
GO:0001523	retinoid metabolic process	28	1	0.03	33.3333333333333	0.02706	0.02706	1	1	1	1	1	1	1	0.02706	BP	weight01	fisher	1	N0.HOG0000101
GO:0019432	triglyceride biosynthetic process	30	1	0.03	33.3333333333333	0.02896	0.02896	1	1	1	1	1	1	1	0.02896	BP	weight01	fisher	1	N0.HOG0000639
GO:0006369	termination of RNA polymerase II transcription	32	1	0.03	33.3333333333333	0.03087	0.03087	1	1	1	1	1	1	1	0.03087	BP	weight01	fisher	1	N0.HOG0000101
GO:0045540	regulation of cholesterol biosynthetic process	33	1	0.03	33.3333333333333	0.03182	0.03182	1	1	1	1	1	1	1	0.03182	BP	weight01	fisher	1	N0.HOG0000639
GO:0008610	lipid biosynthetic process	440	3	0.43	6.97674418604651	0.03210	0.0321	1	1	1	1	1	1	1	0.0321	BP	weight01	fisher	3	N0.HOG0000058;N0.HOG0000101;N0.HOG0000639
GO:0005507	copper ion binding	30	1	0.03	33.3333333333333	0.03286	0.03286	1	1	1	1	1	1	1	0.03286	MF	weight01	fisher	1	N0.HOG0000028
GO:0046688	response to copper ion	36	1	0.04	25	0.03467	0.03467	1	1	1	1	1	1	1	0.03467	BP	weight01	fisher	1	N0.HOG0000028
GO:0000398	mRNA splicing, via spliceosome	326	2	0.32	6.25	0.03726	0.03726	1	1	1	1	1	1	1	0.03726	BP	weight01	fisher	2	N0.HOG0000028;N0.HOG0000101
GO:0007608	sensory perception of smell	88	3	0.09	33.3333333333333	0.03731	0.03731	1	1	1	1	1	1	1	0.03731	BP	weight01	fisher	3	N0.HOG0000028;N0.HOG0000058;N0.HOG0000158
GO:0034030	ribonucleoside bisphosphate biosynthetic process	40	1	0.04	25	0.03846	0.03846	1	1	1	1	1	1	1	0.03846	BP	weight01	fisher	1	N0.HOG0000639
GO:0034033	purine nucleoside bisphosphate biosynthetic process	40	1	0.04	25	0.03846	0.03846	1	1	1	1	1	1	1	0.03846	BP	weight01	fisher	1	N0.HOG0000639
GO:0032835	glomerulus development	41	1	0.04	25	0.03940	0.0394	1	1	1	1	1	1	1	0.0394	BP	weight01	fisher	1	N0.HOG0000299
GO:0006099	tricarboxylic acid cycle	42	1	0.04	25	0.04035	0.04035	1	1	1	1	1	1	1	0.04035	BP	weight01	fisher	1	N0.HOG0000158
GO:0035010	encapsulation of foreign target	43	1	0.04	25	0.04129	0.04129	1	1	1	1	1	1	1	0.04129	BP	weight01	fisher	1	N0.HOG0000158
GO:0006301	postreplication repair	43	1	0.04	25	0.04129	0.04129	1	1	1	1	1	1	1	0.04129	BP	weight01	fisher	1	N0.HOG0000101
GO:0003382	epithelial cell morphogenesis	44	1	0.04	25	0.04223	0.04223	1	1	1	1	1	1	1	0.04223	BP	weight01	fisher	1	N0.HOG0000058
GO:0006334	nucleosome assembly	44	1	0.04	25	0.04223	0.04223	1	1	1	1	1	1	1	0.04223	BP	weight01	fisher	1	N0.HOG0000103
GO:0005496	steroid binding	39	1	0.04	25	0.04254	0.04254	1	1	1	1	1	1	1	0.04254	MF	weight01	fisher	1	N0.HOG0000058
GO:0010172	embryonic body morphogenesis	45	1	0.04	25	0.04317	0.04317	1	1	1	1	1	1	1	0.04317	BP	weight01	fisher	1	N0.HOG0000028
GO:0006101	citrate metabolic process	45	1	0.04	25	0.04317	0.04317	1	1	1	1	1	1	1	0.04317	BP	weight01	fisher	1	N0.HOG0000158
