Category	GO_ID	GO_term	Annotated_HOGs	Foreground_HOGs	Expected_HOGs	Fold_enrichment	weight01_P	Contributing HOGs	Contributing consensus HOG names
Nutrient metabolism	GO:0072329	monocarboxylic acid catabolic process	41	17	2.97	5.72	1.1e-4	N13.HOG0001745;N13.HOG0002821;N13.HOG0005629;N13.HOG0005679;N13.HOG0006063;N13.HOG0006510;N13.HOG0006783;N13.HOG0007413;N13.HOG0007686;N13.HOG0007797;N13.HOG0007897;N13.HOG0007931;N13.HOG0008139;N13.HOG0008494;N13.HOG0008677;N13.HOG0008908;N13.HOG0011003	aldose reductase-like / aldo-keto reductase family 1 member B1-like; yip2; xylulose kinase; Akt; Acat1; Etf-QO; Had1; enoyl-CoA delta isomerase 1, mitochondrial; Echs1; Mtpalpha; Arc42; Pmp70; methylglutaconyl-CoA hydratase, mitochondrial; Pex5; Acadvl; Mtpbeta; alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial
Nutrient metabolism	GO:0006575	modified amino acid metabolic process	48	12	3.48	3.45	1.1e-4	N13.HOG0003437;N13.HOG0004891;N13.HOG0004983;N13.HOG0005767;N13.HOG0005902;N13.HOG0006012;N13.HOG0006180;N13.HOG0006699;N13.HOG0006706;N13.HOG0008012;N13.HOG0009118;N13.HOG0011999	Argk1; Cndp2; Cth; bifunctional purine biosynthesis protein PURH / bifunctional purine biosynthesis protein ATIC; Got2; pug; oys; Gnmt; Ahcy; Idh; Shmt; Stat92E
Nutrient metabolism	GO:0019674	NAD metabolic process	23	8	1.67	4.79	1.3e-4	N13.HOG0001742;N13.HOG0002865;N13.HOG0005899;N13.HOG0006174;N13.HOG0006298;N13.HOG0006518;N13.HOG0006806;N13.HOG0008484	L-lactate dehydrogenase; glyceraldehyde-3-phosphate dehydrogenase 2; TER94; Hex-A; Pgi; purine nucleoside phosphorylase; aralar1; Tpi
Nutrient metabolism	GO:0170040	proteinogenic amino acid catabolic process	29	9	2.1	4.29	1.3e-4	N13.HOG0001967;N13.HOG0005222;N13.HOG0005438;N13.HOG0005902;N13.HOG0008016;N13.HOG0008139;N13.HOG0008957;N13.HOG0009118;N13.HOG0011003	kynurenine/alpha-aminoadipate aminotransferase, mitochondrial; Sam-S; alanine aminotransferase 1; Got2; Mccc1; methylglutaconyl-CoA hydratase, mitochondrial; isovaleryl-CoA dehydrogenase, mitochondrial; Shmt; alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial
Nutrient metabolism	GO:0034404	nucleobase-containing small molecule biosynthetic process	56	13	4.06	3.2	1.3e-4	N13.HOG0001742;N13.HOG0002865;N13.HOG0004383;N13.HOG0005899;N13.HOG0006063;N13.HOG0006174;N13.HOG0006298;N13.HOG0006468;N13.HOG0006518;N13.HOG0007211;N13.HOG0007469;N13.HOG0007840;N13.HOG0008484	L-lactate dehydrogenase; glyceraldehyde-3-phosphate dehydrogenase 2; rudimentary; TER94; Acat1; Hex-A; Pgi; apyrase / soluble calcium-activated nucleotidase 1; purine nucleoside phosphorylase; l(2)k01209; bur; Pfrx; Tpi
Nutrient metabolism	GO:0006091	generation of precursor metabolites and energy	199	33	14.41	2.29	1.9e-4	N13.HOG0001720;N13.HOG0001742;N13.HOG0001745;N13.HOG0002709;N13.HOG0002865;N13.HOG0003997;N13.HOG0005142;N13.HOG0005428;N13.HOG0005558;N13.HOG0005629;N13.HOG0005679;N13.HOG0005899;N13.HOG0006063;N13.HOG0006106;N13.HOG0006174;N13.HOG0006298;N13.HOG0006510;N13.HOG0006699;N13.HOG0006707;N13.HOG0006722;N13.HOG0006806;N13.HOG0006902;N13.HOG0007164;N13.HOG0007383;N13.HOG0007575;N13.HOG0007840;N13.HOG0007988;N13.HOG0008012;N13.HOG0008484;N13.HOG0008677;N13.HOG0008818;N13.HOG0008882;N13.HOG0010084	Cyt-b5; L-lactate dehydrogenase; aldose reductase-like / aldo-keto reductase family 1 member B1-like; Men; glyceraldehyde-3-phosphate dehydrogenase 2; ScsbetaA; GCS2alpha; Rim2; Cat; xylulose kinase; Akt; TER94; Acat1; Adsl; Hex-A; Pgi; Etf-QO; Gnmt; acyl-CoA synthetase short-chain family member 3, mitochondrial; GlyS; aralar1; D2hgdh; SCOT; Atg1; Nipsnap; Pfrx; Fdh; Idh; Tpi; Acadvl; Rpi; hydroxypyruvate reductase / D-3-phosphoglycerate dehydrogenase; cytoplasmic aconitate hydratase
Nutrient metabolism	GO:0032787	monocarboxylic acid metabolic process	147	38	10.65	3.57	3.7e-4	N13.HOG0000561;N13.HOG0001720;N13.HOG0001742;N13.HOG0001745;N13.HOG0002709;N13.HOG0002821;N13.HOG0002865;N13.HOG0003382;N13.HOG0003838;N13.HOG0005629;N13.HOG0005679;N13.HOG0005902;N13.HOG0006012;N13.HOG0006063;N13.HOG0006174;N13.HOG0006298;N13.HOG0006510;N13.HOG0006707;N13.HOG0006783;N13.HOG0006902;N13.HOG0007413;N13.HOG0007450;N13.HOG0007686;N13.HOG0007797;N13.HOG0007840;N13.HOG0007897;N13.HOG0007931;N13.HOG0008012;N13.HOG0008016;N13.HOG0008139;N13.HOG0008395;N13.HOG0008484;N13.HOG0008494;N13.HOG0008677;N13.HOG0008882;N13.HOG0008908;N13.HOG0011003;N13.HOG0011999	fatty acid synthase; Cyt-b5; L-lactate dehydrogenase; aldose reductase-like / aldo-keto reductase family 1 member B1-like; Men; yip2; glyceraldehyde-3-phosphate dehydrogenase 2; very-long-chain 3-oxoacyl-CoA reductase; Fabp; xylulose kinase; Akt; Got2; pug; Acat1; Hex-A; Pgi; Etf-QO; acyl-CoA synthetase short-chain family member 3, mitochondrial; Had1; D2hgdh; enoyl-CoA delta isomerase 1, mitochondrial; BckdhA; Echs1; Mtpalpha; Pfrx; Arc42; Pmp70; Idh; Mccc1; methylglutaconyl-CoA hydratase, mitochondrial; Pdk; Tpi; Pex5; Acadvl; hydroxypyruvate reductase / D-3-phosphoglycerate dehydrogenase; Mtpbeta; alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial; Stat92E
Nutrient metabolism	GO:0046394	carboxylic acid biosynthetic process	102	28	7.39	3.79	4.6e-4	N13.HOG0000561;N13.HOG0001742;N13.HOG0001745;N13.HOG0002865;N13.HOG0003382;N13.HOG0003997;N13.HOG0004383;N13.HOG0004957;N13.HOG0004983;N13.HOG0005438;N13.HOG0005767;N13.HOG0005902;N13.HOG0006012;N13.HOG0006063;N13.HOG0006174;N13.HOG0006298;N13.HOG0006699;N13.HOG0006706;N13.HOG0006707;N13.HOG0007450;N13.HOG0007840;N13.HOG0007931;N13.HOG0008395;N13.HOG0008484;N13.HOG0008677;N13.HOG0008882;N13.HOG0009118;N13.HOG0011003	fatty acid synthase; L-lactate dehydrogenase; aldose reductase-like / aldo-keto reductase family 1 member B1-like; glyceraldehyde-3-phosphate dehydrogenase 2; very-long-chain 3-oxoacyl-CoA reductase; ScsbetaA; rudimentary; Sps1; Cth; alanine aminotransferase 1; bifunctional purine biosynthesis protein PURH / bifunctional purine biosynthesis protein ATIC; Got2; pug; Acat1; Hex-A; Pgi; Gnmt; Ahcy; acyl-CoA synthetase short-chain family member 3, mitochondrial; BckdhA; Pfrx; Pmp70; Pdk; Tpi; Acadvl; hydroxypyruvate reductase / D-3-phosphoglycerate dehydrogenase; Shmt; alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial
Nutrient metabolism	GO:0009069	serine family amino acid metabolic process	21	7	1.52	4.61	4.7e-4	N13.HOG0004957;N13.HOG0004983;N13.HOG0006699;N13.HOG0006706;N13.HOG0008882;N13.HOG0009118;N13.HOG0011003	Sps1; Cth; Gnmt; Ahcy; hydroxypyruvate reductase / D-3-phosphoglycerate dehydrogenase; Shmt; alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial
Nutrient metabolism	GO:0006094	gluconeogenesis	34	9	2.46	3.66	5e-4	N13.HOG0002865;N13.HOG0005902;N13.HOG0006174;N13.HOG0006298;N13.HOG0006699;N13.HOG0006806;N13.HOG0007840;N13.HOG0008395;N13.HOG0008484	glyceraldehyde-3-phosphate dehydrogenase 2; Got2; Hex-A; Pgi; Gnmt; aralar1; Pfrx; Pdk; Tpi
Nutrient metabolism	GO:0016999	antibiotic metabolic process	41	10	2.97	3.37	5e-4	N13.HOG0002708;N13.HOG0002709;N13.HOG0003997;N13.HOG0005558;N13.HOG0006012;N13.HOG0007555;N13.HOG0007988;N13.HOG0008012;N13.HOG0010084;N13.HOG0011999	peroxiredoxin-like protein; Men; ScsbetaA; Cat; pug; putative N-acetylglucosamine-6-phosphate deacetylase / N-acetylglucosamine-6-phosphate deacetylase; Fdh; Idh; cytoplasmic aconitate hydratase; Stat92E
Nutrient metabolism	GO:0019359	nicotinamide nucleotide biosynthetic process	28	8	2.03	3.94	5.9e-4	N13.HOG0001742;N13.HOG0002709;N13.HOG0002865;N13.HOG0006174;N13.HOG0006298;N13.HOG0006518;N13.HOG0007840;N13.HOG0008484	L-lactate dehydrogenase; Men; glyceraldehyde-3-phosphate dehydrogenase 2; Hex-A; Pgi; purine nucleoside phosphorylase; Pfrx; Tpi
Nutrient metabolism	GO:0009152	purine ribonucleotide biosynthetic process	91	20	6.59	3.03	8.2e-4	N13.HOG0001742;N13.HOG0002474;N13.HOG0002865;N13.HOG0005767;N13.HOG0005834;N13.HOG0005899;N13.HOG0006063;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006298;N13.HOG0006518;N13.HOG0006806;N13.HOG0007450;N13.HOG0007469;N13.HOG0007575;N13.HOG0007840;N13.HOG0008395;N13.HOG0008484;N13.HOG0008502	L-lactate dehydrogenase; Vha100-1; glyceraldehyde-3-phosphate dehydrogenase 2; bifunctional purine biosynthesis protein PURH / bifunctional purine biosynthesis protein ATIC; Parp1; TER94; Acat1; Adsl; Prps; Hex-A; Pgi; purine nucleoside phosphorylase; aralar1; BckdhA; bur; Nipsnap; Pfrx; Pdk; Tpi; Ppcs
Nutrient metabolism	GO:0010906	regulation of glucose metabolic process	38	9	2.75	3.27	0.00121	N13.HOG0005679;N13.HOG0006174;N13.HOG0006537;N13.HOG0006699;N13.HOG0006722;N13.HOG0007383;N13.HOG0007667;N13.HOG0007840;N13.HOG0008395	Akt; Hex-A; midnolin-like / midnolin-A-like; Gnmt; GlyS; Atg1; leucine carboxyl methyltransferase 1; Pfrx; Pdk
Nutrient metabolism	GO:0006633	fatty acid biosynthetic process	31	8	2.24	3.57	0.00124	N13.HOG0000561;N13.HOG0003382;N13.HOG0006063;N13.HOG0006707;N13.HOG0007450;N13.HOG0007931;N13.HOG0008395;N13.HOG0008677	fatty acid synthase; very-long-chain 3-oxoacyl-CoA reductase; Acat1; acyl-CoA synthetase short-chain family member 3, mitochondrial; BckdhA; Pmp70; Pdk; Acadvl
Nutrient metabolism	GO:1901607	alpha-amino acid biosynthetic process	33	9	2.39	3.77	0.00143	N13.HOG0004383;N13.HOG0004957;N13.HOG0004983;N13.HOG0005902;N13.HOG0006699;N13.HOG0006706;N13.HOG0008882;N13.HOG0009118;N13.HOG0011003	rudimentary; Sps1; Cth; Got2; Gnmt; Ahcy; hydroxypyruvate reductase / D-3-phosphoglycerate dehydrogenase; Shmt; alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial
Nutrient metabolism	GO:0046395	carboxylic acid catabolic process	83	29	6.01	4.83	0.00193	N13.HOG0001745;N13.HOG0001967;N13.HOG0002821;N13.HOG0003614;N13.HOG0004983;N13.HOG0005222;N13.HOG0005438;N13.HOG0005629;N13.HOG0005679;N13.HOG0005902;N13.HOG0006063;N13.HOG0006510;N13.HOG0006706;N13.HOG0006783;N13.HOG0007413;N13.HOG0007450;N13.HOG0007555;N13.HOG0007686;N13.HOG0007797;N13.HOG0007897;N13.HOG0007931;N13.HOG0008016;N13.HOG0008139;N13.HOG0008494;N13.HOG0008677;N13.HOG0008908;N13.HOG0008957;N13.HOG0009118;N13.HOG0011003	aldose reductase-like / aldo-keto reductase family 1 member B1-like; kynurenine/alpha-aminoadipate aminotransferase, mitochondrial; yip2; beta-hexosaminidase subunit beta; Cth; Sam-S; alanine aminotransferase 1; xylulose kinase; Akt; Got2; Acat1; Etf-QO; Ahcy; Had1; enoyl-CoA delta isomerase 1, mitochondrial; BckdhA; putative N-acetylglucosamine-6-phosphate deacetylase / N-acetylglucosamine-6-phosphate deacetylase; Echs1; Mtpalpha; Arc42; Pmp70; Mccc1; methylglutaconyl-CoA hydratase, mitochondrial; Pex5; Acadvl; Mtpbeta; isovaleryl-CoA dehydrogenase, mitochondrial; Shmt; alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial
Nutrient metabolism	GO:0032868	response to insulin	114	13	8.26	1.57	0.0022	N13.HOG0002563;N13.HOG0004383;N13.HOG0005558;N13.HOG0005679;N13.HOG0005834;N13.HOG0005902;N13.HOG0006174;N13.HOG0007372;N13.HOG0007797;N13.HOG0007840;N13.HOG0008395;N13.HOG0008762;N13.HOG0010367	solute carrier family 2, facilitated glucose transporter member 1; rudimentary; Cat; Akt; Parp1; Got2; Hex-A; STUB1; Mtpalpha; Pfrx; Pdk; Pp2A-29B; uncharacterized (LOC107068332 / LOC127072682)
Nutrient metabolism	GO:0042178	xenobiotic catabolic process	34	8	2.46	3.25	0.00236	N13.HOG0001967;N13.HOG0002708;N13.HOG0005107;N13.HOG0005558;N13.HOG0006063;N13.HOG0006699;N13.HOG0007164;N13.HOG0007555	kynurenine/alpha-aminoadipate aminotransferase, mitochondrial; peroxiredoxin-like protein; Idgf4; Cat; Acat1; Gnmt; SCOT; putative N-acetylglucosamine-6-phosphate deacetylase / N-acetylglucosamine-6-phosphate deacetylase
Nutrient metabolism	GO:0009066	aspartate family amino acid metabolic process	29	7	2.1	3.33	0.00378	N13.HOG0001967;N13.HOG0004983;N13.HOG0005222;N13.HOG0005902;N13.HOG0006699;N13.HOG0006706;N13.HOG0008882	kynurenine/alpha-aminoadipate aminotransferase, mitochondrial; Cth; Sam-S; Got2; Gnmt; Ahcy; hydroxypyruvate reductase / D-3-phosphoglycerate dehydrogenase
Nutrient metabolism	GO:0170041	non-proteinogenic amino acid metabolic process	29	7	2.1	3.33	0.00378	N13.HOG0001967;N13.HOG0004383;N13.HOG0004983;N13.HOG0005902;N13.HOG0006699;N13.HOG0006706;N13.HOG0008882	kynurenine/alpha-aminoadipate aminotransferase, mitochondrial; rudimentary; Cth; Got2; Gnmt; Ahcy; hydroxypyruvate reductase / D-3-phosphoglycerate dehydrogenase
Hibernation	GO:0008340	determination of adult lifespan	138	23	9.99	2.3	1.1e-4	N13.HOG0000906;N13.HOG0002327;N13.HOG0002352;N13.HOG0002573;N13.HOG0002709;N13.HOG0003075;N13.HOG0005169;N13.HOG0005222;N13.HOG0005558;N13.HOG0005679;N13.HOG0006468;N13.HOG0006699;N13.HOG0006805;N13.HOG0007383;N13.HOG0007641;N13.HOG0007797;N13.HOG0008090;N13.HOG0008109;N13.HOG0008121;N13.HOG0008484;N13.HOG0008808;N13.HOG0008908;N13.HOG0009247	probable multidrug resistance-associated protein lethal(2)03659; Hsc70-4; EF1a-F2; Rpn1; Men; alpha-Man-Ia; Calpb; Sam-S; Cat; Akt; apyrase / soluble calcium-activated nucleotidase 1; Gnmt; Hcf; Atg1; uex; Mtpalpha; ThrRS; LysRS; mle; Tpi; bigmax; Mtpbeta; MAP kinase-interacting serine/threonine-protein kinase 1
Hibernation	GO:0010883	regulation of lipid storage	42	11	3.04	3.62	1.3e-4	N13.HOG0000342;N13.HOG0003382;N13.HOG0004886;N13.HOG0004934;N13.HOG0005222;N13.HOG0005679;N13.HOG0006290;N13.HOG0006574;N13.HOG0007833;N13.HOG0008852;N13.HOG0008887	putative fatty acyl-CoA reductase CG5065 / fatty acyl-CoA reductase 1-like; very-long-chain 3-oxoacyl-CoA reductase; alphaCOP; betaCOP; Sam-S; Akt; gammaCOP; sturkopf; Grasp65; beta'COP; deltaCOP
Hibernation	GO:0001666	response to hypoxia	120	17	8.69	1.96	0.0013	N13.HOG0000906;N13.HOG0001742;N13.HOG0002474;N13.HOG0002563;N13.HOG0002821;N13.HOG0002833;N13.HOG0005169;N13.HOG0005558;N13.HOG0005679;N13.HOG0006106;N13.HOG0006706;N13.HOG0007037;N13.HOG0008395;N13.HOG0009311;N13.HOG0009420;N13.HOG0010084;N13.HOG0011999	probable multidrug resistance-associated protein lethal(2)03659; L-lactate dehydrogenase; Vha100-1; solute carrier family 2, facilitated glucose transporter member 1; yip2; hry; Calpb; Cat; Akt; Adsl; Ahcy; Psn; Pdk; Xpd; Lon; cytoplasmic aconitate hydratase; Stat92E
Hibernation	GO:0036503	ERAD pathway	34	8	2.46	3.25	0.00236	N13.HOG0003332;N13.HOG0005899;N13.HOG0006381;N13.HOG0007010;N13.HOG0008814;N13.HOG0008828;N13.HOG0008844;N13.HOG0011108	Hrd3; TER94; E3 ubiquitin-protein ligase RNF185; UBX domain-containing protein 4; Rpt1; Usp5; MARCH6; Sec61beta
Hibernation	GO:0006979	response to oxidative stress	168	21	12.17	1.73	0.00281	N13.HOG0000906;N13.HOG0001720;N13.HOG0001742;N13.HOG0002708;N13.HOG0004879;N13.HOG0005558;N13.HOG0005679;N13.HOG0005834;N13.HOG0006510;N13.HOG0006805;N13.HOG0007037;N13.HOG0007383;N13.HOG0008012;N13.HOG0008215;N13.HOG0008395;N13.HOG0008511;N13.HOG0008818;N13.HOG0009311;N13.HOG0009420;N13.HOG0009669;N13.HOG0009810	probable multidrug resistance-associated protein lethal(2)03659; Cyt-b5; L-lactate dehydrogenase; peroxiredoxin-like protein; Jra; Cat; Akt; Parp1; Etf-QO; Hcf; Psn; Atg1; Idh; serine/threonine-protein kinase OSR1; Pdk; Ercc1; Rpi; Xpd; Lon; F-box-like/WD repeat-containing protein TBL1XR1; transformer 2
Reproduction	GO:0071364	cellular response to epidermal growth factor stimulus	20	6	1.45	4.14	0.00222	N13.HOG0002352;N13.HOG0004383;N13.HOG0005679;N13.HOG0010084;N13.HOG0011272;N13.HOG0011999	EF1a-F2; rudimentary; Akt; cytoplasmic aconitate hydratase; emc; Stat92E
Reproduction	GO:0008585	female gonad development	38	7	2.75	2.55	0.00745	N13.HOG0003345;N13.HOG0003347;N13.HOG0006427;N13.HOG0008012;N13.HOG0008968;N13.HOG0009652;N13.HOG0011999	Awh; LIM/homeobox protein Awh; Rpn13; Idh; Nup107; forkhead box protein D2-like / fork head domain transcription factor slp1-like; Stat92E
Reproduction	GO:0016333	morphogenesis of follicular epithelium	28	6	2.03	2.96	0.0132	N13.HOG0002495;N13.HOG0003324;N13.HOG0005834;N13.HOG0007833;N13.HOG0008502;N13.HOG0010849	sqd; rin; Parp1; Grasp65; Ppcs; egh
Other	GO:0051262	protein tetramerization	36	14	2.61	5.36	7.1e-8	N13.HOG0002709;N13.HOG0002756;N13.HOG0004055;N13.HOG0004983;N13.HOG0005222;N13.HOG0005558;N13.HOG0006106;N13.HOG0006699;N13.HOG0006880;N13.HOG0006944;N13.HOG0007453;N13.HOG0007897;N13.HOG0008494;N13.HOG0009118	Men; Klp61F; RnrL; Cth; Sam-S; Cat; Adsl; Gnmt; Cpsf6; Cpsf5; Nup58; Arc42; Pex5; Shmt
