Comparison	Direction	GO ID	GO term	Annotated HOGs	Foreground HOGs	Expected HOGs	Fold enrichment	weight01 P	Contributing HOGs	Contributing consensus HOG names
Polistes L4 to Vespula L2	Concordant up	GO:0071684	organism emergence from protective structure	27	3	0.22	13.6	0.0013	N13.HOG0002535; N13.HOG0003585; N13.HOG0004754	Chi; br; Ecr
Polistes L4 to Vespula L2	Concordant up	GO:0010656	negative regulation of muscle cell apoptotic process	28	3	0.23	13	0.00145	N13.HOG0001538; N13.HOG0006185; N13.HOG0007424	krz; glycogen synthase kinase-3 beta; Pdk1
Polistes L4 to Vespula L2	Concordant up	GO:0034121	regulation of toll-like receptor signaling pathway	28	3	0.23	13	0.00145	N13.HOG0001538; N13.HOG0004754; N13.HOG0007424	krz; Ecr; Pdk1
Polistes L4 to Vespula L2	Concordant up	GO:0030334	regulation of cell migration	374	7	3.04	2.3	0.00159	N13.HOG0002535; N13.HOG0005090; N13.HOG0006185; N13.HOG0007424; N13.HOG0007601; N13.HOG0008444; N13.HOG0009354	Chi; Ptx1; glycogen synthase kinase-3 beta; Pdk1; WD repeat-containing protein 44; Ptp99A; amyloid beta A4 precursor protein-binding family B member 1-interacting protein
Polistes L4 to Vespula L2	Concordant up	GO:0008585	female gonad development	64	7	0.52	13.5	0.00161	N13.HOG0000655; N13.HOG0001538; N13.HOG0003345; N13.HOG0005004; N13.HOG0005090; N13.HOG0006201; N13.HOG0009652	protein bric-a-brac 2-like / protein bric-a-brac 1-like; krz; Awh; ss; Ptx1; Actbeta; forkhead box protein D2-like / fork head domain transcription factor slp1-like
Polistes L4 to Vespula L2	Concordant up	GO:0014014	negative regulation of gliogenesis	30	3	0.24	12.5	0.00178	N13.HOG0005090; N13.HOG0009018; N13.HOG0009303	Ptx1; ski oncogene; Ntan1
Polistes L4 to Vespula L2	Concordant up	GO:0048102	autophagic cell death	31	3	0.25	12	0.00196	N13.HOG0003585; N13.HOG0004754; N13.HOG0006858	br; Ecr; Atg17
Polistes L4 to Vespula L2	Concordant up	GO:0016055	Wnt signaling pathway	275	9	2.24	4.02	0.00224	N13.HOG0001538; N13.HOG0002535; N13.HOG0005090; N13.HOG0006185; N13.HOG0007312; N13.HOG0008057; N13.HOG0008458; N13.HOG0009018; N13.HOG0009263	krz; Chi; Ptx1; glycogen synthase kinase-3 beta; Tnks; sfl; AP-2alpha; ski oncogene; nmo
Polistes L4 to Vespula L2	Concordant up	GO:0035070	salivary gland histolysis	33	3	0.27	11.1	0.00235	N13.HOG0003585; N13.HOG0004754; N13.HOG0006858	br; Ecr; Atg17
Polistes L4 to Vespula L2	Concordant up	GO:0007267	cell-cell signaling	776	14	6.32	2.22	0.00247	N13.HOG0001538; N13.HOG0002535; N13.HOG0002860; N13.HOG0005090; N13.HOG0005374; N13.HOG0006185; N13.HOG0006201; N13.HOG0006537; N13.HOG0006961; N13.HOG0007312; N13.HOG0008057; N13.HOG0008458; N13.HOG0009263; N13.HOG0009652	krz; Chi; Task6; Ptx1; Sap47; glycogen synthase kinase-3 beta; Actbeta; midnolin-like / midnolin-A-like; phosphoenolpyruvate carboxykinase [GTP]; Tnks; sfl; AP-2alpha; nmo; forkhead box protein D2-like / fork head domain transcription factor slp1-like
Polistes L4 to Vespula L2	Concordant up	GO:0007455	eye-antennal disc morphogenesis	34	3	0.28	10.7	0.00256	N13.HOG0000655; N13.HOG0005004; N13.HOG0010831	protein bric-a-brac 2-like / protein bric-a-brac 1-like; ss; uncharacterized (LOC107063880 / LOC127066682)
Polistes L4 to Vespula L2	Concordant up	GO:0071320	cellular response to cAMP	34	3	0.28	10.7	0.00256	N13.HOG0005004; N13.HOG0006201; N13.HOG0006961	ss; Actbeta; phosphoenolpyruvate carboxykinase [GTP]
Polistes L4 to Vespula L2	Concordant up	GO:0008584	male gonad development	74	4	0.6	6.67	0.00298	N13.HOG0002885; N13.HOG0005090; N13.HOG0006201; N13.HOG0009652	transcription factor Sox-8-like / sex-determining region Y protein-like; Ptx1; Actbeta; forkhead box protein D2-like / fork head domain transcription factor slp1-like
Polistes L4 to Vespula L2	Concordant up	GO:0032989	cellular anatomical entity morphogenesis	796	14	6.48	2.16	0.00311	N13.HOG0002503; N13.HOG0002535; N13.HOG0003585; N13.HOG0003843; N13.HOG0004032; N13.HOG0004754; N13.HOG0005004; N13.HOG0005862; N13.HOG0006185; N13.HOG0006201; N13.HOG0008444; N13.HOG0009018; N13.HOG0009354; N13.HOG0009616	homeobox protein araucan; Chi; br; Shrm; jvl; Ecr; ss; capt; glycogen synthase kinase-3 beta; Actbeta; Ptp99A; ski oncogene; amyloid beta A4 precursor protein-binding family B member 1-interacting protein; zinc finger protein 497
Polistes L4 to Vespula L2	Concordant up	GO:0010669	epithelial structure maintenance	37	3	0.3	10	0.00327	N13.HOG0002535; N13.HOG0004558; N13.HOG0006858	Chi; Root; Atg17
Polistes L4 to Vespula L2	Concordant up	GO:0000271	polysaccharide biosynthetic process	33	3	0.27	11.1	0.00332	N13.HOG0006185; N13.HOG0008057; N13.HOG0008458	glycogen synthase kinase-3 beta; sfl; AP-2alpha
Polistes L4 to Vespula L2	Concordant up	GO:0003073	regulation of systemic arterial blood pressure	38	3	0.31	9.68	0.00353	N13.HOG0005004; N13.HOG0006185; N13.HOG0008057	ss; glycogen synthase kinase-3 beta; sfl
Polistes L4 to Vespula L2	Concordant up	GO:0055013	cardiac muscle cell development	38	3	0.31	9.68	0.00353	N13.HOG0005090; N13.HOG0006185; N13.HOG0010318	Ptx1; glycogen synthase kinase-3 beta; scalloped
Polistes L4 to Vespula L2	Concordant up	GO:0033044	regulation of chromosome organization	306	7	2.49	2.81	0.00371	N13.HOG0001538; N13.HOG0004883; N13.HOG0005197; N13.HOG0006185; N13.HOG0007312; N13.HOG0009018; N13.HOG0009616	krz; Psq; mu2; glycogen synthase kinase-3 beta; Tnks; ski oncogene; zinc finger protein 497
Polistes L4 to Vespula L2	Concordant up	GO:0010629	negative regulation of gene expression	1153	20	9.38	2.13	0.00399	N13.HOG0001538; N13.HOG0002535; N13.HOG0002885; N13.HOG0003585; N13.HOG0003957; N13.HOG0004754; N13.HOG0004883; N13.HOG0005004; N13.HOG0005090; N13.HOG0005197; N13.HOG0005532; N13.HOG0005551; N13.HOG0006185; N13.HOG0006201; N13.HOG0006218; N13.HOG0008726; N13.HOG0009018; N13.HOG0009652; N13.HOG0010318; N13.HOG0010525	krz; Chi; transcription factor Sox-8-like / sex-determining region Y protein-like; br; hth; Ecr; Psq; ss; Ptx1; mu2; mub; Dora; glycogen synthase kinase-3 beta; Actbeta; Mad; Pits; ski oncogene; forkhead box protein D2-like / fork head domain transcription factor slp1-like; scalloped; DDB1- and CUL4-associated factor 11
Polistes L4 to Vespula L2	Concordant up	GO:2000573	positive regulation of DNA biosynthetic process	40	3	0.33	9.09	0.00408	N13.HOG0001538; N13.HOG0006185; N13.HOG0007312	krz; glycogen synthase kinase-3 beta; Tnks
Polistes L4 to Vespula L2	Concordant up	GO:2000736	regulation of stem cell differentiation	70	5	0.57	8.77	0.00429	N13.HOG0000655; N13.HOG0002535; N13.HOG0006185; N13.HOG0008458; N13.HOG0010318	protein bric-a-brac 2-like / protein bric-a-brac 1-like; Chi; glycogen synthase kinase-3 beta; AP-2alpha; scalloped
Polistes L4 to Vespula L2	Concordant up	GO:0001708	cell fate specification	187	6	1.52	3.95	0.00436	N13.HOG0002503; N13.HOG0003345; N13.HOG0003957; N13.HOG0006201; N13.HOG0009263; N13.HOG0010318	homeobox protein araucan; Awh; hth; Actbeta; nmo; scalloped
Polistes L4 to Vespula L2	Concordant up	GO:0035295	tube development	950	20	7.73	2.59	0.00458	N13.HOG0000655; N13.HOG0002503; N13.HOG0002535; N13.HOG0002885; N13.HOG0003345; N13.HOG0003957; N13.HOG0004754; N13.HOG0004883; N13.HOG0005004; N13.HOG0005090; N13.HOG0005862; N13.HOG0006185; N13.HOG0006201; N13.HOG0007424; N13.HOG0008057; N13.HOG0009018; N13.HOG0009263; N13.HOG0009354; N13.HOG0010318; N13.HOG0010831	protein bric-a-brac 2-like / protein bric-a-brac 1-like; homeobox protein araucan; Chi; transcription factor Sox-8-like / sex-determining region Y protein-like; Awh; hth; Ecr; Psq; ss; Ptx1; capt; glycogen synthase kinase-3 beta; Actbeta; Pdk1; sfl; ski oncogene; nmo; amyloid beta A4 precursor protein-binding family B member 1-interacting protein; scalloped; uncharacterized (LOC107063880 / LOC127066682)
Polistes L4 to Vespula L2	Concordant up	GO:0008407	chaeta morphogenesis	42	3	0.34	8.82	0.00469	N13.HOG0002535; N13.HOG0005862; N13.HOG0006185	Chi; capt; glycogen synthase kinase-3 beta
Polistes L4 to Vespula L2	Concordant up	GO:1901653	cellular response to peptide	197	6	1.6	3.75	0.00506	N13.HOG0004754; N13.HOG0005374; N13.HOG0006185; N13.HOG0006201; N13.HOG0006961; N13.HOG0007424	Ecr; Sap47; glycogen synthase kinase-3 beta; Actbeta; phosphoenolpyruvate carboxykinase [GTP]; Pdk1
Polistes L4 to Vespula L2	Concordant up	GO:0007476	imaginal disc-derived wing morphogenesis	276	10	2.25	4.44	0.00623	N13.HOG0002503; N13.HOG0002535; N13.HOG0003957; N13.HOG0004754; N13.HOG0004883; N13.HOG0006185; N13.HOG0006201; N13.HOG0008057; N13.HOG0009263; N13.HOG0010318	homeobox protein araucan; Chi; hth; Ecr; Psq; glycogen synthase kinase-3 beta; Actbeta; sfl; nmo; scalloped
Polistes L4 to Vespula L2	Concordant up	GO:0032879	regulation of localization	1314	18	10.69	1.68	0.00633	N13.HOG0001538; N13.HOG0002535; N13.HOG0002860; N13.HOG0003976; N13.HOG0004558; N13.HOG0004754; N13.HOG0005090; N13.HOG0005551; N13.HOG0006185; N13.HOG0006201; N13.HOG0006537; N13.HOG0006961; N13.HOG0007424; N13.HOG0007601; N13.HOG0008444; N13.HOG0008458; N13.HOG0009354; N13.HOG0009652	krz; Chi; Task6; rho-5; Root; Ecr; Ptx1; Dora; glycogen synthase kinase-3 beta; Actbeta; midnolin-like / midnolin-A-like; phosphoenolpyruvate carboxykinase [GTP]; Pdk1; WD repeat-containing protein 44; Ptp99A; AP-2alpha; amyloid beta A4 precursor protein-binding family B member 1-interacting protein; forkhead box protein D2-like / fork head domain transcription factor slp1-like
Polistes L4 to Vespula L2	Concordant up	GO:0045444	fat cell differentiation	99	4	0.81	4.94	0.00827	N13.HOG0002885; N13.HOG0005374; N13.HOG0006185; N13.HOG0006201	transcription factor Sox-8-like / sex-determining region Y protein-like; Sap47; glycogen synthase kinase-3 beta; Actbeta
Polistes L4 to Vespula L2	Concordant up	GO:0035019	somatic stem cell population maintenance	52	3	0.42	7.14	0.00852	N13.HOG0002535; N13.HOG0006185; N13.HOG0009018	Chi; glycogen synthase kinase-3 beta; ski oncogene
Polistes L4 to Vespula L2	Concordant up	GO:0032869	cellular response to insulin stimulus	184	6	1.5	4	0.00859	N13.HOG0004754; N13.HOG0005374; N13.HOG0006185; N13.HOG0006201; N13.HOG0006961; N13.HOG0007424	Ecr; Sap47; glycogen synthase kinase-3 beta; Actbeta; phosphoenolpyruvate carboxykinase [GTP]; Pdk1
Polistes L4 to Vespula L2	Concordant up	GO:0035567	non-canonical Wnt signaling pathway	56	4	0.46	8.7	0.00865	N13.HOG0001538; N13.HOG0006185; N13.HOG0008458; N13.HOG0009263	krz; glycogen synthase kinase-3 beta; AP-2alpha; nmo
Polistes L4 to Vespula L2	Concordant up	GO:0045785	positive regulation of cell adhesion	138	4	1.12	3.57	0.00884	N13.HOG0002535; N13.HOG0006185; N13.HOG0007424; N13.HOG0009354	Chi; glycogen synthase kinase-3 beta; Pdk1; amyloid beta A4 precursor protein-binding family B member 1-interacting protein
Polistes L4 to Vespula L2	Concordant up	GO:0007474	imaginal disc-derived wing vein specification	53	3	0.43	6.98	0.00898	N13.HOG0002503; N13.HOG0008057; N13.HOG0009263	homeobox protein araucan; sfl; nmo
Polistes L4 to Vespula L2	Concordant up	GO:0032092	positive regulation of protein binding	53	3	0.43	6.98	0.00898	N13.HOG0001538; N13.HOG0005374; N13.HOG0006185	krz; Sap47; glycogen synthase kinase-3 beta
Polistes L4 to Vespula L2	Concordant up	GO:0018107	peptidyl-threonine phosphorylation	82	4	0.67	5.97	0.00911	N13.HOG0006185; N13.HOG0007312; N13.HOG0007424; N13.HOG0009263	glycogen synthase kinase-3 beta; Tnks; Pdk1; nmo
Polistes L4 to Vespula L2	Concordant up	GO:0006469	negative regulation of protein kinase activity	133	4	1.08	3.7	0.0108	N13.HOG0001538; N13.HOG0006185; N13.HOG0007424; N13.HOG0009701	krz; glycogen synthase kinase-3 beta; Pdk1; lateral signaling target protein 2 homolog
Polistes L4 to Vespula L2	Concordant up	GO:0030514	negative regulation of BMP signaling pathway	57	3	0.46	6.52	0.011	N13.HOG0006185; N13.HOG0009018; N13.HOG0009263	glycogen synthase kinase-3 beta; ski oncogene; nmo
Polistes L4 to Vespula L2	Concordant up	GO:0043255	regulation of carbohydrate biosynthetic process	47	3	0.38	7.89	0.011	N13.HOG0006185; N13.HOG0006961; N13.HOG0008458	glycogen synthase kinase-3 beta; phosphoenolpyruvate carboxykinase [GTP]; AP-2alpha
Polistes L4 to Vespula L2	Concordant up	GO:0045927	positive regulation of growth	291	8	2.37	3.38	0.0118	N13.HOG0001538; N13.HOG0005004; N13.HOG0006185; N13.HOG0006201; N13.HOG0007424; N13.HOG0009263; N13.HOG0009354; N13.HOG0010525	krz; ss; glycogen synthase kinase-3 beta; Actbeta; Pdk1; nmo; amyloid beta A4 precursor protein-binding family B member 1-interacting protein; DDB1- and CUL4-associated factor 11
Polistes L4 to Vespula L2	Concordant up	GO:0045793	positive regulation of cell size	60	3	0.49	6.12	0.0126	N13.HOG0005004; N13.HOG0006858; N13.HOG0007424	ss; Atg17; Pdk1
Polistes L4 to Vespula L2	Concordant up	GO:0043410	positive regulation of MAPK cascade	213	5	1.73	2.89	0.0129	N13.HOG0001538; N13.HOG0003957; N13.HOG0006858; N13.HOG0007312; N13.HOG0008057	krz; hth; Atg17; Tnks; sfl
Polistes L4 to Vespula L2	Concordant up	GO:0045926	negative regulation of growth	211	5	1.72	2.91	0.0129	N13.HOG0002503; N13.HOG0003957; N13.HOG0004754; N13.HOG0006185; N13.HOG0006218	homeobox protein araucan; hth; Ecr; glycogen synthase kinase-3 beta; Mad
Polistes L4 to Vespula L2	Concordant up	GO:0090175	regulation of establishment of planar polarity	61	3	0.5	6	0.0132	N13.HOG0001538; N13.HOG0008458; N13.HOG0009263	krz; AP-2alpha; nmo
Polistes L4 to Vespula L2	Concordant up	GO:0042461	photoreceptor cell development	147	3	1.2	2.5	0.0136	N13.HOG0004754; N13.HOG0005004; N13.HOG0005862	Ecr; ss; capt
Polistes L4 to Vespula L2	Concordant up	GO:0048870	cell motility	838	16	6.82	2.35	0.0136	N13.HOG0000187; N13.HOG0001538; N13.HOG0002535; N13.HOG0002885; N13.HOG0003345; N13.HOG0003843; N13.HOG0004754; N13.HOG0005090; N13.HOG0005862; N13.HOG0006185; N13.HOG0007424; N13.HOG0007601; N13.HOG0008057; N13.HOG0008444; N13.HOG0009018; N13.HOG0009354	Dhc16F; krz; Chi; transcription factor Sox-8-like / sex-determining region Y protein-like; Awh; Shrm; Ecr; Ptx1; capt; glycogen synthase kinase-3 beta; Pdk1; WD repeat-containing protein 44; sfl; Ptp99A; ski oncogene; amyloid beta A4 precursor protein-binding family B member 1-interacting protein
Polistes L4 to Vespula L2	Concordant up	GO:0007611	learning or memory	297	9	2.42	3.72	0.0146	N13.HOG0003345; N13.HOG0003957; N13.HOG0004754; N13.HOG0005004; N13.HOG0005374; N13.HOG0006185; N13.HOG0007424; N13.HOG0008444; N13.HOG0009303	Awh; hth; Ecr; ss; Sap47; glycogen synthase kinase-3 beta; Pdk1; Ptp99A; Ntan1
Polistes L4 to Vespula L2	Concordant up	GO:0071248	cellular response to metal ion	90	4	0.73	5.48	0.0151	N13.HOG0002860; N13.HOG0006185; N13.HOG0006201; N13.HOG0010525	Task6; glycogen synthase kinase-3 beta; Actbeta; DDB1- and CUL4-associated factor 11
Polistes L4 to Vespula L2	Concordant up	GO:0060429	epithelium development	1185	26	9.64	2.7	0.0153	N13.HOG0000655; N13.HOG0001538; N13.HOG0002503; N13.HOG0002535; N13.HOG0002885; N13.HOG0003345; N13.HOG0003585; N13.HOG0003843; N13.HOG0003847; N13.HOG0003957; N13.HOG0004754; N13.HOG0004883; N13.HOG0005004; N13.HOG0005090; N13.HOG0005862; N13.HOG0006185; N13.HOG0006961; N13.HOG0007424; N13.HOG0008057; N13.HOG0008458; N13.HOG0009018; N13.HOG0009263; N13.HOG0009354; N13.HOG0009652; N13.HOG0010318; N13.HOG0010831	protein bric-a-brac 2-like / protein bric-a-brac 1-like; krz; homeobox protein araucan; Chi; transcription factor Sox-8-like / sex-determining region Y protein-like; Awh; br; Shrm; cmpy; hth; Ecr; Psq; ss; Ptx1; capt; glycogen synthase kinase-3 beta; phosphoenolpyruvate carboxykinase [GTP]; Pdk1; sfl; AP-2alpha; ski oncogene; nmo; amyloid beta A4 precursor protein-binding family B member 1-interacting protein; forkhead box protein D2-like / fork head domain transcription factor slp1-like; scalloped; uncharacterized (LOC107063880 / LOC127066682)
Polistes L4 to Vespula L2	Concordant up	GO:0048520	positive regulation of behavior	66	3	0.54	5.56	0.0163	N13.HOG0003976; N13.HOG0004754; N13.HOG0005551	rho-5; Ecr; Dora
Polistes L4 to Vespula L2	Concordant up	GO:1903707	negative regulation of hemopoiesis	66	3	0.54	5.56	0.0163	N13.HOG0001538; N13.HOG0002535; N13.HOG0003957	krz; Chi; hth
Polistes L4 to Vespula L2	Concordant up	GO:0010906	regulation of glucose metabolic process	66	4	0.54	7.41	0.0164	N13.HOG0006185; N13.HOG0006201; N13.HOG0006537; N13.HOG0006961	glycogen synthase kinase-3 beta; Actbeta; midnolin-like / midnolin-A-like; phosphoenolpyruvate carboxykinase [GTP]
Polistes L4 to Vespula L2	Concordant up	GO:0008356	asymmetric cell division	137	4	1.11	3.6	0.0166	N13.HOG0003473; N13.HOG0008458; N13.HOG0009263; N13.HOG0010318	Incenp; AP-2alpha; nmo; scalloped
Polistes L4 to Vespula L2	Concordant up	GO:0040011	locomotion	1173	19	9.55	1.99	0.0166	N13.HOG0000187; N13.HOG0001538; N13.HOG0002535; N13.HOG0002885; N13.HOG0003345; N13.HOG0003585; N13.HOG0003843; N13.HOG0004754; N13.HOG0005090; N13.HOG0005551; N13.HOG0005862; N13.HOG0006185; N13.HOG0007424; N13.HOG0007601; N13.HOG0008057; N13.HOG0008444; N13.HOG0009018; N13.HOG0009263; N13.HOG0009354	Dhc16F; krz; Chi; transcription factor Sox-8-like / sex-determining region Y protein-like; Awh; br; Shrm; Ecr; Ptx1; Dora; capt; glycogen synthase kinase-3 beta; Pdk1; WD repeat-containing protein 44; sfl; Ptp99A; ski oncogene; nmo; amyloid beta A4 precursor protein-binding family B member 1-interacting protein
Polistes L4 to Vespula L2	Concordant up	GO:0007350	blastoderm segmentation	214	5	1.74	2.87	0.0177	N13.HOG0002535; N13.HOG0003957; N13.HOG0004883; N13.HOG0006185; N13.HOG0008057	Chi; hth; Psq; glycogen synthase kinase-3 beta; sfl
Polistes L4 to Vespula L2	Concordant up	GO:0007519	skeletal muscle tissue development	98	4	0.8	5	0.0177	N13.HOG0002885; N13.HOG0005090; N13.HOG0009018; N13.HOG0009652	transcription factor Sox-8-like / sex-determining region Y protein-like; Ptx1; ski oncogene; forkhead box protein D2-like / fork head domain transcription factor slp1-like
Polistes L4 to Vespula L2	Concordant up	GO:0007444	imaginal disc development	543	16	4.42	3.62	0.0189	N13.HOG0000655; N13.HOG0002503; N13.HOG0002535; N13.HOG0003345; N13.HOG0003957; N13.HOG0004754; N13.HOG0004883; N13.HOG0005004; N13.HOG0005862; N13.HOG0006185; N13.HOG0006201; N13.HOG0008057; N13.HOG0009263; N13.HOG0009354; N13.HOG0010318; N13.HOG0010831	protein bric-a-brac 2-like / protein bric-a-brac 1-like; homeobox protein araucan; Chi; Awh; hth; Ecr; Psq; ss; capt; glycogen synthase kinase-3 beta; Actbeta; sfl; nmo; amyloid beta A4 precursor protein-binding family B member 1-interacting protein; scalloped; uncharacterized (LOC107063880 / LOC127066682)
Polistes L4 to Vespula L2	Concordant down	GO:0006361	transcription initiation at RNA polymerase I promoter	26	3	0.11	27.3	1.8e-4	N13.HOG0007119; N13.HOG0007144; N13.HOG0009740	Polr1C; Mat1; Tif-IA
Polistes L4 to Vespula L2	Concordant down	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	55	3	0.24	12.5	0.00168	N13.HOG0005994; N13.HOG0006883; N13.HOG0009740	Noc2; Ak6; Tif-IA
Polistes L4 to Vespula L2	Concordant down	GO:0042795	snRNA transcription by RNA polymerase II	60	3	0.26	11.5	0.00216	N13.HOG0006883; N13.HOG0008955; N13.HOG0009514	Ak6; TfIIEalpha; putative RNA polymerase II subunit B1 CTD phosphatase RPAP2
Polistes L4 to Vespula L2	Concordant down	GO:0006364	rRNA processing	187	6	0.81	7.41	0.00723	N13.HOG0005325; N13.HOG0006247; N13.HOG0006279; N13.HOG0007677; N13.HOG0008269; N13.HOG0008780	bys; testis-expressed sequence 10 protein homolog / testis-expressed protein 10 homolog; proline-, glutamic acid- and leucine-rich protein 1-like; RIOK2; H/ACA ribonucleoprotein complex non-core subunit NAF1; Pop4
Polistes L4 to Vespula L2	Concordant down	GO:0071166	ribonucleoprotein complex localization	107	3	0.47	6.38	0.0109	N13.HOG0007039; N13.HOG0007290; N13.HOG0007677	Slbp; PCID2; RIOK2
Polistes L4 to Vespula L2	Concordant down	GO:0044770	cell cycle phase transition	437	5	1.9	2.63	0.016	N13.HOG0007039; N13.HOG0007144; N13.HOG0007290; N13.HOG0007677; N13.HOG0011111	Slbp; Mat1; PCID2; RIOK2; Sap30
