Node	HOG	change	pvalue	direction	source
21	N0.HOG0018187	-1	0.0450356	contraction	main_model
21	N0.HOG0000236	1	0.0458698	expansion	main_model
21	N0.HOG0000373	1	0.0458698	expansion	main_model
22	N0.HOG0000236	4	2.08742e-06	expansion	main_model
22	N0.HOG0000053	3	1.27567e-05	expansion	main_model
22	N0.HOG0000346	2	0.00017522	expansion	main_model
22	N0.HOG0000175	3	0.000278725	expansion	main_model
22	N0.HOG0000159	-2	0.000573225	contraction	main_model
22	N0.HOG0000059	2	0.00557313	expansion	main_model
22	N0.HOG0000149	1	0.00935839	expansion	main_model
22	N0.HOG0000738	1	0.00935839	expansion	main_model
22	N0.HOG0000780	1	0.00935839	expansion	main_model
22	N0.HOG0000803	1	0.00935839	expansion	main_model
22	N0.HOG0001447	1	0.00935839	expansion	main_model
22	N0.HOG0001532	1	0.00935839	expansion	main_model
22	N0.HOG0001831	1	0.00935839	expansion	main_model
22	N0.HOG0005916	1	0.00935839	expansion	main_model
22	N0.HOG0009111	1	0.00935839	expansion	main_model
22	N0.HOG0010022	1	0.00935839	expansion	main_model
22	N0.HOG0000186	-1	0.0277344	contraction	main_model
22	N0.HOG0000264	-1	0.0277344	contraction	main_model
22	N0.HOG0000984	-1	0.0277344	contraction	main_model
22	N0.HOG0001758	-1	0.0277344	contraction	main_model
22	N0.HOG0008381	-1	0.0277344	contraction	main_model
22	N0.HOG0009192	-1	0.0277344	contraction	main_model
22	N0.HOG0009637	-1	0.0277344	contraction	main_model
22	N0.HOG0009708	-1	0.0277344	contraction	main_model
22	N0.HOG0010006	-1	0.0277344	contraction	main_model
22	N0.HOG0010028	-1	0.0277344	contraction	main_model
22	N0.HOG0010189	-1	0.0277344	contraction	main_model
22	N0.HOG0010765	-1	0.0277344	contraction	main_model
22	N0.HOG0011661	-1	0.0277344	contraction	main_model
22	N0.HOG0012230	-1	0.0277344	contraction	main_model
22	N0.HOG0013848	-1	0.0277344	contraction	main_model
22	N0.HOG0016956	-1	0.0277344	contraction	main_model
22	N0.HOG0000263	1	0.0280602	expansion	main_model
22	N0.HOG0001179	1	0.0280602	expansion	main_model
22	N0.HOG0000055	1	0.046643	expansion	main_model
22	N0.HOG0000063	1	0.046643	expansion	main_model
23	N0.HOG0000236	3	0.000153357	expansion	main_model
23	N0.HOG0000007	1	0.00569069	expansion	main_model
23	N0.HOG0000123	1	0.00569069	expansion	main_model
23	N0.HOG0000260	1	0.00569069	expansion	main_model
23	N0.HOG0000333	1	0.00569069	expansion	main_model
23	N0.HOG0000667	1	0.00569069	expansion	main_model
23	N0.HOG0000703	1	0.00569069	expansion	main_model
23	N0.HOG0000817	1	0.00569069	expansion	main_model
23	N0.HOG0000955	1	0.00569069	expansion	main_model
23	N0.HOG0000962	1	0.00569069	expansion	main_model
23	N0.HOG0001127	1	0.00569069	expansion	main_model
23	N0.HOG0001166	1	0.00569069	expansion	main_model
23	N0.HOG0001284	1	0.00569069	expansion	main_model
23	N0.HOG0002557	1	0.00569069	expansion	main_model
23	N0.HOG0002857	1	0.00569069	expansion	main_model
23	N0.HOG0007679	1	0.00569069	expansion	main_model
23	N0.HOG0000465	1	0.0113814	expansion	main_model
23	N0.HOG0000858	1	0.0113814	expansion	main_model
23	N0.HOG0000031	-1	0.0169447	contraction	main_model
23	N0.HOG0000189	-1	0.0169447	contraction	main_model
23	N0.HOG0000289	-1	0.0169447	contraction	main_model
23	N0.HOG0000708	-1	0.0169447	contraction	main_model
23	N0.HOG0000732	-1	0.0169447	contraction	main_model
23	N0.HOG0000832	-1	0.0169447	contraction	main_model
23	N0.HOG0001030	-1	0.0169447	contraction	main_model
23	N0.HOG0001383	-1	0.0169447	contraction	main_model
23	N0.HOG0001739	-1	0.0169447	contraction	main_model
23	N0.HOG0002072	-1	0.0169447	contraction	main_model
23	N0.HOG0008416	-1	0.0169447	contraction	main_model
23	N0.HOG0009445	-1	0.0169447	contraction	main_model
23	N0.HOG0009657	-1	0.0169447	contraction	main_model
23	N0.HOG0009732	-1	0.0169447	contraction	main_model
23	N0.HOG0010011	-1	0.0169447	contraction	main_model
23	N0.HOG0010338	-1	0.0169447	contraction	main_model
23	N0.HOG0011094	-1	0.0169447	contraction	main_model
23	N0.HOG0015307	-1	0.0169447	contraction	main_model
23	N0.HOG0001419	1	0.0170686	expansion	main_model
23	N0.HOG0000099	1	0.0227487	expansion	main_model
23	N0.HOG0000201	1	0.0227487	expansion	main_model
23	N0.HOG0000228	1	0.0284187	expansion	main_model
23	N0.HOG0000531	-1	0.0333814	contraction	main_model
23	N0.HOG0001150	-1	0.0333814	contraction	main_model
23	N0.HOG0002239	-1	0.0333814	contraction	main_model
23	N0.HOG0000770	1	0.0340755	expansion	main_model
24	N0.HOG0000053	-4	1.75106e-08	contraction	main_model
24	N0.HOG0001203	3	3.00173e-07	expansion	main_model
24	N0.HOG0000283	2	3.55818e-05	expansion	main_model
24	N0.HOG0001114	2	3.55818e-05	expansion	main_model
24	N0.HOG0001414	2	3.55818e-05	expansion	main_model
24	N0.HOG0001933	2	0.000176716	expansion	main_model
24	N0.HOG0000048	1	0.00421777	expansion	main_model
24	N0.HOG0000292	1	0.00421777	expansion	main_model
24	N0.HOG0000422	1	0.00421777	expansion	main_model
24	N0.HOG0000425	1	0.00421777	expansion	main_model
24	N0.HOG0000761	1	0.00421777	expansion	main_model
24	N0.HOG0000787	1	0.00421777	expansion	main_model
24	N0.HOG0000790	1	0.00421777	expansion	main_model
24	N0.HOG0000938	1	0.00421777	expansion	main_model
24	N0.HOG0001036	1	0.00421777	expansion	main_model
24	N0.HOG0001099	1	0.00421777	expansion	main_model
