focus_node	focus_label	HOG	OG	change	pvalue	msa_file	tree_file	msa_found	tree_found
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0001142	OG0000903	1	0.018693	""	OG0000903_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0001238	OG0000994	1	0.018693	""	OG0000994_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0001313	OG0001062	1	0.018693	""	OG0001062_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0001360	OG0001103	1	0.018693	""	OG0001103_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0001531	OG0001253	1	0.018693	""	OG0001253_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0001978	OG0001670	1	0.018693	""	OG0001670_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000019	OG0000006	2	0.0279526	""	OG0000006_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000163	OG0000099	1	0.0373917	""	OG0000099_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000179	OG0000112	1	0.0373917	""	OG0000112_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000203	OG0000124	1	0.0373917	""	OG0000124_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000207	OG0000127	1	0.0373917	""	OG0000127_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000222	OG0000141	1	0.0373917	""	OG0000141_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000262	OG0000173	1	0.0373917	""	OG0000173_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000269	OG0000178	1	0.0373917	""	OG0000178_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000295	OG0000201	1	0.0373917	""	OG0000201_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000499	OG0000361	1	0.0373917	""	OG0000361_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0001179	OG0000938	1	0.0373917	""	OG0000938_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000098	OG0000050	6	2.74863e-09	""	OG0000050_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000175	OG0000108	5	1.35118e-08	""	OG0000108_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000228	OG0000147	4	4.40842e-07	""	OG0000147_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000046	OG0000023	4	2.09741e-06	""	OG0000023_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000770	OG0000597	4	2.09741e-06	""	OG0000597_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000733	OG0000567	2	0.000469269	""	OG0000567_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001419	OG0001153	2	0.000469269	""	OG0001153_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000201	OG0000122	2	0.00229019	""	OG0000122_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000061	OG0000037	2	0.00527046	""	OG0000037_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000179	OG0000112	2	0.00527046	""	OG0000112_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000053	OG0000029	1	0.0153106	""	OG0000029_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000145	OG0000085	1	0.0153106	""	OG0000085_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000266	OG0000177	1	0.0153106	""	OG0000177_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000353	OG0000245	1	0.0153106	""	OG0000245_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000354	OG0000246	1	0.0153106	""	OG0000246_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000594	OG0000444	1	0.0153106	""	OG0000444_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000849	OG0000660	1	0.0153106	""	OG0000660_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000898	OG0000699	1	0.0153106	""	OG0000699_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000920	OG0000721	1	0.0153106	""	OG0000721_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000922	OG0000722	1	0.0153106	""	OG0000722_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000935	OG0000733	1	0.0153106	""	OG0000733_tree.txt	FALSE	TRUE
