FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000121	0.727095	0.624611	0.0473042	0.557772	0.535801	0.000247474	0.554922	3.92146e-05	0.514877	0.0312674	0.520807	0.534847	0.102222	0.566232	0.566232	0.377743	0.744327	N/A	0.582267	0.598701	0.582696	0.55263	0.53282	0.524574	0.593968	0.571192	0.54189	0.523658	0.0425717	0.514963	0.537394	0.0101495	0.540899
N0.HOG0000123	0.602993	0.0713534	0.0464199	0.0206842	0.524313	0.524313	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.69156	0.00296465	N/A	0.530008	0.536738	0.53018	0.518548	0.00569069	0.51659	0.0518419	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.00716376
N0.HOG0000125	0.67535	0.624611	0.585014	0.557772	0.535801	0.0538193	0.537689	0.509993	0.0149901	0.520807	0.000307876	0.52649	0.546894	0.534923	0.534923	0.69156	0.00296465	N/A	0.557342	0.569477	0.0306238	0.55263	0.53282	0.524574	0.565956	0.549305	0.528541	0.515964	0.0284164	0.00571874	0.525416	0.513352	0.527851
N0.HOG0000145	0.602993	0.00580439	0.559353	0.539708	0.0364718	0.524313	0.519406	0.00754557	0.505035	0.505328	0.505328	0.0135898	0.524327	0.517942	0.517942	0.614679	0.614679	N/A	0.530008	0.536738	0.0153106	0.53607	0.522253	0.51659	0.53477	0.525629	0.514588	0.50808	0.528033	0.503805	0.512959	0.506744	0.514228
N0.HOG0000147	0.727095	0.589155	0.0890604	0.539708	0.524313	0.0364718	0.0195908	0.505035	0.505035	0.00267097	0.505328	0.509074	0.567841	0.551002	0.551002	0.744327	0.178082	N/A	0.582267	0.14912	0.557656	0.53607	0.522253	0.51659	0.565956	0.549305	0.0428152	0.515964	0.0806194	0.503805	0.0130419	0.519827	0.540899
N0.HOG0000148	0.0877655	0.681754	0.629619	0.137549	0.55753	0.55753	0.571172	0.514877	0.514877	0.00534195	0.510571	0.517901	0.0490973	0.566232	0.0999792	0.049925	0.229953	N/A	0.605018	0.0743267	0.626406	0.583093	0.552903	0.53995	0.216868	0.591441	0.0824132	0.531168	0.00263554	0.507567	0.548911	0.526172	0.553397
N0.HOG0000149	0.151523	0.0713534	0.0315842	0.539708	0.524313	8.51512e-05	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.614679	0.16829	N/A	0.530008	0.536738	0.53018	0.00935839	0.522253	0.51659	0.0518419	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.514228
N0.HOG0000154	7.5758e-06	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.16829	0.614679	N/A	0.530008	0.0547561	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.514228
N0.HOG0000155	0.67535	0.589155	0.0890604	1.71669e-05	0.512386	0.512386	0.107496	0.524427	0.012615	0.525804	0.525804	0.542979	0.0490973	0.566232	0.566232	0.69156	0.69156	N/A	0.557342	0.569477	0.557656	0.53607	0.522253	0.0248856	0.00304223	0.591441	0.0293566	0.531168	0.0566261	0.518598	0.548911	0.526172	0.527851
N0.HOG0000159	0.0205417	3.73172e-05	0.0464199	0.0306106	5.63539e-22	0.0185398	0.519406	0.5	0.5	0.5	0.5	0.509074	2.87731e-05	0.534923	0.052391	0.317055	0.0919551	N/A	0.625809	0.00741577	0.582696	0.000573225	0.511318	0.508401	0.141907	0.0739742	0.0218285	0.515964	0.0806194	0.00570442	0.525416	0.513352	0.0357505
N0.HOG0000160	0.00972898	1.34656e-05	0.559353	0.05957	0.524313	0.524313	0.0195908	0.505035	0.505035	0.505328	0.505328	0.509074	0.0246168	0.0180999	0.534923	0.744327	0.744327	N/A	0.557342	0.569477	0.557656	0.53607	0.522253	0.51659	0.565956	0.549305	0.0428152	0.515964	0.0806194	0.503805	0.525416	0.513352	0.0143276
N0.HOG0000161	0.764823	0.0222359	0.585014	0.557772	0.0186877	0.535801	0.00220797	0.514877	0.514877	0.51573	0.51573	0.52649	0.0368904	0.551002	0.551002	0.781489	0.229953	N/A	0.605018	0.624829	0.605541	0.103104	0.53282	0.524574	0.181074	0.571192	0.54189	0.523658	0.57731	0.511287	0.537394	0.519827	0.553397
N0.HOG0000162	0.727095	0.624611	0.585014	0.0869825	0.535801	0.535801	0.0679968	0.533692	0.0507524	0.525804	0.525804	0.542979	0.605383	0.580662	0.0451139	0.377743	0.068053	N/A	0.582267	0.598701	0.582696	0.55263	0.53282	0.524574	0.00695568	0.0103297	0.589798	0.538497	0.618869	0.518598	0.559989	0.53239	0.540899
N0.HOG0000163	0.00972898	0.0130221	0.0890604	0.0206842	0.524313	0.524313	0.571172	0.509993	0.0149901	0.520807	0.520807	1.02499e-05	0.0612103	0.0451139	0.00170538	0.288995	0.0335282	N/A	0.557342	0.0373917	0.582696	0.079211	0.522253	0.51659	0.0529351	0.591441	0.000681067	0.531168	0.598964	0.514963	0.0260626	0.53239	0.527851
N0.HOG0000166	0.000729172	0.0713534	0.0464199	0.0306106	0.512386	0.00623076	0.519406	0.5	0.5	0.5	0.5	0.5	0.524327	0.0090498	0.517942	0.744327	0.068053	N/A	0.582267	0.00244355	0.53018	0.518548	0.511318	0.508401	0.53477	0.525629	0.0218285	0.50808	0.0418476	0.5	0.512959	0.506744	0.540899
N0.HOG0000171	0.000289946	0.547972	0.531113	0.520478	0.512386	0.512386	0.537689	0.509993	0.00504724	0.510571	0.510571	0.517901	0.0703554	0.052391	0.534923	0.69156	9.18199e-06	N/A	0.557342	0.569477	0.0865123	0.518548	0.511318	0.508401	0.565956	0.549305	0.528541	0.515964	0.553731	0.507567	0.525416	0.513352	0.527851
N0.HOG0000175	0.151523	0.704808	1.04276e-06	0.019936	0.596456	2.66795e-08	0.0290127	0.505035	0.505035	0.505328	0.505328	0.509074	0.524327	0.5	0.5	0.00734762	0.16829	N/A	0.530008	0.536738	1.35118e-08	0.000278725	0.58922	0.568479	0.53477	0.525629	0.514588	0.50808	0.528033	0.503805	0.512959	0.0101049	0.514228
N0.HOG0000177	0.415679	0.237195	0.608358	0.57475	0.546868	0.546868	0.571172	7.78993e-05	0.519688	0.00801255	0.0236165	0.0397975	0.587298	0.566232	0.0999792	0.781489	0.781489	N/A	0.605018	0.624829	0.605541	0.568286	0.543032	0.532359	0.619166	0.591441	0.554663	0.531168	0.149969	0.511287	0.548911	0.526172	0.553397
N0.HOG0000179	0.67535	5.9316e-09	0.197725	0.590714	0.0311084	0.000800496	0.000630185	0.514877	0.514877	0.51573	0.51573	0.52649	0.102222	0.551002	0.0767518	0.288995	0.12093	N/A	0.557342	0.0373917	0.00527046	0.583093	0.552903	0.53995	0.593968	0.571192	0.54189	0.523658	0.57731	0.511287	0.537394	0.519827	0.527851
N0.HOG0000182	0.727095	3.73172e-05	0.585014	0.557772	1.12584e-05	0.535801	0.554922	0.514877	0.514877	0.51573	0.51573	0.52649	0.102222	0.551002	0.0767518	0.0295294	0.744327	N/A	0.582267	0.598701	0.582696	0.55263	0.53282	0.524574	0.593968	0.571192	0.54189	0.523658	0.57731	0.511287	0.537394	0.519827	0.540899
N0.HOG0000183	0.67535	0.0490795	0.559353	0.05957	0.524313	0.524313	0.519406	0.505035	0.00754557	0.505328	0.00798461	0.509074	0.524327	0.517942	0.517942	0.288995	0.12093	N/A	0.557342	0.569477	0.557656	0.53607	0.522253	0.51659	0.0989778	0.525629	0.514588	0.50808	0.528033	0.503805	0.512959	0.506744	0.527851
