HOG	n_species_present	n_max	n_min	total_genes	differential	exclusion_reason	excluded
N0.HOG0001251	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001286	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001288	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001289	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001299	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001320	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001321	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001335	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001363	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001373	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001393	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001396	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001399	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001404	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001405	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001428	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001440	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001441	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001443	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001456	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001457	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001458	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001463	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001465	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001492	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001508	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001517	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001556	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001597	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001615	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001625	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001654	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001658	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001659	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001677	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001688	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001774	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001803	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001826	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001827	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001828	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001838	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001927	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001928	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001929	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002050	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002059	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002094	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002111	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002141	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002169	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002171	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002216	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002241	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002276	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002330	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002332	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002356	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002357	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002358	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002438	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002440	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002443	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002446	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002510	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002571	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002572	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002609	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002666	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002667	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002751	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002807	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002821	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002862	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002917	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002918	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002919	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002956	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0002978	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003014	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003015	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003016	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003017	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003019	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003020	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003066	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003119	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003140	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003155	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003170	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003201	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003203	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003232	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003233	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003359	0	0	0	0	0	empty_after_subset	TRUE
