species	source	busco_version	lineage	mode	busco_C_pct	busco_S_pct	busco_D_pct	busco_F_pct	busco_M_pct	busco_n	n_complete	n_single	n_duplicated	n_fragmented	n_missing
Melipona_bicolor	NCBI	6.0.0	insecta_odb10	proteins	96.6	95.9	0.7	1.4	2	1367	1321	1311	10	19	27
Melipona_quadrifasciata	NCBI	6.0.0	insecta_odb10	proteins	91.1	90.3	0.7	1.7	7.2	1367	1245	1235	10	23	99
Mischocyttarus_mexicanus	NCBI	6.0.0	insecta_odb10	proteins	92.9	85.5	7.4	1.5	5.6	1367	1270	1169	101	20	77
Monomorium_pharaonis	NCBI	6.0.0	insecta_odb10	proteins	99.6	95.6	4	0.2	0.2	1367	1361	1307	54	3	3
Nasonia_vitripennis	NCBI	6.0.0	insecta_odb10	proteins	98	96.5	1.5	0.3	1.7	1367	1340	1319	21	4	23
Nysson_spinosus	ENSEMBL	6.0.0	insecta_odb10	proteins	97.7	97.2	0.4	0.7	1.7	1367	1335	1329	6	9	23
Ooceraea_biroi	NCBI	6.0.0	insecta_odb10	proteins	99.3	97	2.3	0.1	0.6	1367	1358	1326	32	1	8
Orussus_abietinus	NCBI	6.0.0	insecta_odb10	proteins	98.5	97.7	0.7	0.4	1.1	1367	1346	1336	10	6	15
Osmia_bicornis_bicornis	NCBI	6.0.0	insecta_odb10	proteins	99.2	98.8	0.4	0.3	0.5	1367	1356	1351	5	4	7
Pemphredon_lugubris	ENSEMBL	6.0.0	insecta_odb10	proteins	97.2	96.3	0.9	0.4	2.4	1367	1329	1317	12	5	33
Polistes_canadensis	NCBI	6.0.0	insecta_odb10	proteins	99.2	98.5	0.7	0.1	0.7	1367	1356	1347	9	1	10
Polistes_dominula	NCBI	6.0.0	insecta_odb10	proteins	99.6	98.8	0.8	0.1	0.4	1367	1361	1350	11	1	5
Polistes_exclamans	NCBI	6.0.0	insecta_odb10	proteins	96.9	95	2	0.7	2.4	1367	1325	1298	27	9	33
Polistes_fuscatus	NCBI	6.0.0	insecta_odb10	proteins	99	97.8	1.2	0.1	0.9	1367	1354	1337	17	1	12
Solenopsis_invicta	NCBI	6.0.0	insecta_odb10	proteins	99.4	97.8	1.6	0.2	0.4	1367	1359	1337	22	3	5
Tetragonisca_angustula	NCBI	6.0.0	insecta_odb10	proteins	99	98.3	0.7	0.1	0.8	1367	1354	1344	10	2	11
Tiphia_femorata	ENSEMBL	6.0.0	insecta_odb10	proteins	91.1	89	2	1	7.9	1367	1245	1217	28	14	108
Tribolium_castaneum	NCBI	6.0.0	insecta_odb10	proteins	99.2	98.4	0.8	0.1	0.7	1367	1356	1345	11	1	10
Venturia_canescens	NCBI	6.0.0	insecta_odb10	proteins	99.5	98.3	1.2	0.2	0.3	1367	1360	1344	16	3	4
Vespa_crabro	NCBI	6.0.0	insecta_odb10	proteins	99.5	98.5	1	0.1	0.4	1367	1360	1347	13	1	6
Vespa_mandarinia	NCBI	6.0.0	insecta_odb10	proteins	99	98.1	1	0.1	0.9	1367	1354	1341	13	1	12
Vespa_velutina	NCBI	6.0.0	insecta_odb10	proteins	98.2	97.2	1	0.1	1.7	1367	1343	1329	14	1	23
Vespula_germanica	ENSEMBL	6.0.0	insecta_odb10	proteins	95.5	95	0.5	1.3	3.1	1367	1306	1299	7	18	43
Vespula_pensylvanica	NCBI	6.0.0	insecta_odb10	proteins	99.2	98.6	0.6	0.2	0.6	1367	1356	1348	8	3	8
Vespula_vulgaris	NCBI	6.0.0	insecta_odb10	proteins	99.1	98.3	0.8	0	0.9	1367	1355	1344	11	0	12
Xylocopa_sonorina	NCBI	6.0.0	insecta_odb10	proteins	99.9	97.9	2	0	0.1	1367	1365	1338	27	0	2
