gene_dmel,symbol_dmel,description_dmel,genetype_dmel,highest_tissue_Female,highest_tissue_Larva,highest_tissue_Male,top_log2_enrich_Female,top_log2_enrich_Larva,top_log2_enrich_Male,tau_Female,tau_Larva,tau_Male
FBgn0037129,CG14565,NA,PROTEIN_CODING,Ganglion,Hindgut,Ganglion,3.5849184191685977,3.039514283917369,17.68003667228824,0.8958333333333334,0.8716216216216216,0.782312925170068
FBgn0037130,Syn1,Syntrophin-like 1,PROTEIN_CODING,Brain,Midgut,Brain,4.593522718201845,1.4861318386519127,3.4428521612864746,0.8318988703604089,0.7781173594132029,0.8162239770279971
FBgn0037131,CG14564,NA,PROTEIN_CODING,Brain,Midgut,Brain,1.8834823647841588,2.1552680544006524,1.6076802693421968,0.7207943925233645,0.8469387755102041,0.6852678571428571
FBgn0037133,CG7370,NA,PROTEIN_CODING,Brain,Midgut,Brain,5.83288115553915,1.5691069815172831,3.2571940753765123,0.8628015350877193,0.8162983425414365,0.8449458758957158
FBgn0037134,CG7407,NA,PROTEIN_CODING,Ganglion,Midgut,Ganglion,1.6309028420664535,0.7330074493875132,2.264588811100676,0.7022118837740777,0.21565934065934067,0.7154622381103216
FBgn0037135,eIF2A,eukaryotic translation initiation factor 2A,PROTEIN_CODING,Eye,Fat Body,Salivary Gland,0.6566137141629408,1.7949544080658264,0.4331203368257765,0.30264724989172803,0.650446402175841,0.4979550102249489
FBgn0037137,Nopp140,Nopp140,PROTEIN_CODING,Ovary,Salivary Gland,Salivary Gland,0.38261194214944533,1.614449093270079,0.5529456683288124,0.8053571428571429,0.6027456647398844,0.21498697655780402
FBgn0037138,P5CDh1,delta-1-Pyrroline-5-carboxylate dehydrogenase 1,PROTEIN_CODING,Ganglion,Hindgut,Ganglion,2.8982102673804437,2.8782569661688213,2.0895695441358093,0.7134823755314772,0.8751897598675131,0.6286216596343178
FBgn0037139,CG14563,NA,PROTEIN_CODING,Eye,Fat Body,Brain,16.095087911388998,0,15.609669328049094,0.9464285714285714,NA,1
FBgn0037140,SLC22A,SLC22A family member,PROTEIN_CODING,Midgut,Midgut,Midgut,3.8618019111322743,1.355936583813172,2.703018025588185,0.8149674399674399,0.7258064516129032,0.8321428571428572
