pd_stage	vv_stage	universe_n	pd_DE_n	vv_DE_n	jointly_DE_n	concordant_DE_n	discordant_DE_n	up_up_n	down_down_n	up_down_n	down_up_n	concordance_fraction	expected_concordance_fraction_from_margins	excess_concordance	concordance_log2_odds_ratio_HA	positive_concordance_log2_odds_ratio	fisher_one_sided_p_greater	fisher_conditional_odds_ratio	fisher_p_FDR_36	significance_FDR	cell_label
L2	L5	8679	466	3179	139	55	84	39	16	26	58	0.39568345323741005	0.4871901040318824	-0.09150665079447234	-1.2501103066110473	0	0.99454168554879	0.41650313610015544	1		55/139
L2	P	8679	466	2441	133	69	64	43	26	21	43	0.518796992481203	0.4944880999491209	0.024308892532082127	0.3016556998611012	0.3016556998611012	0.34293059957473837	1.2361016125856112	0.9962641082185674		69/133
L3	L1	8679	296	480	22	7	15	3	4	12	3	0.3181818181818182	0.41735537190082644	-0.09917355371900827	-1.4739311883324124	0	0.9464302467398442	0.3524139852888341	1		7/22
L3	L2	8679	296	1025	57	20	37	13	7	35	2	0.3508771929824561	0.3379501385041551	0.012927054478301003	0.19010288337994272	0.19010288337994272	0.561228264890862	1.2943230268136765	1		20/57
L3	L3	8679	296	577	18	12	6	8	4	4	2	0.6666666666666666	0.5185185185185185	0.14814814814814814	1.765534746362977	1.765534746362977	0.2013574660633485	3.6805850164177536	0.658988070752777		12/18
L3	L4	8679	296	421	11	5	6	2	3	3	3	0.45454545454545453	0.5041322314049587	-0.049586776859504134	-0.4854268271702417	0	0.8246753246753247	0.6918295368420573	1		5/11
L3	L5	8679	296	3179	98	18	80	11	7	41	39	0.1836734693877551	0.5006247396917951	-0.31695127030404	-4.248367627858496	0	0.999999999993858	0.05029758394386195	1		18/98
L3	P	8679	296	2441	77	18	59	14	4	39	20	0.23376623376623376	0.4779895429246079	-0.24422330915837412	-3.633426756225302	0	0.9999997815060442	0.07483010383437666	1		18/77
L4	L1	8679	1130	480	63	11	52	5	6	23	29	0.1746031746031746	0.49559082892416223	-0.32098765432098764	-4.277360564261089	0	0.9999999910193911	0.0483230903535401	1		11/63
L4	L2	8679	1130	1025	134	110	24	69	41	6	18	0.8208955223880597	0.5178213410559145	0.30307418133214525	4.58408742030039	4.58408742030039	3.701040507470823e-14	25.31852365059671	6.661872913447481e-13	***	110/134 ***
L4	L3	8679	1130	577	84	36	48	18	18	25	23	0.42857142857142855	0.49971655328798187	-0.07114512471655332	-0.8081074623912335	0	0.9363742493487888	0.5673847906094779	1		36/84
L4	L4	8679	1130	421	48	23	25	17	6	11	14	0.4791666666666667	0.5243055555555556	-0.045138888888888895	-0.5518202160985264	0	0.8335360894345217	0.6680216101500637	1		23/48
L4	L5	8679	1130	3179	394	73	321	49	24	154	167	0.18527918781725888	0.5014687314798114	-0.31618954366255253	-4.4154138490546915	0	1	0.0462268641262329	1		73/394
L4	P	8679	1130	2441	281	121	160	59	62	84	76	0.4306049822064057	0.4996517268018389	-0.0690467445954332	-0.7976652310048055	0	0.9926542321084005	0.5741373271360282	1		121/281
L5	L1	8679	555	480	33	11	22	5	6	18	4	0.3333333333333333	0.41046831955922863	-0.07713498622589532	-1.2195070302928728	0	0.9316833518724509	0.42891105843599786	1		11/33
L5	L2	8679	555	1025	78	67	11	31	36	7	4	0.8589743589743589	0.5013149243918474	0.3576594345825115	5.090288885329103	5.090288885329103	6.510757451087585e-11	36.944438691507415	7.812908941305102e-10	***	67/78 ***
L5	L3	8679	555	577	52	20	32	13	7	24	8	0.38461538461538464	0.4593195266272189	-0.07470414201183428	-1.0403945875935605	0	0.935541503277846	0.4810984437068563	1		20/52
L5	L4	8679	555	421	31	15	16	11	4	6	10	0.4838709677419355	0.5171696149843913	-0.03329864724245579	-0.3992701834205273	0	0.7823991230191356	0.7406886145808504	1		15/31
L5	L5	8679	555	3179	185	73	112	37	36	64	48	0.3945945945945946	0.4962746530314098	-0.10168005843681516	-1.1924968482344838	0	0.9983745637922488	0.43561854286203994	1		73/185
L5	P	8679	555	2441	168	102	66	40	62	47	19	0.6071428571428571	0.49468537414965985	0.11245748299319724	1.4503764603535156	1.4503764603535156	0.001786899297131958	2.759914045830314	0.010721395782791748	*	102/168 *
P	L1	8679	481	480	22	13	9	3	10	4	5	0.5909090909090909	0.5495867768595041	0.04132231404958686	0.5703157247567547	0.5703157247567547	0.5103199174406604	1.4718851759840426	1		13/22
P	L2	8679	481	1025	40	20	20	7	13	3	17	0.5	0.45	0.04999999999999999	0.7251401587694165	0.7251401587694165	0.3597620390789271	1.759380037705665	0.9962641082185674		20/40
P	L3	8679	481	577	30	15	15	5	10	4	11	0.5	0.4866666666666667	0.013333333333333308	0.1582620839167324	0.1582620839167324	0.5955022488755624	1.1315375829640892	1		15/30
P	L4	8679	481	421	21	8	13	2	6	3	10	0.38095238095238093	0.46258503401360546	-0.08163265306122452	-1.1773045318079098	0	0.9195046439628483	0.41857753836636513	1		8/21
P	L5	8679	481	3179	136	81	55	16	65	16	39	0.5955882352941176	0.5506055363321799	0.04498269896193774	0.7296422533603473	0.7296422533603473	0.1460653677388139	1.6601773571822258	0.5842614709552556		81/136
P	P	8679	481	2441	190	180	10	69	111	1	9	0.9473684210526315	0.5235457063711911	0.4238227146814404	9.08695095847907	9.08695095847907	1.6926452768443714e-40	774.2690202091816	6.093522996639737e-39	***	180/190 ***
