GO	term_name	background_n	foreground_n	expected_n	weight01	weight01_p	fold_enrichment	comparison	set	foreground_total	background_total	foreground_HOGs
GO:1901888	regulation of cell junction assembly	190	0	0.61	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901889	negative regulation of cell junction ass...	64	0	0.21	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901890	positive regulation of cell junction ass...	73	0	0.24	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901976	regulation of cell cycle checkpoint	28	0	0.09	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901985	positive regulation of protein acetylati...	28	0	0.09	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901988	negative regulation of cell cycle phase ...	192	0	0.62	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901989	positive regulation of cell cycle phase ...	89	0	0.29	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901991	negative regulation of mitotic cell cycl...	133	0	0.43	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901992	positive regulation of mitotic cell cycl...	72	0	0.23	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902017	regulation of cilium assembly	43	0	0.14	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902036	regulation of hematopoietic stem cell di...	28	0	0.09	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902074	response to salt	28	0	0.09	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902100	negative regulation of metaphase/anaphas...	34	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902105	regulation of leukocyte differentiation	101	0	0.33	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902106	negative regulation of leukocyte differe...	36	0	0.12	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902107	positive regulation of leukocyte differe...	52	0	0.17	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902115	regulation of organelle assembly	147	0	0.47	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902116	negative regulation of organelle assembl...	31	0	0.1	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902117	positive regulation of organelle assembl...	65	0	0.21	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902175	regulation of oxidative stress-induced i...	23	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902221	erythrose 4-phosphate/phosphoenolpyruvat...	23	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902284	neuron projection extension involved in ...	33	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902305	regulation of sodium ion transmembrane t...	20	0	0.06	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902369	negative regulation of RNA catabolic pro...	35	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902373	negative regulation of mRNA catabolic pr...	31	0	0.1	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902414	protein localization to cell junction	59	0	0.19	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902475	L-alpha-amino acid transmembrane transpo...	42	0	0.14	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902476	chloride transmembrane transport	43	0	0.14	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902652	secondary alcohol metabolic process	86	0	0.28	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902653	secondary alcohol biosynthetic process	53	0	0.17	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902667	regulation of axon guidance	48	0	0.15	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902669	positive regulation of axon guidance	20	0	0.06	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902692	regulation of neuroblast proliferation	72	0	0.23	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902742	apoptotic process involved in developmen...	52	0	0.17	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902743	regulation of lamellipodium organization	39	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902745	positive regulation of lamellipodium org...	26	0	0.08	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902749	regulation of cell cycle G2/M phase tran...	117	0	0.38	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902750	negative regulation of cell cycle G2/M p...	49	0	0.16	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902751	positive regulation of cell cycle G2/M p...	21	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902803	regulation of synaptic vesicle transport	25	0	0.08	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902806	regulation of cell cycle G1/S phase tran...	103	0	0.33	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902807	negative regulation of cell cycle G1/S p...	58	0	0.19	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902808	positive regulation of cell cycle G1/S p...	38	0	0.12	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902850	microtubule cytoskeleton organization in...	179	0	0.58	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902875	regulation of embryonic pattern specific...	26	0	0.08	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902882	regulation of response to oxidative stre...	60	0	0.19	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902883	negative regulation of response to oxida...	39	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902893	regulation of miRNA transcription	22	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902903	regulation of supramolecular fiber organ...	206	0	0.66	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902904	negative regulation of supramolecular fi...	80	0	0.26	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902905	positive regulation of supramolecular fi...	112	0	0.36	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1902930	regulation of alcohol biosynthetic proce...	39	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1903008	organelle disassembly	56	0	0.18	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1903018	regulation of glycoprotein metabolic pro...	23	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1903034	regulation of response to wounding	97	0	0.31	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1903035	negative regulation of response to wound...	38	0	0.12	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1903036	positive regulation of response to wound...	47	0	0.15	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1903037	regulation of leukocyte cell-cell adhesi...	77	0	0.25	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1903038	negative regulation of leukocyte cell-ce...	34	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
