GO	term_name	background_n	foreground_n	expected_n	weight01	weight01_p	fold_enrichment	comparison	set	foreground_total	background_total	foreground_HOGs
GO:0014047	glutamate secretion	25	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014072	response to isoquinoline alkaloid	20	0	0.03	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014074	response to purine-containing compound	101	0	0.17	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014075	response to amine	44	0	0.07	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014706	striated muscle tissue development	208	0	0.35	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014743	regulation of muscle hypertrophy	35	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014812	muscle cell migration	49	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014823	response to activity	56	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014855	striated muscle cell proliferation	38	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014888	striated muscle adaptation	24	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014896	muscle hypertrophy	48	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014897	striated muscle hypertrophy	46	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014902	myotube differentiation	80	0	0.13	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014909	smooth muscle cell migration	36	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014910	regulation of smooth muscle cell migrati...	31	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0014911	positive regulation of smooth muscle cel...	21	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015012	heparan sulfate proteoglycan biosyntheti...	21	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015031	protein transport	1066	0	1.79	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015695	organic cation transport	68	0	0.11	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015698	inorganic anion transport	71	0	0.12	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015748	organophosphate ester transport	39	0	0.07	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015749	monosaccharide transmembrane transport	66	0	0.11	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015800	acidic amino acid transport	41	0	0.07	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015804	neutral amino acid transport	22	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015807	L-amino acid transport	51	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015833	peptide transport	1066	0	1.79	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015837	amine transport	67	0	0.11	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015844	monoamine transport	40	0	0.07	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015850	organic hydroxy compound transport	107	0	0.18	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015872	dopamine transport	20	0	0.03	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015908	fatty acid transport	42	0	0.07	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015909	long-chain fatty acid transport	26	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015914	phospholipid transport	23	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015918	sterol transport	48	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015931	nucleobase-containing compound transport	196	0	0.33	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0015980	energy derivation by oxidation of organi...	245	0	0.41	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016032	viral process	361	0	0.61	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016042	lipid catabolic process	156	0	0.26	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016049	cell growth	397	0	0.67	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016050	vesicle organization	259	0	0.44	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016051	carbohydrate biosynthetic process	115	0	0.19	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016052	carbohydrate catabolic process	115	0	0.19	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016053	organic acid biosynthetic process	184	0	0.31	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016054	organic acid catabolic process	156	0	0.26	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016055	Wnt signaling pathway	275	0	0.46	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016056	G protein-coupled opsin signaling pathwa...	31	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016064	immunoglobulin mediated immune response	26	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016071	mRNA metabolic process	606	0	1.02	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016072	rRNA metabolic process	224	0	0.38	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016079	synaptic vesicle exocytosis	76	0	0.13	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016125	sterol metabolic process	85	0	0.14	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016126	sterol biosynthetic process	54	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016180	snRNA processing	31	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016192	vesicle-mediated transport	1037	0	1.75	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016197	endosomal transport	204	0	0.34	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016198	axon choice point recognition	23	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016199	axon midline choice point recognition	22	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016202	regulation of striated muscle tissue dev...	82	0	0.14	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016203	muscle attachment	39	0	0.07	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016226	iron-sulfur cluster assembly	21	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016233	telomere capping	20	0	0.03	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016236	macroautophagy	245	0	0.41	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016239	positive regulation of macroautophagy	71	0	0.12	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016241	regulation of macroautophagy	146	0	0.25	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016242	negative regulation of macroautophagy	39	0	0.07	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016310	phosphorylation	1063	0	1.79	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016318	ommatidial rotation	34	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016319	mushroom body development	72	0	0.12	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016322	neuron remodeling	68	0	0.11	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016325	oocyte microtubule cytoskeleton organiza...	32	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016331	morphogenesis of embryonic epithelium	208	0	0.35	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016333	morphogenesis of follicular epithelium	53	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016334	establishment or maintenance of polarity...	29	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016339	calcium-dependent cell-cell adhesion via...	22	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016358	dendrite development	284	0	0.48	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016360	sensory organ precursor cell fate determ...	20	0	0.03	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016441	post-transcriptional gene silencing	119	0	0.2	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016444	somatic cell DNA recombination	30	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016445	somatic diversification of immunoglobuli...	26	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016447	somatic recombination of immunoglobulin ...	23	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016476	regulation of embryonic cell shape	27	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016477	cell migration	749	0	1.26	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016482	cytosolic transport	119	0	0.2	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016485	protein processing	133	0	0.22	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016486	peptide hormone processing	20	0	0.03	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016525	negative regulation of angiogenesis	34	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016556	mRNA modification	21	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016567	protein ubiquitination	395	0	0.67	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016579	protein deubiquitination	146	0	0.25	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016601	Rac protein signal transduction	28	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016925	protein sumoylation	25	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0016999	antibiotic metabolic process	70	0	0.12	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0017004	cytochrome complex assembly	29	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0017015	regulation of transforming growth factor...	60	0	0.1	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0017038	protein import	165	0	0.28	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0017085	response to insecticide	32	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0017145	stem cell division	126	0	0.21	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0017148	negative regulation of translation	97	0	0.16	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0017156	calcium-ion regulated exocytosis	85	0	0.14	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0017157	regulation of exocytosis	89	0	0.15	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0017158	regulation of calcium ion-dependent exoc...	34	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018022	peptidyl-lysine methylation	52	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018105	peptidyl-serine phosphorylation	150	0	0.25	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018107	peptidyl-threonine phosphorylation	82	0	0.14	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018108	peptidyl-tyrosine phosphorylation	136	0	0.23	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018208	peptidyl-proline modification	27	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018209	peptidyl-serine modification	160	0	0.27	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018210	peptidyl-threonine modification	87	0	0.15	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018212	peptidyl-tyrosine modification	137	0	0.23	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018279	protein N-linked glycosylation via aspar...	40	0	0.07	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018958	phenol-containing compound metabolic pro...	108	0	0.18	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018991	egg-laying behavior	118	0	0.2	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018992	germ-line sex determination	25	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0018996	molting cycle, collagen and cuticulin-ba...	22	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019058	viral life cycle	139	0	0.23	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019068	virion assembly	20	0	0.03	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019079	viral genome replication	58	0	0.1	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019080	viral gene expression	46	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019083	viral transcription	24	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019094	pole plasm mRNA localization	51	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019098	reproductive behavior	267	0	0.45	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019216	regulation of lipid metabolic process	224	0	0.38	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019217	regulation of fatty acid metabolic proce...	43	0	0.07	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019218	regulation of steroid metabolic process	62	0	0.1	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019220	regulation of phosphate metabolic proces...	782	0	1.32	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019221	cytokine-mediated signaling pathway	166	0	0.28	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019226	transmission of nerve impulse	35	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019229	regulation of vasoconstriction	26	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019233	sensory perception of pain	71	0	0.12	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019318	hexose metabolic process	146	0	0.25	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019319	hexose biosynthetic process	52	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019320	hexose catabolic process	34	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019359	nicotinamide nucleotide biosynthetic pro...	45	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019362	pyridine nucleotide metabolic process	101	0	0.17	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019363	pyridine nucleotide biosynthetic process	45	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019364	pyridine nucleotide catabolic process	55	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019395	fatty acid oxidation	63	0	0.11	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019432	triglyceride biosynthetic process	28	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019646	aerobic electron transport chain	64	0	0.11	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019674	NAD metabolic process	40	0	0.07	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019692	deoxyribose phosphate metabolic process	20	0	0.03	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019722	calcium-mediated signaling	91	0	0.15	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019724	B cell mediated immunity	26	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019725	cellular homeostasis	482	0	0.81	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019730	antimicrobial humoral response	114	0	0.19	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019731	antibacterial humoral response	46	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019748	secondary metabolic process	104	0	0.18	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019751	polyol metabolic process	66	0	0.11	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019752	carboxylic acid metabolic process	501	0	0.84	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019827	stem cell population maintenance	192	0	0.32	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019882	antigen processing and presentation	73	0	0.12	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019884	antigen processing and presentation of e...	55	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019886	antigen processing and presentation of e...	47	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019915	lipid storage	111	0	0.19	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019933	cAMP-mediated signaling	55	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019941	modification-dependent protein catabolic...	400	0	0.67	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019953	sexual reproduction	1347	0	2.27	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019985	translesion synthesis	26	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0019991	septate junction assembly	48	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021510	spinal cord development	75	0	0.13	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021511	spinal cord patterning	21	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021513	spinal cord dorsal/ventral patterning	21	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021515	cell differentiation in spinal cord	35	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021517	ventral spinal cord development	32	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021522	spinal cord motor neuron differentiation	25	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021532	neural tube patterning	36	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021536	diencephalon development	58	0	0.1	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021537	telencephalon development	160	0	0.27	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021543	pallium development	122	0	0.21	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021545	cranial nerve development	29	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021549	cerebellum development	73	0	0.12	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021575	hindbrain morphogenesis	36	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021587	cerebellum morphogenesis	31	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021591	ventricular system development	24	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021675	nerve development	52	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021680	cerebellar Purkinje cell layer developme...	20	0	0.03	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021695	cerebellar cortex development	34	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021696	cerebellar cortex morphogenesis	22	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021700	developmental maturation	378	0	0.64	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021761	limbic system development	68	0	0.11	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021766	hippocampus development	54	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021772	olfactory bulb development	24	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021782	glial cell development	82	0	0.14	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021795	cerebral cortex cell migration	29	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021871	forebrain regionalization	21	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021872	forebrain generation of neurons	51	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021879	forebrain neuron differentiation	45	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021884	forebrain neuron development	26	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021885	forebrain cell migration	37	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021904	dorsal/ventral neural tube patterning	20	0	0.03	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021915	neural tube development	116	0	0.2	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021953	central nervous system neuron differenti...	124	0	0.21	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021954	central nervous system neuron developmen...	60	0	0.1	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021955	central nervous system neuron axonogenes...	28	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021983	pituitary gland development	27	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021987	cerebral cortex development	85	0	0.14	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0021988	olfactory lobe development	25	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022008	neurogenesis	1386	0	2.33	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022029	telencephalon cell migration	36	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022037	metencephalon development	80	0	0.13	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022400	regulation of opsin-mediated signaling p...	24	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022402	cell cycle process	1024	0	1.72	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022404	molting cycle process	103	0	0.17	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022405	hair cycle process	49	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022406	membrane docking	101	0	0.17	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022407	regulation of cell-cell adhesion	142	0	0.24	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022408	negative regulation of cell-cell adhesio...	65	0	0.11	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022409	positive regulation of cell-cell adhesio...	81	0	0.14	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022410	circadian sleep/wake cycle process	46	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022411	cellular component disassembly	332	0	0.56	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022412	cellular process involved in reproductio...	948	0	1.6	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022414	reproductive process	1746	0	2.94	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022416	chaeta development	86	0	0.14	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022600	digestive system process	84	0	0.14	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022602	ovulation cycle process	25	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022603	regulation of anatomical structure morph...	627	0	1.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022604	regulation of cell morphogenesis	334	0	0.56	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022607	cellular component assembly	1930	0	3.25	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022611	dormancy process	31	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022612	gland morphogenesis	145	0	0.24	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022613	ribonucleoprotein complex biogenesis	388	0	0.65	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022616	DNA strand elongation	23	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022617	extracellular matrix disassembly	24	0	0.04	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022618	protein-RNA complex assembly	191	0	0.32	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022898	regulation of transmembrane transporter ...	92	0	0.15	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022900	electron transport chain	130	0	0.22	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0022904	respiratory electron transport chain	91	0	0.15	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0023056	positive regulation of signaling	956	0	1.61	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0023057	negative regulation of signaling	858	0	1.44	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0023061	signal release	320	0	0.54	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030001	metal ion transport	384	0	0.65	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030003	intracellular monoatomic cation homeosta...	256	0	0.43	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030010	establishment of cell polarity	147	0	0.25	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030011	maintenance of cell polarity	36	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030030	cell projection organization	1131	0	1.9	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030031	cell projection assembly	383	0	0.64	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030032	lamellipodium assembly	54	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030038	contractile actin filament bundle assemb...	47	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030041	actin filament polymerization	104	0	0.18	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030042	actin filament depolymerization	32	0	0.05	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030048	actin filament-based movement	68	0	0.11	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030071	regulation of mitotic metaphase/anaphase...	53	0	0.09	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030072	peptide hormone secretion	133	0	0.22	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030073	insulin secretion	113	0	0.19	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030097	hemopoiesis	436	0	0.73	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030098	lymphocyte differentiation	120	0	0.2	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030099	myeloid cell differentiation	193	0	0.32	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030100	regulation of endocytosis	192	0	0.32	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030111	regulation of Wnt signaling pathway	204	0	0.34	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030148	sphingolipid biosynthetic process	48	0	0.08	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030154	cell differentiation	2503	0	4.21	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030155	regulation of cell adhesion	256	0	0.43	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030163	protein catabolic process	561	0	0.94	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
GO:0030166	proteoglycan biosynthetic process	34	0	0.06	1.0000	1	0	L1_to_L2	concordant_down	12	7127	
