N0.HOG0000147	7.07405e-29	4.50054e-25	9.70003e-22	1.68305e-18	1.28184e-15	4.75585e-14	
N0.HOG0000148	4.48758e-44	1.91233e-34	3.83335e-28	2.42198e-22	1.27884e-17	2.06081e-15	
N0.HOG0000149	1.12761e-26	1.18991e-21	1.33402e-18	2.10105e-15	3.46468e-12	2.52102e-09	
N0.HOG0000151	8.79153e-10	2.6342e-07	4.70239e-06	5.25083e-05	0.000362632	0.000814061	
N0.HOG0000154	6.68691e-35	1.50451e-22	1.26859e-16	3.07962e-12	1.07548e-08	5.31517e-06	
N0.HOG0000155	3.82433e-51	5.51649e-37	2.07242e-29	1.79954e-23	9.60234e-19	4.87005e-16	
N0.HOG0000156	6.89908e-22	6.54549e-17	3.43135e-14	8.93367e-12	2.14111e-10	7.62328e-12	
N0.HOG0000157	1.33038e-22	1.28508e-17	6.80131e-15	8.40012e-13	7.91766e-12	4.30578e-13	
N0.HOG0000159	9.68898e-186	2.63155e-126	6.50312e-97	1.28045e-74	1.34457e-55	7.76133e-38	
N0.HOG0000160	7.78817e-49	3.24478e-37	5.74614e-30	9.02074e-24	3.16674e-18	3.32384e-14	
N0.HOG0000161	7.31247e-33	5.33222e-27	3.16566e-22	2.77561e-18	4.07812e-15	4.13089e-14	
N0.HOG0000162	4.46443e-43	1.12333e-30	2.60392e-24	3.94817e-19	2.00822e-15	2.32534e-14	
N0.HOG0000163	1.72301e-87	2.69701e-62	6.32001e-49	9.07965e-38	9.55647e-28	1.52676e-19	
N0.HOG0000165	5.02454e-07	5.99246e-07	1.81599e-06	6.95445e-06	1.20236e-05	8.30497e-07	
N0.HOG0000166	5.39445e-57	1.15061e-42	8.35738e-34	9.92332e-27	9.14459e-21	2.36808e-15	
N0.HOG0000167	9.058e-16	1.12622e-15	7.35577e-15	2.01674e-13	1.0992e-12	9.5829e-14	
N0.HOG0000168	2.05429e-33	8.83552e-25	1.19572e-19	1.72881e-15	2.18377e-12	1.16202e-11	
N0.HOG0000171	2.9994e-59	1.88673e-39	1.16929e-29	4.04332e-22	3.22994e-16	7.31916e-13	
N0.HOG0000172	1.40435e-17	4.54903e-15	1.7384e-13	1.0261e-11	2.37344e-10	6.51324e-11	
N0.HOG0000173	2.72012e-05	2.71225e-05	2.61111e-05	2.12006e-05	8.9415e-06	2.02346e-07	
N0.HOG0000174	1.50167e-24	2.37013e-17	8.57615e-14	3.53416e-11	2.23186e-09	1.40535e-09	
N0.HOG0000175	2.86739e-133	2.53764e-86	8.95832e-64	3.55679e-47	2.22879e-33	2.32607e-21	
N0.HOG0000176	1.32444e-10	3.82444e-08	4.60427e-07	1.27492e-06	4.01438e-07	6.94893e-10	
N0.HOG0000177	2.14622e-27	8.95959e-25	3.5446e-22	1.00697e-19	1.82838e-17	1.23186e-16	
N0.HOG0000178	3.60429e-09	3.88425e-09	7.74822e-09	2.47375e-08	1.21203e-08	1.41434e-10	
N0.HOG0000179	1.28394e-89	5.82097e-60	1.97804e-45	3.47338e-34	8.07874e-25	4.61129e-18	
N0.HOG0000180	9.009e-18	6.5801e-16	9.25219e-14	5.37208e-12	7.17474e-11	1.49846e-11	
N0.HOG0000181	1.79575e-21	6.07567e-19	3.42309e-17	4.64105e-15	1.94961e-13	1.30564e-13	
N0.HOG0000182	9.24772e-47	1.4099e-33	1.65942e-26	3.41435e-21	9.7609e-17	2.70512e-14	
N0.HOG0000183	3.24985e-19	1.07104e-16	4.85578e-15	4.23106e-13	1.66578e-11	4.51126e-11	
N0.HOG0000186	5.23466e-15	1.57368e-12	2.93539e-11	4.21321e-10	7.6614e-09	8.82157e-08	
N0.HOG0000187	2.2544e-17	8.81684e-16	3.00921e-14	1.51215e-12	6.97208e-11	6.89867e-10	
N0.HOG0000188	5.02155e-07	5.11978e-07	6.32773e-07	1.08341e-06	1.23729e-06	7.56679e-08	
N0.HOG0000189	5.05189e-47	8.93628e-34	1.47265e-26	9.69139e-21	1.63309e-15	6.10895e-11	
N0.HOG0000190	1.68408e-24	1.9746e-19	1.79384e-16	2.82402e-14	2.82813e-13	5.63247e-14	
N0.HOG0000191	8.52362e-25	1.27266e-18	3.34061e-15	4.89645e-13	3.35856e-12	5.89332e-13	
N0.HOG0000192	3.82186e-47	7.60213e-30	1.49882e-21	1.10186e-15	2.05876e-11	1.89676e-09	
N0.HOG0000198	4.4362e-11	1.32857e-08	2.35113e-07	2.41307e-06	9.67312e-06	1.09473e-06	
N0.HOG0000199	3.26482e-22	8.22311e-15	2.28394e-11	4.50851e-09	1.43747e-07	1.21265e-07	
N0.HOG0000200	0.0798274	0.0793239	0.073089	0.0480218	0.0108988	5.62191e-05	
N0.HOG0000201	2.097e-51	1.54163e-36	5.30902e-29	8.07239e-23	8.62824e-18	5.29103e-15	
N0.HOG0000202	5.88795e-21	2.06852e-18	1.59889e-16	3.26553e-14	1.88306e-12	2.22227e-12	
N0.HOG0000203	2.59659e-34	7.70188e-27	1.10994e-22	1.14003e-18	2.993e-15	6.01151e-14	
N0.HOG0000204	0.000572835	0.000562067	0.000440083	0.000128724	2.44085e-06	5.66146e-10	
N0.HOG0000206	2.55203e-23	9.24506e-17	2.54841e-13	4.74587e-11	7.0116e-10	3.90453e-11	
N0.HOG0000207	6.40448e-48	1.94127e-35	1.05586e-28	3.50257e-23	8.84536e-19	2.29412e-16	
N0.HOG0000208	2.63543e-13	7.75452e-11	1.12367e-09	5.45919e-09	2.59182e-09	2.70196e-11	
N0.HOG0000209	1.95248e-07	2.07853e-07	3.43997e-07	5.19127e-07	1.13626e-07	1.95779e-10	
N0.HOG0000210	2.13511e-18	3.8011e-14	1.28052e-11	7.59101e-10	2.04193e-09	2.37566e-11	
N0.HOG0000211	4.55379e-74	3.65465e-50	5.56952e-38	9.94704e-29	1.01706e-21	3.29464e-17	
N0.HOG0000212	8.76422e-14	2.60303e-11	4.10163e-10	2.16567e-09	1.00169e-09	1.08292e-11	
N0.HOG0000213	0.000572835	0.000562067	0.000440083	0.000128724	2.44085e-06	5.66146e-10	
N0.HOG0000215	0.000572835	0.000562067	0.000440083	0.000128724	2.44085e-06	5.66146e-10	
N0.HOG0000217	1.51791e-19	7.70721e-17	1.62536e-14	4.42823e-12	3.13187e-10	1.29456e-10	
N0.HOG0000219	3.97269e-13	6.27465e-12	1.54706e-10	3.43964e-09	1.89299e-08	6.24807e-10	
N0.HOG0000220	1.95251e-07	2.08812e-07	3.64277e-07	6.44046e-07	1.66744e-07	3.136e-10	
N0.HOG0000221	2.92494e-20	9.43542e-17	2.39058e-14	1.86513e-12	2.9058e-11	1.80532e-12	
N0.HOG0000222	1.1554e-26	1.36849e-21	3.06392e-18	8.82293e-15	4.78539e-12	1.87856e-11	
N0.HOG0000223	4.05474e-26	2.84979e-22	1.82178e-19	1.28686e-16	4.31507e-14	2.36359e-13	
