FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000147	3	2	1	2	2	1	3	1	1	2	1	1	3	3	3	3	4	3	3	2	2	2	2	2	2	2	1	2	1	1	3	3	3
N0.HOG0000148	6	5	5	4	5	5	4	3	3	3	2	2	5	4	3	2	5	4	4	5	5	5	5	5	4	4	3	4	2	2	4	4	4
N0.HOG0000149	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	2	2	2	0	0	0	0	0	0	0	0	1
N0.HOG0000151	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N0.HOG0000154	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N0.HOG0000155	2	2	1	5	1	1	3	5	6	5	5	5	5	4	4	2	2	2	2	2	2	2	2	1	4	4	5	4	5	5	4	4	2
N0.HOG0000156	1	4	4	4	3	4	4	4	4	4	4	4	4	4	3	3	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	2
N0.HOG0000157	3	6	5	5	5	5	4	4	4	4	4	4	3	3	2	4	4	4	4	4	5	5	5	5	4	4	4	4	4	4	3	3	4
N0.HOG0000159	8	7	0	0	12	0	1	0	0	0	0	1	5	2	1	7	8	5	5	3	3	1	1	1	2	1	0	2	1	0	2	2	6
N0.HOG0000160	0	6	2	1	2	2	3	1	1	1	1	1	3	3	2	3	3	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	3
N0.HOG0000161	4	6	3	3	4	3	5	3	3	3	3	3	4	3	3	4	5	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	4
N0.HOG0000162	3	3	3	2	3	3	8	7	6	5	5	5	5	5	6	2	5	3	3	3	3	3	3	3	5	7	7	5	5	5	5	5	3
N0.HOG0000163	0	5	1	3	2	2	4	2	1	4	4	7	6	6	3	1	4	2	2	3	3	2	2	2	4	4	2	4	4	4	5	5	2
N0.HOG0000165	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
N0.HOG0000166	7	0	0	0	1	2	1	0	0	0	0	0	1	2	1	3	5	3	3	1	1	1	1	1	1	1	0	1	0	0	1	1	3
N0.HOG0000167	3	4	5	4	4	3	4	4	4	4	4	3	5	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
N0.HOG0000168	2	4	3	5	3	3	2	2	2	2	2	2	1	1	1	5	3	2	2	2	3	3	3	3	2	2	2	2	2	2	1	1	3
N0.HOG0000171	6	1	1	1	1	1	2	2	3	2	2	2	1	1	2	2	8	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2
N0.HOG0000172	1	2	2	2	2	2	1	2	2	3	3	4	2	2	1	2	3	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2
N0.HOG0000173	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000174	1	1	2	2	2	2	2	2	2	2	2	2	4	4	5	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	4	4	1
N0.HOG0000175	0	6	15	11	9	4	0	1	1	1	1	1	1	0	0	3	0	1	1	1	6	9	9	9	1	1	1	1	1	1	1	0	1
N0.HOG0000176	2	3	3	3	3	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2
N0.HOG0000177	3	3	4	4	4	4	4	2	4	4	2	2	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	4	4
N0.HOG0000178	2	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000179	2	13	4	5	6	3	1	3	3	3	3	3	2	3	2	1	3	2	2	3	5	5	5	5	3	3	3	3	3	3	3	3	2
N0.HOG0000180	3	3	2	2	3	2	3	2	3	2	2	2	3	3	3	3	2	3	3	3	3	2	2	2	3	3	3	3	2	2	3	3	3
N0.HOG0000181	5	3	3	2	4	3	4	3	3	3	3	2	3	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000182	3	7	3	3	6	3	3	3	3	3	3	3	2	3	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000183	2	3	2	1	2	2	1	1	0	1	0	1	1	1	1	1	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2
N0.HOG0000186	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1
N0.HOG0000187	1	1	1	1	2	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1
