sample	Pd103	Pd105	Pd106	Pd11	Pd110	Pd112	Pd115	Pd119	Pd12	Pd120	Pd122	Pd123	Pd128	Pd13	Pd130	Pd134	Pd137	Pd14	Pd142	Pd143	Pd149	Pd15	Pd150	Pd152	Pd16	Pd17	Pd19	Pd2	Pd20	Pd21	Pd22	Pd23	Pd24	Pd25	Pd26	Pd27	Pd28	Pd29	Pd3	Pd30	Pd31	Pd32	Pd33	Pd34	Pd35	Pd36	Pd37	Pd38	Pd40	Pd43	Pd45	Pd46	Pd49	Pd5	Pd51	Pd52	Pd55	Pd56	Pd57	Pd58	Pd6	Pd63	Pd66	Pd69	Pd7	Pd72	Pd75	Pd77	Pd8	Pd80	Pd84	Pd86	Pd87	Pd9	Pd93	Pd95	Pd98
Pd25	180.266579384143	157.613601010036	150.221562155557	150.085002215412	195.07996367044	182.8946158704	183.32265974172	185.686807867808	143.770393254067	184.573565537053	186.556081103654	193.623194091832	196.975824308733	76.936180572456	199.266415836982	175.688051498072	194.193276858027	168.504585932204	96.4137868940391	145.285723956095	170.768517362026	180.025431985415	171.615361985167	191.944215236638	174.834899023959	164.744561963855	176.088847782041	198.738019823764	165.577077854011	200.656915656253	189.409623531207	157.056888706156	185.96550665953	0	115.648588003479	192.437555952994	216.723855111505	200.8934522939	177.595872848257	205.143472574179	178.755213217103	190.288701463224	174.066524911246	197.250820609881	191.11846168117	194.565898170901	105.075769427504	117.778195200999	181.309724340752	178.247361653143	186.56860484202	180.409497247246	169.491346344971	189.47983508192	188.225463776338	187.167470318104	191.902510789105	199.004965585235	205.683036192602	198.684942760811	190.270715847776	203.718963678354	184.828755697335	137.802676471012	185.619563649898	157.563835181768	196.241594908036	230.954634561528	183.216463134535	183.635197407141	225.260013221751	177.463106816046	190.644144030214	167.049023821361	196.419056270582	196.384503371745	185.321302597161
Pd26	180.19092291727	147.695234791272	134.151810156943	153.442759678757	205.047011711462	192.994312617011	192.228135141065	198.015544772742	119.8136431371	195.225214025676	198.084044137776	198.104531284623	205.711558594771	108.995711232773	205.62516699267	171.924844483338	196.864840227856	183.013630220956	118.220960932819	117.257163059945	168.878039397455	193.639137894363	184.669004991742	207.623098573337	171.835966972885	158.577167360002	177.589000979213	218.336080638629	166.153958602845	214.282148013075	201.549099287468	167.366861434713	193.132049916985	115.648588003479	0	212.329646986366	240.383753367855	220.498047109343	195.467786113979	224.360262856252	188.181316394326	203.955294934193	192.031503609669	212.476500377347	198.199156284691	207.988736999355	112.711783568507	96.1513840220333	183.693946648119	182.080773858802	202.507874714474	191.95919874999	182.805190720296	205.332494144817	185.450862955361	202.552461784094	190.974285949752	209.675526635721	219.442754916622	208.799268336925	201.765216700439	211.774195924121	185.079800033845	79.4507401842073	200.031769645347	141.062556086785	215.756077589645	250.634051481179	197.868484698809	200.268238738931	246.500923396641	194.792238932646	201.521612634753	163.782165424899	204.639868480571	207.284348192782	189.119103074975
Pd27	187.786191830702	199.581109241251	203.94081707246	170.769584468654	142.05596798851	140.631379380429	148.13253705589	127.393469376	202.255636525789	137.745079561214	145.850204630161	176.22833527479	176.563786877485	192.89885487623	187.339963530655	194.31076628943	193.385342314683	115.800960333477	187.236676471671	201.902727767992	146.95798735245	110.59113854892	137.198115799134	105.63047420007	132.471914837695	129.328304505109	121.207909097008	81.3538881468101	131.567240627008	142.603509072013	138.660436665298	171.495859777899	147.999914403142	192.437555952994	212.329646986366	0	88.9076424831641	89.8573468236634	99.4475556037944	106.360361218102	139.879087953619	125.460682662344	104.498861924681	126.138941653234	172.190886383014	145.730193133031	181.008455727009	188.211394302402	138.138162834739	151.441981844452	113.403498601408	115.238985495544	104.69331733639	129.172596292093	139.119048214993	125.955126800638	126.853847672122	170.994884593894	165.767459897328	164.802415100464	151.871939687778	181.486444675372	187.688392402043	204.531775348926	142.870964357144	205.057723518325	99.6193320395036	107.894217621111	144.256250855327	109.2562108131	121.086368934059	110.2163451047	157.745288386968	185.293020543375	169.328680025833	159.998863456897	177.089759135127
Pd28	202.875664115677	214.065106789802	219.19878528947	198.084054282558	158.120006563976	162.652429347003	170.149354911289	146.264110684513	218.633554345075	152.754352714354	167.057423478097	214.967299900798	195.456600577079	218.895395615555	205.554002404643	207.256106695294	210.935481343091	136.915894754731	215.810295944924	220.021827936073	173.443438232881	131.574488205911	147.202370065174	116.390524618485	162.536251452537	166.929197237566	162.279285176432	98.8943981635776	157.959571991539	155.549274770154	150.642306317053	185.510206921793	168.275222678172	216.723855111505	240.383753367855	88.9076424831641	0	95.0028701225934	118.104169967043	97.7843113263635	156.021740318357	141.439959913534	144.628942262038	137.813244288306	190.242043993505	160.782606241006	210.836487323196	219.025172907835	156.39471948447	171.071345030685	139.540726175994	149.899600889385	147.261975317545	146.00002145224	175.101750695063	148.340412235282	159.299255894716	187.063851040797	179.367167736863	182.043023395893	167.516797638419	196.771929731329	200.983941252838	229.871684668999	158.817778655589	220.506374616816	98.7432695052613	112.856456715118	158.993278777932	122.898648561745	99.860090965653	146.406960993679	174.158348383404	195.782802445578	187.220882794386	176.435427749264	195.37428106332
Pd29	168.565648414047	190.58925126255	195.400201146466	180.590750434445	105.973007047638	117.475907841886	119.740566797976	99.6902978299648	196.111518787904	113.494344507588	122.981039004048	186.691394741227	158.246418729688	203.469571158575	169.763977893778	175.873829224151	180.562973995532	97.5451920985728	198.802762127566	196.992596788585	139.286555023454	89.2970535588865	127.643425194317	66.490725278191	126.279179746393	143.858996122103	134.252555927778	113.3925017365	123.881145557634	116.822914641919	111.842152362429	153.974257974845	128.511977883934	200.8934522939	220.498047109343	89.8573468236634	95.0028701225934	0	88.2875721344333	77.5795157594128	110.306703729327	92.0679719175314	113.296538218454	101.367314796123	151.115215806963	122.898978146124	196.12209246758	200.525553975161	119.298869132781	129.825706773439	113.996899317236	126.523020009429	130.299523705739	103.110518215623	151.081486883659	123.823810666135	142.701607566285	154.240982478011	150.29555233071	147.155678427248	133.937939549695	165.401709775077	174.996717631341	209.911165501303	126.412247110564	196.927650527484	80.4457915286426	123.486803427141	124.371792752407	93.6314535992042	99.4452081973606	122.584449240841	120.698789683791	172.192289561752	146.131649340928	137.219666806646	157.82871748466
Pd3	148.982716440494	164.717668544979	170.975336738386	142.643077844751	100.157016340205	89.0620406653915	95.7270201383629	74.8054507054206	173.482592429276	91.4926197772766	90.3307157422383	145.840819409776	136.984202182898	182.382895871653	146.37550388721	157.324876945917	157.184920470387	67.9031241125504	170.421153638009	173.782615447671	114.195453634005	69.6519545137429	97.8075098056787	90.6504244044377	108.415670103288	117.324224810808	110.349296085568	116.198479786379	112.468814359234	111.241218814639	102.386709424138	135.239831919253	111.253712132712	177.595872848257	195.467786113979	99.4475556037944	118.104169967043	88.2875721344333	0	112.616995822651	97.5718964942638	95.445921026474	87.1172078560455	102.077055267992	132.458345704217	109.351889607226	172.787101090614	174.738685274981	105.736751435229	107.398727312733	80.369930795567	94.6996141404476	99.57460234674	81.0737948924103	127.104672241781	84.3181164292212	128.911396266194	135.705832518046	132.944642184906	124.971425739721	106.997530512676	146.693731147536	156.403635978533	184.751589950668	98.6284531005235	172.11431492456	90.826011737557	145.481153488866	100.113716020159	67.011838430036	129.225704961146	95.0885688854705	111.905449478698	154.138765595855	127.460819948734	121.463965011021	135.305724101205
Pd30	181.683293275855	199.829017106455	204.280994430202	191.112259900036	130.804482124372	141.490220998567	142.814478809343	126.905648025123	202.843438493561	135.484689109472	150.422985010716	204.187701156488	175.780788494375	205.588832376838	185.689283833712	186.404895267146	193.077278214639	119.514853371428	206.710887683908	205.140737815592	153.415537729315	116.244614959447	131.76047790113	94.112421048661	144.85843777015	157.006928795172	151.334875020204	118.112865695579	137.149711397709	138.586116517287	132.245643822403	163.2538916939	147.126232642381	205.143472574179	224.360262856252	106.360361218102	97.7843113263635	77.5795157594128	112.616995822651	0	127.455872583951	112.436605581011	132.089931439144	122.167242628853	168.550132530316	144.283745024436	202.290333560377	207.88812977233	136.608926106239	149.50294243487	136.559957097534	144.586908027918	142.492110837046	131.35713345529	166.946888631236	145.619856885617	154.299043349593	170.415919169863	168.666173239189	166.771354994457	154.36990027947	180.064424240118	185.644684588295	216.169919897286	146.043655261727	205.13387492569	94.8027017780958	132.230099340853	143.023276328432	118.191222925073	108.718024724991	137.640624937166	145.875422762935	180.808353409767	166.15025126093	159.179449352824	174.674186611691
Pd31	129.458229517912	153.984461307175	154.888917702476	155.714225275864	99.4588846902075	80.4143991826784	79.3393814766511	78.9428788625042	157.541741455545	71.2325808196214	95.5169964832378	145.114735024218	124.450852551187	184.787526000358	130.078573200862	138.162552437302	140.345958991847	79.5844712979632	171.777208250003	159.661600418487	91.3160838547194	89.3428324306012	110.723734576135	91.5541797100879	95.8398790100302	117.629448157793	108.334096523871	156.467176193655	99.5762689832715	110.756957847377	97.6734847590482	126.225486439541	98.8398420495181	178.755213217103	188.181316394326	139.879087953619	156.021740318357	110.306703729327	97.5718964942638	127.455872583951	0	96.5987798986791	99.6268386434231	99.3496160558509	110.729025621905	97.6331669314876	175.838968184071	170.708780047935	86.5459021818237	74.7696595155258	102.75723481754	103.044093301844	114.471528836013	96.7855006095386	126.592572905047	111.058550204002	131.782990720179	128.797125462208	128.057597600554	113.656912689224	97.8125861573064	131.171903630124	140.925074301767	174.606638448034	95.3536724277361	156.406978617863	126.144870758702	177.907511623234	100.267150899965	92.9732127373442	143.954297730231	110.253789164923	99.4121955910672	142.825106191212	115.525407508366	121.100415567352	118.68408104497
Pd32	147.075776007634	179.16454637141	183.312393650499	166.647178134932	93.5539296876539	91.6772859008869	88.8455374023507	94.4391881462428	185.257835451307	101.922409472025	89.1671413853902	154.386288242359	118.012491434259	191.849182912639	127.06969381687	161.42154393471	145.677622032063	91.2223760852162	186.699135456599	186.45087450448	123.325887238649	93.9718075852926	121.512959018068	78.6086934992259	118.608939923846	137.949236207928	122.66978612959	151.376195518258	119.957897428438	101.09316434953	88.1403538459662	127.290096619613	90.3676579752036	190.288701463224	203.955294934193	125.460682662344	141.439959913534	92.0679719175314	95.445921026474	112.436605581011	96.5987798986791	0	99.0147829478533	89.770502926454	118.131610285498	98.3826668221269	188.506786654962	187.374557802395	116.443055714145	120.154938777257	111.052244124924	117.428573106499	126.521798346122	88.3652514340591	135.775544880769	110.27687350648	135.259859279726	120.793827174112	124.75278147023	112.418163583734	106.748117665084	130.007524211089	155.874798115672	195.561281978269	101.27197473287	181.760758831785	126.866938738705	173.252982788522	101.025291984699	102.722411277466	134.729750580323	103.864853837691	85.5734422698974	167.647263304088	109.502928251925	112.095770063792	126.904870691293
Pd33	150.832829019967	173.529397724952	177.943032087632	143.849552976074	118.311266438011	92.9449873347577	98.7841305868689	87.0693507399768	180.512403445413	95.1095482612807	93.1567329936876	124.36490926576	126.319351505505	178.233827890886	136.02371855833	163.851869792296	149.874841116154	84.0060290432457	166.116039464111	178.75654591189	107.982147537706	88.0102963650416	118.93348338118	102.379044315399	103.550118731494	107.840001579874	88.7384516167733	132.133494245163	109.540466355964	112.310229712907	111.895853307517	138.348422264125	107.456044724205	174.066524911246	192.031503609669	104.498861924681	144.628942262038	113.296538218454	87.1172078560455	132.089931439144	99.6268386434231	99.0147829478533	0	97.4396034775122	123.766669324051	96.8127856856425	168.446776002142	168.940443186445	112.858335997384	113.098021229364	78.3863341268796	73.7064290125323	76.9386547663269	93.3836218440535	102.12429955845	84.1683131334551	109.612515439278	125.700244386232	119.777942580034	112.793968356756	101.392893448009	134.054160906524	154.243668462183	183.459636736551	92.7196669958136	179.198116172412	125.905185019775	155.900779314541	98.7717696813796	84.8002867692335	142.40615024538	63.4899186766807	116.028688331143	164.77813536512	120.184470742094	120.533214615841	131.819540259177
Pd34	146.652877710807	181.224250524783	187.340733302692	166.047859056203	128.105750548216	109.939096881208	109.977597271822	94.9157460116068	190.73114143124	97.1376803375744	96.0434987547309	165.452526347839	118.147165471506	204.268352893273	132.151873006317	158.634554468223	146.737920061922	103.560865405025	192.199410084645	188.496066865655	124.683891020701	92.5486341375207	142.569919877457	95.1970932638198	120.539305184793	136.65031762298	116.179055604566	148.067198455297	117.930170185073	70.0755706548061	81.5286774033992	126.788910592378	84.4301767370721	197.250820609881	212.476500377347	126.138941653234	137.813244288306	101.367314796123	102.077055267992	122.167242628853	99.3496160558509	89.770502926454	97.4396034775122	0	102.712339411085	65.2252568874994	192.390784960465	192.932736633091	124.123251422907	127.335331814271	102.622640641419	107.291232336279	127.30893791096	75.0937956878562	120.919434331348	93.7055955262117	121.505456905862	109.583361639666	100.684550479127	98.1815182218149	89.6972223329485	122.116944150431	149.255496893832	201.353051580709	78.2522227879167	183.894869058099	124.767024148944	154.235272186213	80.7151404734817	93.9812998471252	122.688673939172	108.058594442284	105.395481430948	164.004629575992	105.763453630412	99.8415147307232	124.087053343544
Pd35	109.310696269735	163.784807327541	170.023059281411	152.853401567574	138.964672847945	109.653398811548	106.017387079098	113.276874036648	179.148798719378	109.628467584853	100.790046568221	140.719814235335	79.0065923555514	200.662659087572	87.088459743794	133.438460223719	90.4493780803846	124.588899005804	182.106728513527	173.1189413258	128.831931651146	124.700646866688	157.170600762033	132.954822124674	136.971932729914	152.298658501896	133.179599369249	194.599022719669	136.819105587478	89.6950969098599	108.805168653294	105.75309364666	89.0612279389935	191.11846168117	198.199156284691	172.190886383014	190.242043993505	151.115215806963	132.458345704217	168.550132530316	110.729025621905	118.131610285498	123.766669324051	102.712339411085	0	79.0148571842203	190.094796966089	182.669070985675	135.643187818828	127.520361346963	126.333005762347	126.081573079132	148.825272138103	107.559453004363	135.92098701927	115.541183129188	147.262855926309	95.291779767678	92.1409217359492	81.9262741207812	92.9122419772714	86.8219854433123	113.665727640737	188.703555601765	91.2092745996506	168.414216262904	169.21086626026	206.819833827647	91.1555818286969	125.955505244574	174.265535479711	131.310321850707	103.21124352287	155.942384458268	68.0934969279618	79.1075658114648	69.4282880029478
Pd36	134.316023259797	174.078881668937	179.828452955945	159.63066391433	125.095649378621	98.5889712129768	95.9964852408827	89.0925312365944	186.808670418241	87.3527573440432	80.7168544659591	146.194281146587	94.0679180723783	203.854891803469	107.51678868688	150.474336879786	125.0328234113	107.425469540593	186.745519085908	182.312512221192	117.246329990293	102.396568859322	145.7343601818	108.054273362566	123.239784697226	139.271211851984	115.637162363948	167.889905110717	121.603486980864	77.095037858895	92.7398031672979	122.845069042094	82.3307654674042	194.565898170901	207.988736999355	145.730193133031	160.782606241006	122.898978146124	109.351889607226	144.283745024436	97.6331669314876	98.3826668221269	96.8127856856425	65.2252568874994	79.0148571842203	0	192.279347748046	188.591301528315	123.787921133851	119.580394560042	101.968486198608	106.5328686511	130.474702000116	73.9934819803384	120.270819839164	91.0051124637463	129.675814937748	94.8538201938909	85.5340086146427	75.2748163390815	67.9994529129281	100.503473944538	138.024529221602	197.303535112156	61.0252367696448	179.568823728476	143.675541784583	175.635994472694	70.6859982275062	96.3552241710756	140.542955475905	108.296546583873	95.0120569607158	162.200590348908	85.8831019176985	84.9896865242392	103.982923052082
