label	HOG	foreground_top_k	annotation_set
SC_pos	N13.HOG0007164	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007211	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007230	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007291	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007372	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007383	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007396	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007407	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007412	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007413	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007450	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007453	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007469	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007492	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007493	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007555	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007560	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007575	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007592	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007641	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007645	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007667	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007668	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007669	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007686	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007757	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007781	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007789	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007797	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007833	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007840	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007897	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007931	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007945	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007979	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007988	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008012	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008016	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008090	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008109	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008121	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008133	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008139	300	final_direct_conserved_plus_Dmel_experimental
