HOG	GO.ID	Term	ontology	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment	consensus_gene_name	run	node	biological_label
N0.HOG0000101	GO:0006301	postreplication repair	BP	6	0.00287406	0.04129	0.04129	1	0.04	25	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	CC	6	0.00287406	0.01595	0.01595	1	0.02	50	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0008392	arachidonate epoxygenase activity	MF	6	0.00287406	0.00111	0.00111	1	0	Inf	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0071771	aldehyde oxygenase (deformylating) activity	MF	6	0.00287406	0.00222	0.00222	1	0	Inf	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0008395	steroid hydroxylase activity	MF	6	0.00287406	0.01216	0.01216	1	0.01	100	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000103	GO:0006334	nucleosome assembly	BP	2	0.000699837	0.04223	0.04223	1	0.04	25	histone H2B-like family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000103	GO:0000786	nucleosome	CC	2	0.000699837	0.01198	0.01198	1	0.01	100	histone H2B-like family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	BP	6	0.00447613	0.00045	0.00045	2	0.03	66.6666666666667	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0006121	mitochondrial electron transport, succinate to ubiquinone	BP	6	0.00447613	0.00974	0.00974	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0006105	succinate metabolic process	BP	6	0.00447613	0.01361	0.01361	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0006491	N-glycan processing	BP	6	0.00447613	0.02131	0.02131	1	0.02	50	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0007608	sensory perception of smell	BP	6	0.00447613	0.03731	0.03731	3	0.09	33.3333333333333	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0006099	tricarboxylic acid cycle	BP	6	0.00447613	0.04035	0.04035	1	0.04	25	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0035010	encapsulation of foreign target	BP	6	0.00447613	0.04129	0.04129	1	0.04	25	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0006101	citrate metabolic process	BP	6	0.00447613	0.04317	0.04317	1	0.04	25	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0032590	dendrite membrane	CC	6	0.00447613	0.00069	0.00069	2	0.04	50	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0045273	respiratory chain complex II (succinate dehydrogenase)	CC	6	0.00447613	0.00999	0.00999	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0045283	fumarate reductase complex	CC	6	0.00447613	0.00999	0.00999	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0004984	olfactory receptor activity	MF	6	0.00447613	0.00026	0.00026	2	0.03	66.6666666666667	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0005549	odorant binding	MF	6	0.00447613	0.00031	0.00031	2	0.03	66.6666666666667	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0051538	3 iron, 4 sulfur cluster binding	MF	6	0.00447613	0.00775	0.00775	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	MF	6	0.00447613	0.00996	0.00996	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0008177	succinate dehydrogenase (quinone) activity	MF	6	0.00447613	0.01106	0.01106	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0048039	ubiquinone binding	MF	6	0.00447613	0.01326	0.01326	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0051539	4 iron, 4 sulfur cluster binding	MF	6	0.00447613	0.01326	0.01326	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000158	GO:0051537	2 iron, 2 sulfur cluster binding	MF	6	0.00447613	0.01764	0.01764	1	0.02	50	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000299	GO:0002003	angiotensin maturation	BP	2	0.000699837	0.0039	0.00390	1	0	Inf	glutamyl aminopeptidase-like / aminopeptidase A-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000299	GO:0043171	peptide catabolic process	BP	2	0.000699837	0.01843	0.01843	1	0.02	50	glutamyl aminopeptidase-like / aminopeptidase A-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
