annotation_set	foreground_top_k	topGO_algorithm	topGO_statistic	nodeSize	multiple_testing_correction	label	ontology	GO.ID	Term	Annotated	Significant	Expected	FoldEnrichment	p	algorithm	Members_n	MembersStr	definition
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0008258	head involution	21	5	1.41	3.546099290780142	0.01095	weight01	5	N13.HOG0004580;N13.HOG0006585;N13.HOG0006667;N13.HOG0006939;N13.HOG0008388	Movement of the anterior ectoderm to the interior of the embryo.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0014812	muscle cell migration	21	5	1.41	3.546099290780142	0.01095	weight01	5	N13.HOG0002643;N13.HOG0002644;N13.HOG0003908;N13.HOG0006635;N13.HOG0007368	The orderly movement of a muscle cell from one site to another, often during the development of a multicellular organism.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0036445	neuronal stem cell division	21	5	1.41	3.546099290780142	0.01095	weight01	5	N13.HOG0004652;N13.HOG0005125;N13.HOG0005432;N13.HOG0009831;N13.HOG0010427	The self-renewing division of a neuronal stem cell.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0021879	forebrain neuron differentiation	21	5	1.41	3.546099290780142	0.01095	weight01	5	N13.HOG0004716;N13.HOG0004933;N13.HOG0005432;N13.HOG0006689;N13.HOG0007368	The process in which a relatively unspecialized cell acquires specialized features of a neuron that will reside in the forebrain.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:1903531	negative regulation of secretion by cell	46	9	3.09	2.912621359223301	0.01118	weight01	9	N13.HOG0003201;N13.HOG0005678;N13.HOG0005941;N13.HOG0006201;N13.HOG0007204;N13.HOG0007309;N13.HOG0008096;N13.HOG0008418;N13.HOG0009666	Any process that stops, prevents or reduces the frequency, rate or extent of secretion by cell.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0048259	regulation of receptor-mediated endocytosis	38	8	2.55	3.1372549019607847	0.01125	weight01	8	N13.HOG0002101;N13.HOG0004920;N13.HOG0006667;N13.HOG0007176;N13.HOG0007616;N13.HOG0007679;N13.HOG0008458;N13.HOG0009575	Any process that modulates the frequency, rate or extent of receptor mediated endocytosis, the uptake of external materials by cells, utilizing receptors to ensure specificity of transport.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0007431	salivary gland development	69	10	4.63	2.159827213822894	0.01126	weight01	10	N13.HOG0002533;N13.HOG0002644;N13.HOG0002731;N13.HOG0004947;N13.HOG0005713;N13.HOG0007104;N13.HOG0007679;N13.HOG0008096;N13.HOG0009479;N13.HOG0010737	The process whose specific outcome is the progression of the salivary gland over time, from its formation to the mature structure. Salivary glands include any of the saliva-secreting exocrine glands of the oral cavity.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0009948	anterior/posterior axis specification	103	20	6.91	2.894356005788712	0.01152	weight01	20	N13.HOG0002158;N13.HOG0002533;N13.HOG0002535;N13.HOG0004883;N13.HOG0005038;N13.HOG0005196;N13.HOG0005732;N13.HOG0005968;N13.HOG0006522;N13.HOG0006670;N13.HOG0006816;N13.HOG0006939;N13.HOG0007309;N13.HOG0007355;N13.HOG0008388;N13.HOG0008518;N13.HOG0009545;N13.HOG0010427;N13.HOG0010506;N13.HOG0010602	The establishment, maintenance and elaboration of the anterior/posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0018108	peptidyl-tyrosine phosphorylation	79	15	5.3	2.8301886792452833	0.01178	weight01	15	N13.HOG0002643;N13.HOG0002644;N13.HOG0004252;N13.HOG0004580;N13.HOG0004620;N13.HOG0004652;N13.HOG0005597;N13.HOG0005722;N13.HOG0006141;N13.HOG0006667;N13.HOG0007050;N13.HOG0007368;N13.HOG0008074;N13.HOG0010427;N13.HOG0010752	The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0071773	cellular response to BMP stimulus	59	17	3.96	4.292929292929293	0.01181	weight01	17	N13.HOG0001944;N13.HOG0002051;N13.HOG0002799;N13.HOG0003201;N13.HOG0004652;N13.HOG0004705;N13.HOG0004933;N13.HOG0005134;N13.HOG0005732;N13.HOG0006141;N13.HOG0006200;N13.HOG0007756;N13.HOG0008096;N13.HOG0008557;N13.HOG0009575;N13.HOG0010602;N13.HOG0010737	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a bone morphogenetic protein (BMP) stimulus.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0030217	T cell differentiation	38	7	2.55	2.7450980392156863	0.01183	weight01	7	N13.HOG0004256;N13.HOG0005196;N13.HOG0006141;N13.HOG0007679;N13.HOG0009960;N13.HOG0010427;N13.HOG0010567	The process in which a precursor cell type acquires characteristics of a more mature T-cell. A T cell is a type of lymphocyte whose definin characteristic is the expression of a T cell receptor complex.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0048562	embryonic organ morphogenesis	102	18	6.85	2.6277372262773726	0.01188	weight01	18	N13.HOG0001944;N13.HOG0002101;N13.HOG0002731;N13.HOG0003201;N13.HOG0004256;N13.HOG0004652;N13.HOG0004716;N13.HOG0004933;N13.HOG0005196;N13.HOG0005432;N13.HOG0005480;N13.HOG0005722;N13.HOG0006603;N13.HOG0006670;N13.HOG0006689;N13.HOG0007176;N13.HOG0008258;N13.HOG0010602	Morphogenesis, during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0071559	response to transforming growth factor beta	68	14	4.56	3.0701754385964914	0.01215	weight01	14	N13.HOG0001944;N13.HOG0002643;N13.HOG0002644;N13.HOG0004933;N13.HOG0005732;N13.HOG0007368;N13.HOG0007863;N13.HOG0008096;N13.HOG0008388;N13.HOG0008757;N13.HOG0009575;N13.HOG0010427;N13.HOG0010602;N13.HOG0010737	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0016482	cytosolic transport	69	12	4.63	2.591792656587473	0.01229	weight01	12	N13.HOG0003908;N13.HOG0005741;N13.HOG0006141;N13.HOG0006456;N13.HOG0006522;N13.HOG0006585;N13.HOG0007385;N13.HOG0008279;N13.HOG0008458;N13.HOG0008728;N13.HOG0008910;N13.HOG0010997	The directed movement of substances or organelles within the cytosol.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0030833	regulation of actin filament polymerization	50	10	3.36	2.9761904761904763	0.01246	weight01	10	N13.HOG0000931;N13.HOG0004432;N13.HOG0005038;N13.HOG0005581;N13.HOG0005711;N13.HOG0006237;N13.HOG0006635;N13.HOG0007176;N13.HOG0007368;N13.HOG0008418	Any process that modulates the frequency, rate or extent of the assembly of actin filaments by the addition of actin monomers to a filament.
