sample	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
Vv171	116.138156345387	121.974236080567	79.1141588671569	80.9405289617917	150.077027462645	149.629293237737	207.423500387861	204.292558818762	211.289246996577	209.945456116547	0	105.204091023535	97.3525693444735	95.19614388447	175.769428288254	212.520427578581	205.075944214649	193.716040818297	206.808289783372	104.851201701917	110.831256467727	95.1360558011946	100.510127048197	119.057938774579	122.057341115112	168.628186296649	183.381972956393	192.281301775053	210.897659679325	215.946578605841	196.901525814747	125.080194017489	96.6394402485565	111.04663404374	108.125304005113	109.706836463757	127.031839779623	158.699258778889	179.069447114286	197.860277545792	200.693849355664	206.343221037663	208.35769774949	88.1694201676432	109.774781058605	127.266890352033	101.335716732412	143.739097615329	146.945143831564	169.242557823405	175.434146881529	183.043041914111	205.237471023447	201.527522809856	76.105735567793	88.4065222282891	120.39504461003	126.867991788319	155.451528332403	147.308979475829	183.308467252232	174.27381316968	197.312324195092	197.431464256341	212.265749195035	214.858460140718
Vv172	85.822993822798	102.535910324691	108.519400465647	113.275881765613	163.535247347173	161.607336137996	205.739930510116	208.222415433713	211.98120704843	207.06858207588	105.204091023535	0	115.644240361171	122.573872784812	181.722051655043	204.278867292146	199.257929056122	189.019944913685	205.929645701997	76.1869508836836	85.1222846302806	97.7241357837436	105.925864200804	149.347770357187	116.051316510196	175.567118455307	184.042629385133	193.200451642835	200.175736286988	194.053092371618	192.684999318569	98.1106457952042	110.363120704248	92.6731706901114	85.9039445656057	101.36058793004	115.987825993512	166.750336527675	183.910186458276	191.531720913537	197.289537477889	189.164996073064	182.027413876058	103.303765352378	84.8654111054801	143.261600100524	94.7587696196368	157.752489006982	167.886994003526	176.157176463875	177.436155896849	182.229328724902	187.387309384	183.106215434769	113.091029195966	94.7494647764649	118.356838628838	152.724725097669	168.258234979787	171.937216224948	185.647452719444	178.687333358088	191.785824593517	187.865392274162	189.895762224769	193.673368769482
Vv175	113.768032308175	117.763689491405	90.6409880884232	106.961552298164	106.307981167029	109.509055246522	184.233586667233	184.893193900606	211.157046221696	209.917213192214	97.3525693444735	115.644240361171	0	58.7308382147578	141.35473210689	193.000167071508	183.30418102593	191.513785788219	204.19360654181	103.931745310496	108.966117275068	99.4976196414069	84.6565860176581	83.4242503900827	98.5851531938685	134.869420389564	154.736858552365	166.500729123132	194.99519686178	203.828780562403	194.893662991964	124.824786072096	132.86220653608	97.6833657216151	109.86558049393	83.532056339952	97.4076812743575	124.333747170035	148.906944586398	180.406703811432	181.489904105847	207.527904578433	198.412005841107	127.482837160453	104.519345211674	121.965666830129	82.0961179382999	104.38170389286	112.035335129156	138.845732551859	145.56377734951	160.277959801941	190.434857771171	187.976236500874	108.608468732407	119.447593881421	91.8484546473697	131.261649594923	119.564345711781	123.646966971703	156.366916697743	145.189863255611	178.391429526547	182.31797630417	206.121491376925	201.393972990492
Vv176	115.783318074203	117.195490626422	87.1452309399736	110.347298820587	106.919663182092	110.160644050012	184.186418452211	185.324928913504	213.350168200572	212.74411260448	95.19614388447	122.573872784812	58.7308382147578	0	142.134937580508	193.765062027641	183.567082933676	192.09104139441	205.715190706921	108.451103048369	113.034858105295	104.919461332721	85.0639613072706	79.2104451741368	106.331848976536	134.305017814935	154.446140004781	165.150333843054	196.26712321032	207.098368517331	195.288471896402	129.594995459856	133.583746468036	106.683697298627	117.985958503225	90.514332185771	105.016253678658	125.440879868719	149.42520944867	181.01696510347	181.452352081808	211.957782742367	202.837956701699	128.470982201987	109.20748839717	125.695932739242	87.9830805599376	104.32838979412	107.052055160133	137.796563313766	145.543017267058	160.172409941543	193.720374038513	191.556764945892	112.242416046201	124.358639754925	99.2945521134563	132.772090994755	118.084800031005	120.377264901126	156.066055292327	145.30055838582	178.591547839798	183.135726673885	210.197030568067	205.551794313139
Vv181	170.565250188229	177.670795096577	173.335544070407	171.900389932737	106.821885664914	99.7817494699558	113.449516491642	127.931912171309	210.021020525498	208.642528163087	175.769428288254	181.722051655043	141.35473210689	142.134937580508	0	138.928267782596	122.848620619179	196.668525760015	204.527643530725	164.772286004039	169.941136812945	159.925167381169	168.012362711706	125.306077167248	135.541250751276	65.158723641387	85.8116174374105	84.4815523874653	156.963909672479	193.452414338492	201.452734429596	180.594015064669	199.188831482647	163.183213938179	167.315659885505	149.443633932377	126.83790118911	87.1354992948092	82.7498574650257	129.24396811936	122.854642586091	209.435521535493	194.32147095191	192.173933341033	169.910220477166	141.27684092023	148.335944155532	105.959962543301	119.427104155193	81.3910393761334	81.3971764810055	95.9895255457056	179.892711849433	177.240359411177	175.333594088444	183.518670635304	127.468161120262	147.464173107642	117.643667924006	129.271310759287	89.7926358458318	89.8361064722217	123.280790340269	143.259400334395	199.560320502039	190.715240005366
Vv183	191.040276794003	195.726717308713	212.018559849437	207.176679330068	161.277186692307	155.380241340386	89.2234122975996	96.6718696901481	176.860652408232	175.959466203309	212.520427578581	204.278867292146	193.000167071508	193.765062027641	138.928267782596	0	60.7487005659677	171.479708844839	171.929435922365	194.333642819439	197.396611722505	198.0162139935	209.879709742349	187.286374881707	178.226533220169	151.366285913923	132.615199183481	107.036184594844	114.511066475936	147.190567062042	175.273704991864	202.989697335921	217.032916348348	203.798979353378	202.253812098055	193.191127981479	165.017689349866	158.282021563436	152.316895324285	102.694270163718	143.953183483566	175.126735834166	155.919731054556	209.283401782984	194.020780016924	179.258968628923	190.86405939843	167.296075046163	171.64373858132	150.041753680678	140.968326167006	134.522109290544	138.802178366864	135.550246162605	210.406524383863	212.792697240323	178.287535157202	180.355820039463	169.079382826504	173.824707892181	143.884730467196	150.817341362407	114.3403944307	119.330942208549	159.828662041436	146.466510244866
Vv184	187.904183533335	193.655428563655	205.107405060289	199.858764150511	152.284260394065	145.587344741252	73.5877701429478	84.9874602740416	186.397938885556	184.816029184336	205.075944214649	199.257929056122	183.30418102593	183.567082933676	122.848620619179	60.7487005659677	0	177.393758340653	181.11282479354	188.741314872917	192.540312593773	190.056650860637	201.80081782635	176.336968537646	169.350606372003	137.958656789863	121.818974861823	88.5629928802549	115.4053496657	160.600436825799	181.823313630929	199.422221045193	215.422342002422	196.556509129536	195.852077006747	185.615009301012	158.724650596627	147.348077310639	139.850046081413	95.0753064352831	131.770209593544	184.107758750368	166.676813021825	206.707390336851	190.266277002132	171.822858186741	182.656648613028	156.279681223534	163.058980164388	138.505242823394	129.472798517057	118.19558662531	150.39929635459	147.075082350385	204.447418051148	207.382934720499	169.519724288069	173.783388752422	162.260333232436	168.193494891781	134.094578058604	140.904796614793	104.926356949119	116.636657603043	170.752347211488	159.875540179587
Vv187	179.021629410229	178.436815303	193.880093786339	190.715335391235	179.130093067502	176.793021818305	184.1971970236	167.061825799872	85.6697301947648	87.3607464149059	193.716040818297	189.019944913685	191.513785788219	192.09104139441	196.668525760015	171.479708844839	177.393758340653	0	62.4847740052079	191.874360997518	189.574555475817	194.385358856318	201.87690637244	190.215930097823	188.496495741729	194.060198721907	186.753444611206	187.777858804525	186.224413098463	125.056628102895	48.6703724117013	192.423272099681	183.14128360069	201.284089219005	195.04062972995	192.080580349708	174.231880600929	194.669609528069	205.53208570429	190.566826900255	202.721529378684	120.874073544343	133.7704812397	176.464974494463	184.903002801397	183.794298029645	194.944369521562	187.419255382015	183.784419976917	195.676127326334	190.35372600284	201.931489520161	141.974564861627	135.554993921852	194.569217622826	194.913642257878	193.604410973519	177.942517549972	187.017024181153	183.724766056452	200.61846428532	196.768863401994	193.968721504742	192.10202882112	123.410821330397	132.878104343724
Vv188	190.074279440859	187.079410149045	206.374841862325	202.657476357713	186.888783481851	184.76156188828	186.254180682474	164.983758401159	60.0586405351637	68.7629287314404	206.808289783372	205.929645701997	204.19360654181	205.715190706921	204.527643530725	171.929435922365	181.11282479354	62.4847740052079	0	206.883196437799	202.700075462603	208.955437109344	217.474334810949	199.526258956286	203.147695325654	202.738529325254	193.436417441775	192.833280296401	191.437528745077	122.636650608196	60.7782177125903	206.170195916116	192.417372522225	215.540978182727	210.000210831738	205.240747660137	185.257759890378	203.507831362042	213.503796307778	199.339642027597	209.661985230684	117.518884341195	137.790207791398	185.654451995775	197.845037369437	193.339940823754	210.487278928757	195.967275568201	190.754182195921	203.221261357697	197.992281806441	212.782850867934	144.561215449177	138.047243457801	207.520615724723	209.314671111157	206.956486983613	184.737908396932	193.474915957452	188.016157987324	207.216406486818	204.152830915841	201.934661769059	201.926253757512	123.060748299459	133.129029732111
Vv190	70.8141227307864	93.8417809916966	99.6448815591938	112.812805285759	141.838862529201	141.642233301246	190.559524354168	195.062117045658	212.69454332982	208.662115603253	104.851201701917	76.1869508836836	103.931745310496	108.451103048369	164.772286004039	194.333642819439	188.741314872917	191.874360997518	206.883196437799	0	64.0406412037627	88.9952608132367	87.4139364229744	132.200642314151	98.7930588253905	158.730140399818	165.476243779582	176.801100926003	190.831640841554	192.955993563743	193.435679306094	87.6245546042522	121.841779134473	75.9890292500069	86.2666376902721	86.1795444789868	100.4589558411	149.720688196205	166.740703813562	180.742424599224	184.207416071683	197.961038639791	185.242431864431	112.285093719833	71.6994528695164	137.868639334922	76.8907853497372	140.036741346094	151.619167479047	162.525101035243	163.997293887669	169.595815427799	186.959938127049	181.784886123546	111.400646425398	100.844452379967	103.244260166577	147.595275858228	151.794528658834	157.635101228553	170.124344799582	163.51483622194	181.474703551458	181.653315962861	195.974715778597	194.108411505219
Vv191	67.8288373011543	76.6362620631153	97.585469954298	121.174320424016	142.704551640284	143.208388888089	193.404162645826	195.788307212183	206.300867936538	203.361262492849	110.831256467727	85.1222846302806	108.966117275068	113.034858105295	169.941136812945	197.396611722505	192.540312593773	189.574555475817	202.700075462603	64.0406412037627	0	108.627276137775	82.5987638553448	133.512661153254	109.750496943578	162.291348011535	163.336363860264	179.728886970396	189.638161748516	193.067293731506	189.152207587211	89.1654354111752	113.749952751293	89.2942401226572	100.757016480631	90.2615764736594	108.676949344049	152.787342783134	170.927825893633	184.121524680275	187.13701694633	197.407577645433	185.101507252132	102.920064205782	71.2833390284746	148.713657189273	95.7313363915083	141.54007351276	150.081076691456	164.640619138719	161.734227299055	174.817231204749	185.594250857361	181.267278829042	114.536086089743	106.041422167573	115.241734648273	151.946591168143	149.496807147366	155.125745520496	172.022623951132	164.22311927119	183.229824102102	182.795185717099	197.492542514612	194.369823529499
Vv193	115.362237582805	131.014252436889	107.022873238845	76.2275619304889	139.093477727126	137.670792397643	191.383387592074	192.374558014059	211.9900804411	207.749733780596	95.1360558011946	97.7241357837436	99.4976196414069	104.919461332721	159.925167381169	198.0162139935	190.056650860637	194.385358856318	208.955437109344	88.9952608132367	108.627276137775	0	100.277408738597	120.372365493907	76.9485458957951	152.782862709044	165.274418589098	174.50726134091	193.388714445891	198.241623399713	196.444625844125	130.5411038155	131.371601107511	102.236439438649	86.1096893278045	105.724978782447	103.685357905148	145.640548990518	164.178304746863	183.775798197333	188.160852551868	191.76606812454	193.157588388111	121.138918564862	110.459786850368	96.2653012522704	77.014836736004	133.093004052539	142.438358693273	155.557378339247	159.961661401783	168.284845733698	189.312527999955	185.796000991258	86.2525705461566	83.2934871392762	88.1176158544893	112.243168335483	144.974480307406	144.935726195754	167.070801738292	158.754235897755	181.823982909651	182.217901334866	194.021739664039	198.307371708742
Vv194	101.949846778949	105.154042289629	76.6097129005385	112.187331406603	136.390941134416	137.969695587244	203.012880427966	204.146512973338	220.941021729072	217.884576946408	100.510127048197	105.925864200804	84.6565860176581	85.0639613072706	168.012362711706	209.879709742349	201.80081782635	201.87690637244	217.474334810949	87.4139364229744	82.5987638553448	100.277408738597	0	110.536968539227	107.706377698869	158.21358837863	167.643965450539	185.188718684493	199.412617299003	210.954525594155	202.191392303296	114.219620481332	123.104545522773	97.152836318279	110.042283427946	92.3427120079963	116.712074156435	148.926306624923	170.219391419034	190.657746636741	194.715688242989	213.591173776096	201.762662962938	119.511907316506	98.1964844586496	147.292071600369	89.8225828353256	133.330785971578	139.148403011474	160.53690007949	163.109180081889	173.68611062676	197.503392267964	196.08592816788	103.297377388305	107.687682221876	106.073456103404	152.800134453872	140.4850008306	146.183483247737	172.833211674766	163.045619420672	186.904894728159	185.374531395096	212.988501728326	209.29566834259
Vv195	136.616498823096	135.604729842457	106.230459534875	122.314898231796	86.8905316310474	89.9200997138398	171.157145285299	169.958194721136	204.902583616934	205.765967340562	119.057938774579	149.347770357187	83.4242503900827	79.2104451741368	125.306077167248	187.286374881707	176.336968537646	190.215930097823	199.526258956286	132.200642314151	133.512661153254	120.372365493907	110.536968539227	0	109.90250955784	111.606654616908	136.62012718254	150.153331913335	190.419947360923	206.710580049162	191.18118810534	151.565889225835	146.252111661057	129.361861225511	134.996200121303	107.812379523764	110.105791838257	105.633609660559	130.142860054396	173.358417194696	169.428165270043	211.083044632543	204.456848361943	143.346565023216	134.881417844787	119.423518051199	114.925474535078	88.1456834596073	84.9150765954631	117.37984209351	128.291852941664	150.138642231079	194.3040072523	192.004639184475	126.926717374354	141.324228583199	104.417051051694	121.323399145246	98.6416301691176	94.9889995099604	136.593235004034	124.789274866547	169.423143649934	178.273411231888	210.290625635132	206.153627182176
