gene_id	gene_name	Pd103	Pd105	Pd106	Pd11	Pd110	Pd112	Pd115	Pd119	Pd12	Pd120	Pd122	Pd123	Pd128	Pd13	Pd130	Pd134	Pd137	Pd14	Pd142	Pd143	Pd149	Pd15	Pd150	Pd152	Pd16	Pd17	Pd19	Pd2	Pd20	Pd21	Pd22	Pd23	Pd24	Pd25	Pd26	Pd27	Pd28	Pd29	Pd3	Pd30	Pd31	Pd32	Pd33	Pd34	Pd35	Pd36	Pd37	Pd38	Pd40	Pd43	Pd45	Pd46	Pd49	Pd5	Pd51	Pd52	Pd55	Pd56	Pd57	Pd58	Pd6	Pd63	Pd66	Pd69	Pd7	Pd72	Pd75	Pd77	Pd8	Pd80	Pd84	Pd86	Pd87	Pd9	Pd93	Pd95	Pd98
LOC107068717	LOC107068717	0.749865	2.347989	3.245769	2.0775	1.514524	1.120576	1.399105	0.890515	4.23736	0.676993	0.849768	0.503126	0.303165	3.639083	0.21024	1.376711	0.547985	1.842565	2.283535	3.012527	0.95877	1.32642	3.493488	0.493981	0.94074	1.116921	0.477931	1.085213	1.226558	0.53868	0.671875	1.36813	0.760539	1.844439	3.360694	0.773545	0.337007	1.284475	1.501075	0.434845	0.871574	1.138887	0.704824	0.084557	0.449609	0.234187	2.250146	2.563504	1.906332	1.56665	0.271158	0.565646	0.796398	0.394199	0.376463	0.387576	0.364072	0.241831	0.086612	0.388996	0.265251	0.326598	0.510085	3.893382	0.472086	2.771489	2.620825	1.027177	0.309978	0.607427	0.349806	0.496607	1.115595	1.632359	0.583288	0.452422	0.586027
LOC107068718	LOC107068718	0	0	0	0	0	0	0	0	0.955537	0	0	0	0	0	0	0	0	0	0	0.978073	0	0	0	0.712553	0	0	0	0	0	0	0	1.047738	0	0	0	0	0	0	0.754005	2.536914	0	0	0	0	1.220583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.504137	0	0	0	0	0	0	0	0	0
LOC107068719	LOC107068719	10.257961	15.465809	8.11701	25.227084	16.244732	17.324079	25.642644	22.146082	6.580324	21.474916	21.855588	24.235741	22.163589	21.082523	19.53543	8.918598	15.068122	29.967879	22.663585	6.259895	22.187272	26.08467	26.326146	34.373819	32.98807	41.531483	30.837946	25.391884	33.556157	19.265971	41.660681	27.561999	37.626054	23.778215	29.574239	37.2743	26.548732	28.541987	32.955411	34.128614	22.381302	30.369186	23.377533	20.440396	17.0206	16.220754	24.385373	25.521252	10.44142	16.198364	17.049854	18.911748	25.51746	30.149812	27.860678	27.242651	21.157293	16.629137	14.001716	22.019206	20.928384	18.167658	7.916127	22.037153	20.036989	11.071991	19.999651	12.175544	21.301227	15.901063	12.829608	24.131803	30.377697	5.437993	32.141007	31.530095	31.764957
LOC107068720	LOC107068720	33.025726	62.261154	58.991058	32.398268	24.943299	24.763206	27.087207	31.648234	51.617388	33.411427	24.953476	12.499633	9.077384	19.424866	9.699689	57.067432	12.435317	34.039583	24.690713	56.374886	32.649964	35.999427	33.310196	20.014703	27.01166	29.164298	29.063647	24.520211	34.603365	18.339728	42.007292	27.354977	23.268269	19.886138	36.675723	17.532308	23.233825	19.126042	20.927877	22.955973	33.504935	16.139867	18.169938	19.790897	23.820077	20.336718	25.062141	27.385307	35.454303	37.90485	22.654603	31.909851	18.192746	21.832025	23.589049	18.688929	22.774536	9.376782	8.35824	12.964092	31.078137	12.677439	16.464052	39.562614	23.416296	67.173631	32.914487	38.116685	23.694973	30.643202	27.232806	18.406263	27.157674	54.77377	12.713481	15.641634	26.603449
LOC107068721	LOC107068721	8.707191	4.584305	2.478932	16.749475	0.304504	0.647773	1.126241	0.555291	1.979834	0.250823	0.659969	3.519601	0.793274	1.258144	1.402879	7.424082	1.795744	0.470951	1.564048	2.442195	1.97641	0.457545	1.307128	0.113382	0.436468	0.909793	0.572853	0.201835	0.820299	0.387826	0.331773	0.873824	0.634154	1.232025	2.283857	0.192586	0.203266	0.158584	0.291285	0.561653	1.176512	0.216888	0.065919	0.203928	0.487441	0.335929	0.910922	1.307313	0.588773	0.846833	0.293385	0.15494	0.210288	0.299834	0.172554	0.216445	0.184691	0.33555	0	0.580438	1.009568	0.448972	3.2586	3.954731	0.478424	2.144042	0.146784	0.040078	0.76108	0.134616	0.024397	0.188206	0.450295	5.838851	0.714816	0.526586	1.692904
LOC107068722	LOC107068722	5.076222	3.489289	1.979497	12.355252	0.203661	0.628071	0.643836	0	0.429131	0	0.437093	1.394046	0	0.635942	0	4.280719	0.906879	0.213037	2.646827	1.566656	1.386704	0	1.436093	0.162526	0.188439	0.385712	0.610777	0	0.184315	0.223136	0.401083	0.22965	0.670875	0.400181	0.905478	0	0.168366	0	0	0	0.633674	0	0	0	0	0.219785	1.130224	0.821166	0.19905	0	0	0	0	0.534974	0	0.351002	0	0	0	0	0	0.387828	1.742944	1.374465	0.625235	0.653913	0.134284	0	0	0	0	0.3646	0	4.824967	0.704075	0	0.77292
LOC107068723	LOC107068723	23.319813	23.633232	23.907871	21.305117	16.441713	13.413545	14.53087	18.395893	28.955778	16.52879	11.548442	7.224861	7.754591	22.509499	8.375795	24.428334	9.955121	22.978452	15.74135	24.833731	24.406943	17.778639	37.618023	16.98296	15.689007	18.24755	12.937267	26.357038	16.822307	12.165488	11.260581	18.13604	11.426378	17.70839	24.027475	18.415457	24.585447	20.839695	23.900932	24.721317	16.982392	15.524646	14.389957	11.088056	9.391277	11.637582	16.545509	15.679518	19.614471	19.98463	14.163895	11.725032	17.694029	15.172972	11.21226	11.614314	11.191989	7.693995	6.108927	9.01186	12.217367	7.676805	16.482957	24.078303	14.154317	24.131875	30.751427	19.845228	13.971396	16.730361	10.954041	15.786753	13.544836	32.398685	8.13579	8.75558	12.170738
LOC107068724	LOC107068724	31.387717	43.922508	43.092841	32.11299	29.732679	11.182037	16.618739	28.974663	48.834794	18.609087	21.904074	4.397249	11.579576	27.723888	9.86459	46.677968	14.254434	30.586844	21.222581	40.051451	17.206349	26.787837	23.700971	26.944606	26.916705	24.393113	19.178739	25.778747	28.285839	22.806061	24.732583	33.391773	12.261597	22.681561	38.558448	23.016142	25.239573	32.621104	31.663009	26.274314	18.590401	25.665122	14.193775	13.481895	13.572734	12.760451	22.376304	27.616996	21.396831	19.300077	16.701646	12.806324	14.475339	17.735493	12.110023	12.040024	14.710779	7.089914	6.815591	10.32386	11.523271	12.717213	17.149973	40.891578	10.331333	41.528785	44.599012	26.723899	12.508211	25.041353	18.201101	16.568969	32.341739	69.313636	14.320671	16.333378	19.746684
LOC107068725	LOC107068725	58.987238	87.290262	89.353944	66.684216	87.366185	76.756721	80.440119	83.360194	109.979858	77.634106	62.650776	26.932941	40.351926	87.98007	30.753977	66.470158	33.525942	81.306338	71.064305	119.229878	74.519696	79.426763	69.968764	63.45529	81.922972	91.586062	51.527639	87.544284	82.355197	42.958908	79.740535	64.912843	46.154035	90.971959	98.99947	77.2492	75.830054	83.303639	94.908747	72.623531	67.951575	66.20052	60.058831	46.381637	42.139333	38.68534	77.095041	82.001651	73.528768	67.265733	55.733422	49.905272	62.271579	71.92986	51.094313	45.826287	42.424643	35.876867	35.409992	38.002402	44.864593	28.560112	46.819979	121.856977	55.696304	80.998305	128.998206	83.012834	61.363261	79.522736	50.981491	52.94025	85.0043	97.602377	44.11883	49.43235	50.670417
LOC107068726	LOC107068726	230.157106	224.582063	217.596406	173.013299	127.491395	131.81483	142.596201	160.730528	239.183855	170.973756	126.523625	78.788948	77.206777	118.163586	75.149206	263.647942	88.861433	157.025559	123.919811	241.081257	181.502468	172.8117	183.877369	107.76859	163.009237	175.247902	169.057564	158.87612	184.761	114.574056	180.306468	166.729619	130.017183	137.5098	182.855503	104.792096	144.551357	101.268213	136.631038	121.856803	176.303365	96.378329	140.014045	122.589997	128.958541	136.719991	125.949749	132.967135	168.9691	179.180026	146.402609	178.660962	141.037023	142.735425	154.087938	136.410921	155.489773	79.840432	82.019426	101.522148	155.698429	79.469845	154.852441	210.890814	152.495593	238.757908	168.80522	185.940012	158.837037	152.283228	131.600297	106.811991	133.865451	267.33832	105.742334	106.735319	158.372699
