GO.ID	Term	Annotated	Significant	Expected	FoldEnrichment	topGOresult	p_raw	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	ontology	algorithm	statistic	Members_n	Members
GO:0004745	all-trans-retinol dehydrogenase (NAD+) activity	5	1	0.01	100	0.0063	0.0063	1	1	1	1	1	1	1	0.0063	MF	weight01	fisher	1	N0.HOG0000814
GO:0009922	fatty acid elongase activity	5	1	0.01	100	0.0063	0.0063	1	1	1	1	1	1	1	0.0063	MF	weight01	fisher	1	N0.HOG0000162
GO:0030223	neutrophil differentiation	6	1	0.01	100	0.0067	0.0067	1	1	1	1	1	1	1	0.0067	BP	weight01	fisher	1	N0.HOG0000114
GO:0042572	retinol metabolic process	6	1	0.01	100	0.0067	0.0067	1	1	1	1	1	1	1	0.0067	BP	weight01	fisher	1	N0.HOG0000814
GO:0042574	retinal metabolic process	6	1	0.01	100	0.0067	0.0067	1	1	1	1	1	1	1	0.0067	BP	weight01	fisher	1	N0.HOG0000814
GO:1990948	ubiquitin ligase inhibitor activity	6	1	0.01	100	0.0076	0.0076	1	1	1	1	1	1	1	0.0076	MF	weight01	fisher	1	N0.HOG0000042
GO:0006591	ornithine metabolic process	7	1	0.01	100	0.0078	0.0078	1	1	1	1	1	1	1	0.0078	BP	weight01	fisher	1	N0.HOG0000504
GO:2000435	negative regulation of protein neddylation	7	1	0.01	100	0.0078	0.0078	1	1	1	1	1	1	1	0.0078	BP	weight01	fisher	1	N0.HOG0000042
GO:0042761	very long-chain fatty acid biosynthetic process	8	1	0.01	100	0.0089	0.0089	1	1	1	1	1	1	1	0.0089	BP	weight01	fisher	1	N0.HOG0000162
GO:0008611	ether lipid biosynthetic process	8	1	0.01	100	0.0089	0.0089	1	1	1	1	1	1	1	0.0089	BP	weight01	fisher	1	N0.HOG0000114
GO:0042587	glycogen granule	8	1	0.01	100	0.0091	0.0091	1	1	1	1	1	1	1	0.0091	CC	weight01	fisher	1	N0.HOG0000114
GO:0006723	cuticle hydrocarbon biosynthetic process	9	1	0.01	100	0.0100	0.01	1	1	1	1	1	1	1	0.01	BP	weight01	fisher	1	N0.HOG0000114
GO:0071329	cellular response to sucrose stimulus	9	1	0.01	100	0.0100	0.01	1	1	1	1	1	1	1	0.01	BP	weight01	fisher	1	N0.HOG0000114
GO:1904667	negative regulation of ubiquitin protein ligase activity	11	1	0.01	100	0.0122	0.0122	1	1	1	1	1	1	1	0.0122	BP	weight01	fisher	1	N0.HOG0000042
GO:0090557	establishment of endothelial intestinal barrier	11	1	0.01	100	0.0122	0.0122	1	1	1	1	1	1	1	0.0122	BP	weight01	fisher	1	N0.HOG0000114
GO:0070402	NADPH binding	10	1	0.01	100	0.0126	0.0126	1	1	1	1	1	1	1	0.0126	MF	weight01	fisher	1	N0.HOG0000114
GO:2001251	negative regulation of chromosome organization	166	2	0.19	10.5263157894737	0.0136	0.0136	1	1	1	1	1	1	1	0.0136	BP	weight01	fisher	2	N0.HOG0000155;N0.HOG0000814
GO:0000786	nucleosome	12	1	0.01	100	0.0137	0.0137	1	1	1	1	1	1	1	0.0137	CC	weight01	fisher	1	N0.HOG0000155
GO:0006521	regulation of amino acid metabolic process	13	1	0.01	100	0.0144	0.0144	1	1	1	1	1	1	1	0.0144	BP	weight01	fisher	1	N0.HOG0000504
GO:0006089	lactate metabolic process	13	1	0.01	100	0.0144	0.0144	1	1	1	1	1	1	1	0.0144	BP	weight01	fisher	1	N0.HOG0000114
GO:1902255	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator	13	1	0.01	100	0.0144	0.0144	1	1	1	1	1	1	1	0.0144	BP	weight01	fisher	1	N0.HOG0000042
GO:0042975	peroxisome proliferator activated receptor binding	12	1	0.02	50	0.0151	0.0151	1	1	1	1	1	1	1	0.0151	MF	weight01	fisher	1	N0.HOG0000042
GO:0030224	monocyte differentiation	17	1	0.02	50	0.0188	0.0188	1	1	1	1	1	1	1	0.0188	BP	weight01	fisher	1	N0.HOG0000114
GO:0098556	cytoplasmic side of rough endoplasmic reticulum membrane	17	1	0.02	50	0.0193	0.0193	1	1	1	1	1	1	1	0.0193	CC	weight01	fisher	1	N0.HOG0000042
GO:0090312	positive regulation of protein deacetylation	18	1	0.02	50	0.0199	0.0199	1	1	1	1	1	1	1	0.0199	BP	weight01	fisher	1	N0.HOG0000814
GO:0008097	5S rRNA binding	16	1	0.02	50	0.0201	0.0201	1	1	1	1	1	1	1	0.0201	MF	weight01	fisher	1	N0.HOG0000042
GO:0043616	keratinocyte proliferation	21	1	0.02	50	0.0232	0.0232	1	1	1	1	1	1	1	0.0232	BP	weight01	fisher	1	N0.HOG0000814
GO:0046949	fatty-acyl-CoA biosynthetic process	22	1	0.02	50	0.0243	0.0243	1	1	1	1	1	1	1	0.0243	BP	weight01	fisher	1	N0.HOG0000114
GO:0071353	cellular response to interleukin-4	22	1	0.02	50	0.0243	0.0243	1	1	1	1	1	1	1	0.0243	BP	weight01	fisher	1	N0.HOG0000114
GO:0002803	positive regulation of antibacterial peptide production	22	1	0.02	50	0.0243	0.0243	1	1	1	1	1	1	1	0.0243	BP	weight01	fisher	1	N0.HOG0000108
GO:2000757	negative regulation of peptidyl-lysine acetylation	24	1	0.03	33.3333333333333	0.0265	0.0265	1	1	1	1	1	1	1	0.0265	BP	weight01	fisher	1	N0.HOG0000814
GO:0006084	acetyl-CoA metabolic process	25	1	0.03	33.3333333333333	0.0276	0.0276	1	1	1	1	1	1	1	0.0276	BP	weight01	fisher	1	N0.HOG0000114
GO:0004984	olfactory receptor activity	23	1	0.03	33.3333333333333	0.0288	0.0288	1	1	1	1	1	1	1	0.0288	MF	weight01	fisher	1	N0.HOG0000050
GO:0005549	odorant binding	25	1	0.03	33.3333333333333	0.0313	0.0313	1	1	1	1	1	1	1	0.0313	MF	weight01	fisher	1	N0.HOG0000050
GO:0019432	triglyceride biosynthetic process	30	1	0.03	33.3333333333333	0.0330	0.033	1	1	1	1	1	1	1	0.033	BP	weight01	fisher	1	N0.HOG0000114
GO:0000027	ribosomal large subunit assembly	32	1	0.04	25	0.0352	0.0352	1	1	1	1	1	1	1	0.0352	BP	weight01	fisher	1	N0.HOG0000042
GO:0033238	regulation of amine metabolic process	33	1	0.04	25	0.0363	0.0363	1	1	1	1	1	1	1	0.0363	BP	weight01	fisher	1	N0.HOG0000504
GO:0022617	extracellular matrix disassembly	33	1	0.04	25	0.0363	0.0363	1	1	1	1	1	1	1	0.0363	BP	weight01	fisher	1	N0.HOG0000108
GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	33	1	0.04	25	0.0363	0.0363	1	1	1	1	1	1	1	0.0363	BP	weight01	fisher	1	N0.HOG0000042
GO:0045540	regulation of cholesterol biosynthetic process	33	1	0.04	25	0.0363	0.0363	1	1	1	1	1	1	1	0.0363	BP	weight01	fisher	1	N0.HOG0000114
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	34	1	0.04	25	0.0374	0.0374	1	1	1	1	1	1	1	0.0374	BP	weight01	fisher	1	N0.HOG0000050
GO:0034030	ribonucleoside bisphosphate biosynthetic process	40	1	0.04	25	0.0438	0.0438	1	1	1	1	1	1	1	0.0438	BP	weight01	fisher	1	N0.HOG0000114
GO:0034033	purine nucleoside bisphosphate biosynthetic process	40	1	0.04	25	0.0438	0.0438	1	1	1	1	1	1	1	0.0438	BP	weight01	fisher	1	N0.HOG0000114
GO:0032590	dendrite membrane	41	1	0.05	20	0.0461	0.0461	1	1	1	1	1	1	1	0.0461	CC	weight01	fisher	1	N0.HOG0000050
GO:0006334	nucleosome assembly	44	1	0.05	20	0.0481	0.0481	1	1	1	1	1	1	1	0.0481	BP	weight01	fisher	1	N0.HOG0000155
