GO.ID	Term	ontology	HOG	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment
GO:0006637	acyl-CoA metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.0849919311457773	11.7658227848101
GO:0006638	neutral lipid metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.102205486820871	9.78421052631579
GO:0006639	acylglycerol metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.102205486820871	9.78421052631579
GO:0006641	triglyceride metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.0892953200645508	11.1987951807229
GO:0006643	membrane lipid metabolic process	BP	N0.HOG0000162	2	0.00695568	1	1	1	0.131253362022593	7.61885245901639
GO:0006662	glycerol ether metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.0118343195266272	84.5
GO:0006665	sphingolipid metabolic process	BP	N0.HOG0000162	2	0.00695568	1	1	1	0.0796126949973104	12.5608108108108
GO:0006694	steroid biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.131253362022593	7.61885245901639
GO:0006695	cholesterol biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.0527165142549758	18.969387755102
GO:0006720	isoprenoid metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	1	0.0688542227003765	14.5234375
GO:0006721	terpenoid metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	1	0.0494889725658956	20.2065217391304
GO:0006753	nucleoside phosphate metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.523937600860678	1.90862422997947
GO:0006790	sulfur compound metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.266810112963959	3.74798387096774
GO:0006793	phosphorus metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	1.83969876277569	0.543567251461988
GO:0006796	phosphate-containing compound metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	1.8375470683163	0.5442037470726
GO:0006810	transport	BP	N0.HOG0000042	3	0.00101874	1	1	2	2.81118881118881	0.711442786069652
GO:0006810	transport	BP	N0.HOG0000155	2	0.00304223	1	1	2	2.81118881118881	0.711442786069652
GO:0006897	endocytosis	BP	N0.HOG0000155	2	0.00304223	1	1	1	0.484131253362023	2.06555555555556
GO:0006898	receptor-mediated endocytosis	BP	N0.HOG0000155	2	0.00304223	1	1	1	0.167832167832168	5.95833333333333
GO:0006915	apoptotic process	BP	N0.HOG0000042	3	0.00101874	1	1	1	1.13394298009683	0.881878557874763
GO:0006950	response to stress	BP	N0.HOG0000108	8	0.000943866	1	1	2	2.40559440559441	0.831395348837209
GO:0006950	response to stress	BP	N0.HOG0000814	2	0.00304223	1	1	2	2.40559440559441	0.831395348837209
GO:0006952	defense response	BP	N0.HOG0000108	8	0.000943866	1	1	1	0.790747713824637	1.26462585034014
GO:0006955	immune response	BP	N0.HOG0000108	8	0.000943866	1	1	1	0.849919311457773	1.17658227848101
GO:0006959	humoral immune response	BP	N0.HOG0000108	8	0.000943866	1	1	1	0.150618612157074	6.63928571428572
GO:0006996	organelle organization	BP	N0.HOG0000042	3	0.00101874	1	1	3	2.86605701990317	1.04673423423423
GO:0006996	organelle organization	BP	N0.HOG0000155	2	0.00304223	1	1	3	2.86605701990317	1.04673423423423
GO:0006996	organelle organization	BP	N0.HOG0000814	2	0.00304223	1	1	3	2.86605701990317	1.04673423423423
GO:0007154	cell communication	BP	N0.HOG0000042	3	0.00101874	1	1	2	3.15976331360947	0.632958801498127
GO:0007154	cell communication	BP	N0.HOG0000050	11	0.000801973	1	1	2	3.15976331360947	0.632958801498127
GO:0007275	multicellular organism development	BP	N0.HOG0000114	6	2.43212e-08	1	1	2	3.93760086067778	0.50792349726776
GO:0007275	multicellular organism development	BP	N0.HOG0000504	3	8.39423e-05	1	1	2	3.93760086067778	0.50792349726776
GO:0007276	gamete generation	BP	N0.HOG0000155	2	0.00304223	1	1	1	1.31038192576654	0.763136288998358
GO:0007600	sensory perception	BP	N0.HOG0000050	11	0.000801973	1	1	1	0.511027434104357	1.95684210526316
GO:0007606	sensory perception of chemical stimulus	BP	N0.HOG0000050	11	0.000801973	1	1	1	0.148466917697687	6.73550724637681
GO:0007608	sensory perception of smell	BP	N0.HOG0000050	11	0.000801973	1	1	1	0.0946745562130178	10.5625
GO:0007610	behavior	BP	N0.HOG0000050	11	0.000801973	1	1	1	1.14900484131253	0.870318352059925
GO:0007635	chemosensory behavior	BP	N0.HOG0000050	11	0.000801973	1	1	1	0.173211403980635	5.77329192546584
GO:0008104	protein localization	BP	N0.HOG0000042	3	0.00101874	1	1	1	1.74179666487359	0.574119827053737
GO:0008150	biological_process	BP	N0.HOG0000042	3	0.00101874	1	1	8	7.70629370629371	1.03811252268603
GO:0008150	biological_process	BP	N0.HOG0000050	11	0.000801973	1	1	8	7.70629370629371	1.03811252268603
GO:0008150	biological_process	BP	N0.HOG0000108	8	0.000943866	1	1	8	7.70629370629371	1.03811252268603
GO:0008150	biological_process	BP	N0.HOG0000114	6	2.43212e-08	1	1	8	7.70629370629371	1.03811252268603
GO:0008150	biological_process	BP	N0.HOG0000155	2	0.00304223	1	1	8	7.70629370629371	1.03811252268603
GO:0008150	biological_process	BP	N0.HOG0000162	2	0.00695568	1	1	8	7.70629370629371	1.03811252268603
GO:0008150	biological_process	BP	N0.HOG0000504	3	8.39423e-05	1	1	8	7.70629370629371	1.03811252268603
GO:0008150	biological_process	BP	N0.HOG0000814	2	0.00304223	1	1	8	7.70629370629371	1.03811252268603
GO:0008152	metabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	7	5.87842926304465	1.19079428989751
GO:0008152	metabolic process	BP	N0.HOG0000108	8	0.000943866	1	1	7	5.87842926304465	1.19079428989751
GO:0008152	metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	7	5.87842926304465	1.19079428989751
GO:0008152	metabolic process	BP	N0.HOG0000155	2	0.00304223	1	1	7	5.87842926304465	1.19079428989751
GO:0008152	metabolic process	BP	N0.HOG0000162	2	0.00695568	1	1	7	5.87842926304465	1.19079428989751
GO:0008152	metabolic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	7	5.87842926304465	1.19079428989751
GO:0008152	metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	7	5.87842926304465	1.19079428989751
GO:0008202	steroid metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.177514792899408	5.63333333333333
GO:0008203	cholesterol metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.078536847767617	12.7328767123288
GO:0008219	cell death	BP	N0.HOG0000042	3	0.00101874	1	1	1	1.24367939752555	0.804065743944637
GO:0008283	cell population proliferation	BP	N0.HOG0000504	3	8.39423e-05	1	1	2	1.3006993006993	1.53763440860215
GO:0008283	cell population proliferation	BP	N0.HOG0000814	2	0.00304223	1	1	2	1.3006993006993	1.53763440860215
