species	term	gene
pd	map05162	LOC107063798
pd	map05164	LOC107063798
pd	map05168	LOC107063798
pd	map05169	LOC107063798
pd	map04721	LOC107063801
pd	map00220	LOC107063807
pd	map00250	LOC107063807
pd	map00270	LOC107063807
pd	map00330	LOC107063807
pd	map00350	LOC107063807
pd	map00360	LOC107063807
pd	map00400	LOC107063807
pd	map00710	LOC107063807
pd	map00950	LOC107063807
pd	map00960	LOC107063807
pd	map01100	LOC107063807
pd	map01110	LOC107063807
pd	map01120	LOC107063807
pd	map01130	LOC107063807
pd	map01200	LOC107063807
pd	map01210	LOC107063807
pd	map01230	LOC107063807
pd	map04975	LOC107063807
pd	map05016	LOC107063815
pd	map03010	LOC107063816
pd	map05231	LOC107063820
pd	map04150	LOC107063826
pd	map04310	LOC107063826
pd	map04390	LOC107063826
pd	map04550	LOC107063826
pd	map04916	LOC107063826
pd	map04934	LOC107063826
pd	map05165	LOC107063826
pd	map05166	LOC107063826
pd	map05200	LOC107063826
pd	map05205	LOC107063826
pd	map05217	LOC107063826
pd	map05224	LOC107063826
pd	map05225	LOC107063826
pd	map05226	LOC107063826
pd	map04624	LOC107063828
pd	map04624	LOC107063829
pd	map04146	LOC107063837
pd	map00010	LOC107063845
pd	map00020	LOC107063845
pd	map00620	LOC107063845
pd	map01100	LOC107063845
pd	map01110	LOC107063845
pd	map01120	LOC107063845
pd	map01130	LOC107063845
pd	map01200	LOC107063845
pd	map04066	LOC107063845
pd	map04922	LOC107063845
pd	map05230	LOC107063845
pd	map03008	LOC107063853
pd	map04146	LOC107063857
pd	map04141	LOC107063858
pd	map04144	LOC107063866
pd	map04152	LOC107063866
pd	map04961	LOC107063866
pd	map04962	LOC107063866
pd	map04972	LOC107063866
pd	map03022	LOC107063867
pd	map00240	LOC107063869
pd	map00410	LOC107063869
pd	map00770	LOC107063869
pd	map00983	LOC107063869
pd	map01100	LOC107063869
pd	map00230	LOC107063871
pd	map01100	LOC107063871
pd	map01120	LOC107063871
pd	map04015	LOC107063871
pd	map04371	LOC107063871
pd	map04390	LOC107063871
pd	map04514	LOC107063871
pd	map04520	LOC107063871
pd	map05100	LOC107063871
pd	map05130	LOC107063871
pd	map05200	LOC107063871
pd	map05213	LOC107063871
pd	map05216	LOC107063871
pd	map05218	LOC107063871
pd	map05219	LOC107063871
pd	map05226	LOC107063871
pd	map00190	LOC107063873
pd	map01100	LOC107063873
pd	map04714	LOC107063873
pd	map04723	LOC107063873
pd	map04932	LOC107063873
pd	map05010	LOC107063873
pd	map05012	LOC107063873
pd	map05016	LOC107063873
pd	map04114	LOC107063880
pd	map03050	LOC107063881
pd	map05169	LOC107063881
pd	map04110	LOC107063887
pd	map04111	LOC107063887
pd	map04114	LOC107063887
pd	map04120	LOC107063887
pd	map04141	LOC107063887
pd	map04310	LOC107063887
pd	map04340	LOC107063887
pd	map04341	LOC107063887
pd	map04350	LOC107063887
pd	map04710	LOC107063887
pd	map05168	LOC107063887
pd	map05200	LOC107063887
pd	map04138	LOC107063889
pd	map04530	LOC107063889
pd	map00100	LOC107063891
pd	map00561	LOC107063891
pd	map01100	LOC107063891
pd	map04514	LOC107063891
pd	map04972	LOC107063891
pd	map04975	LOC107063891
pd	map01522	LOC107063899
pd	map04010	LOC107063899
pd	map04014	LOC107063899
pd	map04020	LOC107063899
pd	map04024	LOC107063899
pd	map04062	LOC107063899
pd	map04113	LOC107063899
pd	map04114	LOC107063899
pd	map04138	LOC107063899
pd	map04140	LOC107063899
pd	map04211	LOC107063899
pd	map04213	LOC107063899
pd	map04261	LOC107063899
pd	map04270	LOC107063899
pd	map04310	LOC107063899
pd	map04340	LOC107063899
pd	map04341	LOC107063899
pd	map04371	LOC107063899
pd	map04530	LOC107063899
pd	map04540	LOC107063899
pd	map04611	LOC107063899
pd	map04713	LOC107063899
pd	map04714	LOC107063899
pd	map04720	LOC107063899
pd	map04723	LOC107063899
pd	map04724	LOC107063899
pd	map04725	LOC107063899
pd	map04726	LOC107063899
pd	map04727	LOC107063899
pd	map04728	LOC107063899
pd	map04740	LOC107063899
pd	map04742	LOC107063899
pd	map04750	LOC107063899
pd	map04910	LOC107063899
pd	map04911	LOC107063899
pd	map04912	LOC107063899
pd	map04913	LOC107063899
pd	map04914	LOC107063899
pd	map04915	LOC107063899
pd	map04916	LOC107063899
pd	map04918	LOC107063899
pd	map04919	LOC107063899
pd	map04921	LOC107063899
pd	map04922	LOC107063899
pd	map04923	LOC107063899
pd	map04924	LOC107063899
pd	map04925	LOC107063899
pd	map04926	LOC107063899
pd	map04927	LOC107063899
pd	map04934	LOC107063899
pd	map04961	LOC107063899
pd	map04962	LOC107063899
pd	map04970	LOC107063899
pd	map04971	LOC107063899
pd	map04976	LOC107063899
pd	map05012	LOC107063899
pd	map05020	LOC107063899
pd	map05030	LOC107063899
pd	map05031	LOC107063899
pd	map05032	LOC107063899
pd	map05110	LOC107063899
pd	map05146	LOC107063899
pd	map05165	LOC107063899
pd	map05166	LOC107063899
pd	map05169	LOC107063899
pd	map05200	LOC107063899
pd	map05203	LOC107063899
pd	map05205	LOC107063899
pd	map05414	LOC107063899
pd	map00030	LOC107063901
pd	map00260	LOC107063901
pd	map01100	LOC107063901
pd	map01110	LOC107063901
pd	map01130	LOC107063901
pd	map00030	LOC107063902
pd	map00260	LOC107063902
pd	map01100	LOC107063902
pd	map01110	LOC107063902
pd	map01130	LOC107063902
pd	map04142	LOC107063903
pd	map04979	LOC107063903
pd	map03013	LOC107063905
pd	map04110	LOC107063907
pd	map04111	LOC107063907
pd	map04113	LOC107063907
pd	map04114	LOC107063907
pd	map00051	LOC107063908
pd	map00520	LOC107063908
pd	map01100	LOC107063908
pd	map01110	LOC107063908
pd	map04120	LOC107063909
pd	map05012	LOC107063909
pd	map04120	LOC107063910
pd	map04340	LOC107063910
pd	map04341	LOC107063910
pd	map04020	LOC107063911
pd	map04080	LOC107063911
pd	map04725	LOC107063911
pd	map05033	LOC107063911
pd	map05204	LOC107063911
pd	map04614	LOC107063913
pd	map04974	LOC107063914
pd	map01040	LOC107063915
pd	map01212	LOC107063915
pd	map03320	LOC107063915
pd	map04152	LOC107063915
pd	map04212	LOC107063915
pd	map01040	LOC107063916
pd	map01212	LOC107063916
pd	map03320	LOC107063916
pd	map04152	LOC107063916
pd	map04212	LOC107063916
pd	map00020	LOC107063923
pd	map00620	LOC107063923
pd	map00720	LOC107063923
pd	map01100	LOC107063923
pd	map01120	LOC107063923
pd	map01200	LOC107063923
pd	map01230	LOC107063923
pd	map03040	LOC107063927
pd	map03022	LOC107063929
pd	map03420	LOC107063929
pd	map01522	LOC107063933
pd	map04110	LOC107063933
pd	map04218	LOC107063933
pd	map04934	LOC107063933
pd	map05161	LOC107063933
pd	map05166	LOC107063933
pd	map05167	LOC107063933
pd	map05200	LOC107063933
pd	map05206	LOC107063933
pd	map05212	LOC107063933
pd	map05214	LOC107063933
pd	map05215	LOC107063933
pd	map05218	LOC107063933
pd	map05219	LOC107063933
pd	map05220	LOC107063933
pd	map05222	LOC107063933
pd	map05223	LOC107063933
pd	map05224	LOC107063933
pd	map05225	LOC107063933
pd	map05226	LOC107063933
pd	map00120	LOC107063934
pd	map01100	LOC107063934
pd	map03320	LOC107063934
pd	map04979	LOC107063934
pd	map04072	LOC107063935
pd	map04140	LOC107063935
pd	map04150	LOC107063935
pd	map04151	LOC107063935
