term	gene
map04913	N13.HOG0001212
map00981	N13.HOG0001213
map00140	N13.HOG0001214
map00590	N13.HOG0001214
map00591	N13.HOG0001214
map00981	N13.HOG0001214
map01100	N13.HOG0001214
map04212	N13.HOG0001214
map04726	N13.HOG0001214
map04750	N13.HOG0001214
map04913	N13.HOG0001214
map00140	N13.HOG0001215
map00590	N13.HOG0001215
map00591	N13.HOG0001215
map00981	N13.HOG0001215
map01100	N13.HOG0001215
map04212	N13.HOG0001215
map04726	N13.HOG0001215
map04750	N13.HOG0001215
map04913	N13.HOG0001215
map04624	N13.HOG0001228
map03040	N13.HOG0001289
map05202	N13.HOG0001289
map05205	N13.HOG0001289
map03040	N13.HOG0001290
map05202	N13.HOG0001290
map05205	N13.HOG0001290
map03040	N13.HOG0001291
map05202	N13.HOG0001291
map05205	N13.HOG0001291
map03040	N13.HOG0001292
map05202	N13.HOG0001292
map05205	N13.HOG0001292
map03040	N13.HOG0001293
map05202	N13.HOG0001293
map05205	N13.HOG0001293
map05034	N13.HOG0001300
map05203	N13.HOG0001300
map05322	N13.HOG0001300
map04024	N13.HOG0001331
map00970	N13.HOG0001332
map04974	N13.HOG0001361
map04974	N13.HOG0001362
map04972	N13.HOG0001373
map04974	N13.HOG0001373
map04972	N13.HOG0001374
map04974	N13.HOG0001374
map01524	N13.HOG0001390
map04064	N13.HOG0001390
map04120	N13.HOG0001390
map04210	N13.HOG0001390
map04214	N13.HOG0001390
map04215	N13.HOG0001390
map04217	N13.HOG0001390
map04510	N13.HOG0001390
map04621	N13.HOG0001390
map04624	N13.HOG0001390
map04668	N13.HOG0001390
map05145	N13.HOG0001390
map05166	N13.HOG0001390
map05200	N13.HOG0001390
map05222	N13.HOG0001390
map01524	N13.HOG0001392
map04064	N13.HOG0001392
map04120	N13.HOG0001392
map04210	N13.HOG0001392
map04214	N13.HOG0001392
map04215	N13.HOG0001392
map04217	N13.HOG0001392
map04510	N13.HOG0001392
map04621	N13.HOG0001392
map05145	N13.HOG0001392
map05166	N13.HOG0001392
map05200	N13.HOG0001392
map05222	N13.HOG0001392
map01524	N13.HOG0001393
map04064	N13.HOG0001393
map04120	N13.HOG0001393
map04210	N13.HOG0001393
map04214	N13.HOG0001393
map04215	N13.HOG0001393
map04217	N13.HOG0001393
map04510	N13.HOG0001393
map04621	N13.HOG0001393
map05145	N13.HOG0001393
map05166	N13.HOG0001393
map05200	N13.HOG0001393
map05222	N13.HOG0001393
map04145	N13.HOG0001395
map04210	N13.HOG0001395
map04530	N13.HOG0001395
map04540	N13.HOG0001395
map05130	N13.HOG0001395
map04145	N13.HOG0001397
map04210	N13.HOG0001397
map04530	N13.HOG0001397
map04540	N13.HOG0001397
map05130	N13.HOG0001397
map04145	N13.HOG0001399
map04210	N13.HOG0001399
map04530	N13.HOG0001399
map04540	N13.HOG0001399
map05130	N13.HOG0001399
