XM_015315959.1	LOC107063836	LOC107063836
XM_015317621.1	LOC107064665	LOC107064665
XM_015317606.1	LOC107064659	LOC107064659
XM_015317592.1	LOC107064654	LOC107064654
XM_015334558.1	LOC107073823	LOC107073823
XM_015334609.1	LOC107073831	LOC107073831
XM_015334600.1	LOC107073831	LOC107073831
XM_015334618.1	LOC107073831	LOC107073831
XM_015334571.1	LOC107073831	LOC107073831
XM_015334590.1	LOC107073831	LOC107073831
XM_015334579.1	LOC107073831	LOC107073831
XR_001476825.1	LOC107073856	LOC107073856
XR_001476823.1	LOC107073851	LOC107073851
XM_015321077.1	LOC107066223	LOC107066223
XM_015322329.1	LOC107066885	LOC107066885
XM_015315539.1	LOC107063629	LOC107063629
XM_015315562.1	LOC107063640	LOC107063640
XM_015315551.1	LOC107063640	LOC107063640
XM_015315588.1	LOC107063640	LOC107063640
XM_015315581.1	LOC107063640	LOC107063640
XM_015315571.1	LOC107063640	LOC107063640
XM_015317635.1	LOC107064670	LOC107064670
XM_015317648.1	LOC107064676	LOC107064676
XM_015319382.1	LOC107065538	LOC107065538
XM_015315692.1	LOC107063699	LOC107063699
XM_015315704.1	LOC107063708	LOC107063708
XM_015315717.1	LOC107063714	LOC107063714
XM_015318893.1	LOC107065307	LOC107065307
XM_015318326.1	LOC107065035	LOC107065035
XM_015318344.1	LOC107065035	LOC107065035
XM_015318334.1	LOC107065035	LOC107065035
XM_015317200.1	LOC107064488	LOC107064488
XM_015317192.1	LOC107064488	LOC107064488
XM_015317215.1	LOC107064494	LOC107064494
XM_015317251.1	LOC107064503	LOC107064503
XM_015317243.1	LOC107064503	LOC107064503
XM_015317229.1	LOC107064498	LOC107064498
XM_015317712.1	LOC107064691	LOC107064691
XM_015318107.1	LOC107064911	LOC107064911
XM_015317505.1	LOC107064622	LOC107064622
XM_015317514.1	LOC107064622	LOC107064622
XM_015317524.1	LOC107064622	LOC107064622
XM_015317532.1	LOC107064622	LOC107064622
XM_015317543.1	LOC107064642	LOC107064642
XM_015317580.1	LOC107064649	LOC107064649
XM_015317569.1	LOC107064649	LOC107064649
XM_015317558.1	LOC107064649	LOC107064649
XM_015335563.1	LOC107074287	LOC107074287
