Node	HOG	change	pvalue	direction	significant
Anoplius_nigerrimus	N0.HOG0000038	1	0.25	expansion	FALSE
Anoplius_nigerrimus	N0.HOG0000009	1	0.285156	expansion	FALSE
Anoplius_nigerrimus	N0.HOG0000128	2	0.313751	expansion	FALSE
Anoplius_nigerrimus	N0.HOG0000056	-3	0.488281	contraction	FALSE
Anoplius_nigerrimus	N0.HOG0000060	-3	0.586426	contraction	FALSE
Anoplius_nigerrimus	N0.HOG0000105	-2	0.71875	contraction	FALSE
Anoplius_nigerrimus	N0.HOG0000108	-2	0.71875	contraction	FALSE
Anoplius_nigerrimus	N0.HOG0000032	-2	0.81543	contraction	FALSE
Anoplius_nigerrimus	N0.HOG0000003	-1	0.938477	contraction	FALSE
Dolichovespula_media	N0.HOG0000038	-3	0.00586088	contraction	TRUE
Dolichovespula_media	N0.HOG0000307	2	0.011521	expansion	TRUE
Dolichovespula_media	N0.HOG0000032	5	0.0154024	expansion	TRUE
Dolichovespula_media	N0.HOG0000060	-5	0.0225484	contraction	TRUE
Dolichovespula_media	N0.HOG0000101	4	0.0312566	expansion	TRUE
Dolichovespula_media	N0.HOG0000004	5	0.100773	expansion	FALSE
Dolichovespula_media	N0.HOG0000128	2	0.128967	expansion	FALSE
Dolichovespula_media	N0.HOG0000105	2	0.156048	expansion	FALSE
Dolichovespula_media	N0.HOG0000018	-1	0.20683	contraction	FALSE
Dolichovespula_media	N0.HOG0000022	2	0.206996	expansion	FALSE
Dolichovespula_media	N0.HOG0000003	2	0.272981	expansion	FALSE
Dolichovespula_media	N0.HOG0000050	3	0.276583	expansion	FALSE
Dolichovespula_media	N0.HOG0000001	-1	0.342971	contraction	FALSE
Dolichovespula_media	N0.HOG0000049	1	0.596077	expansion	FALSE
Dolichovespula_media	N0.HOG0000056	-1	0.645596	contraction	FALSE
Dolichovespula_media	N0.HOG0000158	-1	0.686456	contraction	FALSE
Dolichovespula_media	N0.HOG0000108	-1	0.732862	contraction	FALSE
Dolichovespula_saxonica	N0.HOG0000129	2		expansion	FALSE
Dolichovespula_saxonica	N0.HOG0000049	7	0.00200298	expansion	TRUE
Dolichovespula_saxonica	N0.HOG0000022	5	0.00430057	expansion	TRUE
Dolichovespula_saxonica	N0.HOG0000009	-2	0.0460198	contraction	TRUE
Dolichovespula_saxonica	N0.HOG0000004	5	0.0563482	expansion	FALSE
Dolichovespula_saxonica	N0.HOG0000047	1	0.0577101	expansion	FALSE
Dolichovespula_saxonica	N0.HOG0000060	4	0.0629075	expansion	FALSE
Dolichovespula_saxonica	N0.HOG0000038	2	0.0632091	expansion	FALSE
Dolichovespula_saxonica	N0.HOG0000108	-3	0.15304	contraction	FALSE
Dolichovespula_saxonica	N0.HOG0000018	-1	0.16184	contraction	FALSE
Dolichovespula_saxonica	N0.HOG0000307	-1	0.16184	contraction	FALSE
Dolichovespula_saxonica	N0.HOG0000105	-2	0.165005	contraction	FALSE
Dolichovespula_saxonica	N0.HOG0000128	-2	0.165005	contraction	FALSE
Dolichovespula_saxonica	N0.HOG0000056	1	0.373719	expansion	FALSE
Dolichovespula_saxonica	N0.HOG0000101	-1	0.485652	contraction	FALSE
Dolichovespula_saxonica	N0.HOG0000050	-1	0.757042	contraction	FALSE
Dolichovespula_sylvestris	N0.HOG0000129	1		expansion	FALSE
Dolichovespula_sylvestris	N0.HOG0000049	-11	9.20241e-08	contraction	TRUE
Dolichovespula_sylvestris	N0.HOG0000022	-7	6.68802e-06	contraction	TRUE
Dolichovespula_sylvestris	N0.HOG0000118	5	0.000151799	expansion	TRUE
Dolichovespula_sylvestris	N0.HOG0000101	-4	0.000586831	contraction	TRUE
Dolichovespula_sylvestris	N0.HOG0000017	6	0.000910577	expansion	TRUE
Dolichovespula_sylvestris	N0.HOG0000018	2	0.00675339	expansion	TRUE
Dolichovespula_sylvestris	N0.HOG0000032	-4	0.00684181	contraction	TRUE
Dolichovespula_sylvestris	N0.HOG0000096	-2	0.011445	contraction	TRUE
Dolichovespula_sylvestris	N0.HOG0000004	-6	0.0134376	contraction	TRUE
