Node	HOG	change	pvalue	direction
Dolichovespula_sylvestris	N0.HOG0000158	-3	0.0330779	contraction
Dolichovespula_sylvestris	N0.HOG0000056	-3	0.0336709	contraction
Dolichovespula_sylvestris	N0.HOG0000050	-5	0.0363122	contraction
Dolichovespula_sylvestris	N0.HOG0000128	3	0.0364644	expansion
Mischocyttarus_mexicanus	N0.HOG0000047	50	3.33818e-22	expansion
Mischocyttarus_mexicanus	N0.HOG0000128	37	3.01841e-16	expansion
Mischocyttarus_mexicanus	N0.HOG0000118	25	1.73035e-12	expansion
Mischocyttarus_mexicanus	N0.HOG0000307	19	8.66038e-11	expansion
Mischocyttarus_mexicanus	N0.HOG0000032	24	2.56347e-05	expansion
Mischocyttarus_mexicanus	N0.HOG0000022	15	7.64676e-05	expansion
Mischocyttarus_mexicanus	N0.HOG0000002	9	0.00191703	expansion
Mischocyttarus_mexicanus	N0.HOG0000951	9	0.00326416	expansion
Mischocyttarus_mexicanus	N0.HOG0000108	6	0.0135492	expansion
Mischocyttarus_mexicanus	N0.HOG0000017	-5	0.0226138	contraction
Mischocyttarus_mexicanus	N0.HOG0000038	5	0.0364005	expansion
Mischocyttarus_mexicanus	N0.HOG0000041	5	0.0364005	expansion
Polistes_canadensis	N0.HOG0000101	-13	1.73846e-09	contraction
Polistes_canadensis	N0.HOG0000158	-9	1.78955e-08	contraction
Polistes_canadensis	N0.HOG0000022	-8	8.64442e-08	contraction
Polistes_canadensis	N0.HOG0000041	-9	1.56665e-07	contraction
Polistes_canadensis	N0.HOG0000032	-14	2.27465e-07	contraction
Polistes_canadensis	N0.HOG0000047	-6	1.33788e-06	contraction
Polistes_canadensis	N0.HOG0000002	-6	1.68258e-05	contraction
Polistes_canadensis	N0.HOG0000018	-6	1.68258e-05	contraction
Polistes_canadensis	N0.HOG0000951	-7	2.34185e-05	contraction
Polistes_canadensis	N0.HOG0000128	-4	3.98773e-05	contraction
Polistes_canadensis	N0.HOG0002570	-5	4.8645e-05	contraction
Polistes_canadensis	N0.HOG0000017	-5	0.00186498	contraction
Polistes_canadensis	N0.HOG0000049	-4	0.00585572	contraction
Polistes_canadensis	N0.HOG0000038	-4	0.00974881	contraction
Polistes_canadensis	N0.HOG0000050	-3	0.0189719	contraction
Polistes_dominula	N0.HOG0000060	11	0.000686053	expansion
Polistes_dominula	N0.HOG0000017	-6	0.00110398	contraction
Polistes_dominula	N0.HOG0000041	-6	0.00110398	contraction
Polistes_dominula	N0.HOG0000096	-6	0.00293701	contraction
Polistes_dominula	N0.HOG0000122	6	0.00993387	expansion
Polistes_dominula	N0.HOG0000951	-5	0.0134466	contraction
Polistes_dominula	N0.HOG0000038	-4	0.022622	contraction
Polistes_dominula	N0.HOG0000001	5	0.0228469	expansion
Polistes_dominula	N0.HOG0000018	5	0.0228469	expansion
Polistes_dominula	N0.HOG0000128	-3	0.0238689	contraction
Polistes_dominula	N0.HOG0000002	-4	0.03164	contraction
Polistes_exclamans	N0.HOG0000951	35	8.22885e-28	expansion
Polistes_exclamans	N0.HOG0000047	26	1.38352e-23	expansion
Polistes_exclamans	N0.HOG0000041	28	5.95429e-22	expansion
Polistes_exclamans	N0.HOG0002570	19	9.9967e-17	expansion
Polistes_exclamans	N0.HOG0000038	21	5.30146e-16	expansion
Polistes_exclamans	N0.HOG0000128	14	1.58049e-13	expansion
Polistes_exclamans	N0.HOG0000022	17	1.60292e-13	expansion
Polistes_exclamans	N0.HOG0000032	17	9.20818e-08	expansion
Polistes_exclamans	N0.HOG0000158	11	1.72695e-07	expansion
Polistes_exclamans	N0.HOG0000096	-6	3.23473e-05	contraction
Polistes_exclamans	N0.HOG0000050	6	0.000178229	expansion
Polistes_exclamans	N0.HOG0000105	5	0.000744315	expansion
Polistes_exclamans	N0.HOG0000009	-4	0.00125265	contraction
Polistes_exclamans	N0.HOG0000017	5	0.00413879	expansion
Polistes_exclamans	N0.HOG0000060	-4	0.00766984	contraction
Polistes_exclamans	N0.HOG0000122	-3	0.0100946	contraction
Polistes_fuscatus	N0.HOG0000101	55	1.23585e-29	expansion
Polistes_fuscatus	N0.HOG0000096	42	7.31322e-28	expansion
Polistes_fuscatus	N0.HOG0000009	25	8.24222e-17	expansion
Polistes_fuscatus	N0.HOG0000122	26	1.18358e-16	expansion
Polistes_fuscatus	N0.HOG0000002	14	2.18452e-08	expansion
Polistes_fuscatus	N0.HOG0000001	12	2.48735e-07	expansion
Polistes_fuscatus	N0.HOG0000017	11	1.11331e-05	expansion
Polistes_fuscatus	N0.HOG0000056	11	0.000101563	expansion
Polistes_fuscatus	N0.HOG0000060	10	0.000150924	expansion
Polistes_fuscatus	N0.HOG0000047	-5	0.000233913	contraction
Polistes_fuscatus	N0.HOG0000022	-5	0.00461385	contraction
Polistes_fuscatus	N0.HOG0000003	5	0.0443098	expansion
Tiphia_femorata	N0.HOG0000049	23	0.000158805	expansion
Tiphia_femorata	N0.HOG0000003	-6	0.0395966	contraction
Vespa_crabro	N0.HOG0000158	-12	5.18554e-10	contraction
Vespa_crabro	N0.HOG0000105	-6	1.60431e-05	contraction
Vespa_crabro	N0.HOG0000101	5	0.000598164	expansion
Vespa_crabro	N0.HOG0000047	2	0.000689757	expansion
Vespa_crabro	N0.HOG0000050	-6	0.000709147	contraction
Vespa_crabro	N0.HOG0000056	-3	0.00371953	contraction
Vespa_crabro	N0.HOG0000096	-2	0.0183602	contraction
Vespa_crabro	N0.HOG0000032	-3	0.0193738	contraction
Vespa_mandarinia	N0.HOG0000041	13	1.2528e-13	expansion
Vespa_mandarinia	N0.HOG0000118	7	3.66341e-10	expansion
Vespa_mandarinia	N0.HOG0000018	3	2.56365e-05	expansion
Vespa_mandarinia	N0.HOG0000009	6	0.000526621	expansion
Vespa_mandarinia	N0.HOG0000038	5	0.00276375	expansion
Vespa_mandarinia	N0.HOG0000105	3	0.0257421	expansion
Vespa_velutina	N0.HOG0000158	23	3.12934e-14	expansion
Vespa_velutina	N0.HOG0000105	9	6.36838e-06	expansion
Vespa_velutina	N0.HOG0000108	6	0.000800916	expansion
Vespa_velutina	N0.HOG0000032	6	0.00151121	expansion
Vespa_velutina	N0.HOG0000038	-5	0.00158488	contraction
Vespa_velutina	N0.HOG0000118	-2	0.00272523	contraction
Vespa_velutina	N0.HOG0000050	7	0.00348811	expansion
Vespa_velutina	N0.HOG0000041	-2	0.0284459	contraction
Vespa_velutina	N0.HOG0000056	3	0.0315248	expansion
Vespula_germanica	N0.HOG0000158	9	0.00189865	expansion
Vespula_germanica	N0.HOG0000022	5	0.00777818	expansion
Vespula_germanica	N0.HOG0000105	-4	0.01231	contraction
Vespula_germanica	N0.HOG0000049	6	0.0271902	expansion
Vespula_pensylvanica	N0.HOG0000022	-7	2.19467e-09	contraction
Vespula_pensylvanica	N0.HOG0000101	-3	0.000508172	contraction
Vespula_pensylvanica	N0.HOG0000049	-4	0.00361397	contraction
Vespula_pensylvanica	N0.HOG0000158	-3	0.0159624	contraction
Vespula_vulgaris	N0.HOG0000022	3	0.00492058	expansion
Vespula_vulgaris	N0.HOG0000049	3	0.0427519	expansion
