tx	gene_id	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
XM_051013986.1	LOC127073012	55.126985	33.507161	21.861565	38.559121	202.108535	226.484829	0.457678	0.342625	0.058968	0	44.722038	15.448815	55.640509	137.245494	75.859691	0.221064	0.252163	0.103526	0	32.991775	14.850146	65.285968	25.718486	217.20925	146.400759	591.009902	139.05855	3.796493	0.198121	0	0.051778	159.757296	16.845018	13.539592	11.204917	34.924695	27.779502	156.551647	78.268695	0.111004	1.427016	0	0	7.375763	33.481472	51.196077	39.175913	62.1563	52.811628	46.990484	187.05549	8.925906	0.059822	0.113559	16.86351	12.412876	112.99823	279.5566	64.50791	52.675044	44.077854	112.779698	0.357306	0.053823	0	0
XM_051013987.1	LOC127073013	3323.484878	2597.775842	1319.173456	612.734956	970.985755	943.170994	1985.481398	1908.378471	46.916376	111.884656	1705.937699	3300.088636	883.657408	1109.494813	1052.911437	3264.91177	3393.338783	77.690375	49.159863	1320.804367	2456.726585	1585.669777	3312.424004	938.163861	1072.34069	654.951713	1655.110076	2161.178471	4029.244473	26.321956	72.720239	2009.505352	2284.827631	843.016635	1005.504029	1941.665393	1469.737827	1670.51886	1069.581508	2271.358839	1628.005359	38.825751	57.816712	977.561036	2510.598742	2411.273862	1332.53254	2003.682889	2954.906326	2813.112201	3546.76213	3326.120932	112.171974	45.85793	1059.145535	1156.802738	1788.46632	2249.118201	1304.478705	1597.686711	879.505854	834.784356	1965.814872	2628.995577	43.574049	41.820232
XM_051013982.1	LOC127073009	4.400425	1.115257	1.858412	1.326463	0.329542	0.831106	1.273266	4.303017	0	0.225626	3.132581	1.449365	0.274989	1.2172	0.401582	9.837181	35.097656	0	0	5.964744	5.816464	1.082925	1.269424	0.141893	1.077133	0.182482	1.864609	3.02444	15.493749	0	0	0.915324	3.900607	1.193386	1.478295	0.391206	0.616813	7.710555	6.482884	10.227726	4.253784	0	0	2.715001	4.344578	2.424751	0.281048	1.06496	2.868112	18.505815	9.087821	19.993883	0	0	2.440999	3.0253	0.864848	1.710577	1.481242	3.529127	18.796296	9.322328	6.678863	12.013311	0	0
XM_051013916.1	LOC127072984	0.019203	0.00259	0.014525	0.009649	0.010626	0.024153	0.013272	0.050646	0.02013	0	0.002302	0.012819	0	0.004352	0.016249	0.054705	0.029771	0.003503	0.015494	0.010112	0.015024	0.006811	0.013903	0.00221	0.006651	0.029786	0.031222	0.031975	0.065256	0.018856	0.010579	0	0.016605	0.004717	0.019935	0.004497	0.019917	0.053418	0.181409	0.052537	0.980815	0.010704	0.004154	0.009558	0	0.019033	0.004304	0.018729	0.027259	0.043851	0.019568	0.050919	0.02403	0.011486	0.011691	0.004738	0.015856	0.013296	0.020774	0.066487	0.07213	0.054273	0.047848	0.032216	0.023452	0.036741
XM_051013921.1	LOC127072986	0.233774	0	0.081304	0.119503	0.280196	0.539895	2.879942	2.486249	0.495932	0.366397	0	0.051902	0.032291	0	0.748648	2.867626	2.787579	0.235858	0.288139	0.057071	0.132733	0	0.134032	0.061929	0	0.219553	1.592026	2.019018	1.465852	0.737562	0.235597	0.051645	0	0.062994	0	0	0.45168	1.158201	0.709711	1.721289	1.436227	0.785155	0.341564	0	0	0.306211	0.145977	0.369812	0.407356	0.508636	0.400029	1.484044	0.244199	0.709145	0	0.208306	0.214766	0.11017	0.236881	0.303529	0.821392	0.172126	1.371644	1.33219	0.388043	0.360741
XM_051013920.1	LOC127072986	0.747376	0.178044	1.153834	1.718082	4.629884	5.4436	7.890702	6.988353	4.362411	2.10556	1.710539	1.27801	2.024153	1.977073	5.927195	9.471168	8.130067	4.240681	3.59873	1.624407	1.680162	2.820503	2.036231	3.361892	3.083777	3.135122	5.290055	5.576549	4.854622	7.206236	2.610455	1.339624	0.557904	0.794445	1.110845	0.880416	2.27687	5.649883	3.819349	6.312916	4.501832	3.615345	1.786337	1.12419	1.077461	3.637406	1.80654	3.369216	4.565415	3.625974	4.818368	6.157362	4.373903	4.559993	1.43463	0.645322	2.257093	3.960181	4.908975	3.211043	2.528624	2.270958	1.841058	1.986575	6.425349	4.955517
XM_051013919.1	LOC127072986	0.432559	1.162005	1.200539	1.064998	2.957459	3.118048	5.180882	6.247678	10.959895	13.219949	0.573711	1.002679	0.971309	1.54077	4.380471	8.57995	7.414196	9.853934	7.964374	0.94182	0.622514	0.964977	1.679738	0.818836	1.575555	3.55741	6.155059	7.067548	7.839237	12.286936	8.173591	0.166688	0.625419	0.738642	0.70015	0.941343	2.513501	3.890749	6.032442	6.662395	5.903423	11.211528	8.216525	1.306704	0.764825	2.758112	1.391943	3.099014	3.28585	5.666629	3.655609	6.581708	15.783234	13.982032	1.180482	1.787597	2.487396	3.320898	4.935706	4.077382	7.282207	6.789214	8.290625	7.178232	13.271905	17.693538
XM_051013918.1	LOC127072986	0	0	0	0	0.4284	0	0	0	0	1.714472	0.075055	0	0.341637	0.069455	0	0	0	1.054527	0.772946	0.201707	0	0	0	0	0.061123	0.228041	0	0	0	1.779856	0.942094	0	0.117461	0	0.514619	0	0.433487	0	0	0	0	0	1.314977	0	0	0	0	0.732354	0.70059	0.944757	2.411291	0	2.694223	2.623748	0.473244	0	0	0.53353	0.694896	1.517799	0.809638	1.607658	1.81934	0	1.303066	2.326359
XR_007785643.1	LOC127073015	0.195192	0.276855	0.156938	0.017609	0.211868	0.116681	0.687291	0.498643	1.306755	2.096929	0.016509	0.10926	0.031829	0.089499	0.235362	0.178787	0.152862	1.260008	0.81132	0.054439	0.089445	0.065516	0.083756	0.048225	0.12825	0.237048	0.375345	0.51766	0.397579	0.87454	0.606312	0.179585	0.221042	0.10133	0.071823	0.016751	0.108178	0.242029	0.380959	0.970963	0.493752	3.314263	0.902153	0.291027	0.209843	0.123497	0.10974	0.085995	0.089096	0.091356	0.400046	0.555133	1.15754	1.077769	0.236835	0.154002	0.06587	0.232072	0.188752	0.135996	0.275662	0.371115	0.634829	0.735175	1.609253	1.210045
XM_051013974.1	LOC127073003	0.694874	0.995265	2.066952	5.371484	0.399444	0.873728	1.073288	2.256509	29.347101	23.646147	3.037348	0.502567	1.136998	0.933161	0.488012	1.275258	1.160783	10.558017	14.117977	0.396545	0.513936	0.509073	0.482249	1.019234	0.258465	0.099277	0.576081	0.529442	3.259075	37.628069	7.460489	0.825276	7.327965	0.232985	0.433967	0.315219	0.477678	0.487121	0.849549	4.930606	2.403551	209.770113	47.768291	7.813596	0.522516	4.700065	0.307314	0.364887	0.963523	0.79021	1.087782	5.278923	64.374288	58.48676	3.565438	3.2508	0.474555	14.959232	0.630947	4.033994	0.867154	0.855469	6.522492	11.327309	65.501778	69.786568
